ID,box,test_date,time,set_number,chamber#,sex,population,flew,died,flight_type,NOTES,
329,C,10.15,11:30am,1,A-1,M,Lake Placid,Y,,,,
372,Petri2,10.15,11:30am,1,A-2,F,Leesburg,N,,,,
37,Petri1,10.15,11:30am,1,A-3,F,Key Largo,N,Y,,,
303,C,10.15,11:30am,1,A-4,F,Lake Placid,N,,,,
259,C,10.15,11:30am,1,B-1,M,North Key Largo,N,,,,
354,D,10.15,11:30am,1,B-3,F,Lake Placid,N,,,,
89,Petri1,10.15,11:30am,1,B-2,M,Homestead,Y,,,,
158,D,10.15,11:30am,1,B-4,M,Lake Wales,N,,,,
147,Petri1,NA,NA,NA,NA,F,Lake Wales,NA,Y,,,
374,Petri2,NA,NA,NA,NA,F,Leesburg,NA,Y,,,
349,D,10.15,12:10,2,A-1,M,Lake Placid,N,,,no recordings,
265,C,10.15,12:10,2,A-2,F,North Key Largo,N,,,no recordings,
282,C,10.15,12:10,2,A-3,M,North Key Largo,N,,,no recordings,
242,Petri2,10.15,12:10,2,A-4,F,North Key Largo,N,,,no recordings,
127,B,10.15,12:10,2,B-1,M,Homestead,N,,,no recordings,
51,B,10.15,12:10,2,B-2,F,Key Largo,N,Y,,no recordings,
267,C,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
118,A,10.15,12:10,2,B-3,F,Homestead,N,,,no recordings,
403,Petri2,NA,NA,NA,NA,F,Gainesville,NA,Y,,,
228,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
112,A,10.15,12:10,2,B-4,F,Homestead,N,Y,,no recordings,
30,A,10.15,12:45,3,A-1,F,Plantation Key,N,,,,
141,Petri1,10.15,12:45,3,A-2,F,Lake Wales,N,Y,,,
313,C,10.15,12:45,3,A-3,F,Lake Placid,Y,,bursts,,
82,B,10.15,12:45,3,A-4,M,North Key Largo,N,,,,
402,Petri2,10.15,12:45,3,B-1,M,Gainesville,N,,,,
86,B,10.15,12:45,3,B-2,M,North Key Largo,N,,,,
58,B,10.15,12:45,3,B-3,F,Key Largo,N,,,,
345,D,NA,NA,NA,NA,M,Lake Placid,NA,Y,,,
132,B,10.15,12:45,3,B-4,M,Homestead,Y,,continuous,struggled against gravity,
262,C,10.15,1:30,4,A-1,M,North Key Largo,Y,,,,
105,A,10:15,1:30,4,A-2,F,Homestead,N,,,,
237,Petri2,10:15,1:30,4,A-3,F,North Key Largo,N,,,,
328,C,10:15,1:30,4,A-4,F,Lake Placid,Y,,,,
215,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
57,B,NA,NA,NA,NA,M,Key Largo,NA,Y,,,
140,Petri1,NA,NA,NA,NA,M,Lake Wales,NA,Y,,,
99,Petri1,10.16,10:20,5,A-1,M,Homestead,Y,,continuous,,
346,D,10.16,10:20,5,A-2,M,Lake Placid,Y,,,,
201,E,10.16,10:20,5,A-3,M,North Key Largo,N,,,,
72,B,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
238,Petri2,10.16,10:20,5,A-4,F,North Key Largo,N,,,,
206,E,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,
296,Petri2,10.16,10:20,5,B-1,F,Lake Placid,Y,,,,
255,E,10.16,10:20,5,B-2,M,North Key Largo,N,,,,
110,A,10.16,10:20,5,B-3,F,Homestead,N,Y,,,
297,Petri2,NA,NA,NA,NA,M,Lake Placid,NA,Y,,,
383,D,10.16,10:20,5,B-4,M,Leesburg,N,Y,,,
411,D,NA,NA,NA,NA,F,Gainesville,NA,Y,,,
312,C,10.16,11:00,6,A-1,M,Lake Placid,Y,,,,
246,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,
1,Petri1,NA,NA,NA,NA,F,Plantation Key,NA,Y,,,
261,C,10.16,11:00,6,A-2,M,North Key Largo,Y,,continuous,,
334,D,10.17,9:40,9,A-1,M,Lake Placid,Y,,,paint came off at end,
