ID ,petri?,short-wing?,test_date,time,set_number,chamber,population,flew,flight_type,mass,died?,NOTES
245,,N,10.23,9:00am,31,A-1,North Key Largo,N,,,Y,
333,,N,10.23,9:00am,31,A-2,Lake Placid,N,,,,
329,,N,10.23,9:00am,31,A-3,Lake Placid,Y,continuous; 60+ min,,,
226,,N,10.23,9:00am,31,A-4,North Key Largo,Y,burst,,,
190,,Y,NA,NA,NA,NA,North Key Largo,NA,,,,
103,,N,10.23,9:00am,31,B-1,Homestead,Y,continuous; 60+ min,,,
96,,N,10.23,9:00am,31,B-2,Homestead,Y,continuous; 60+ min,,,
109,,N,10.23,9:00am,31,B-3,Homestead,Y,burst,,,
390,P,N,10.23,9:00am,31,B-4,Leesburg,N,,,,
421,,N,10.23,10:00am,32,A-1,Gainesville,N,,,Y,
65,,N,10.23,10:00am,32,A-2,Key Largo,N,,,,
125,,N,10.23,10:00am,32,A-3,Homestead,Y,continuous; 60+ min,,,
197,,N,10.23,10:00am,32,A-4,North Key Largo,Y,burst,,,
402,P,N,10.23,10:00am,32,B-1,Gainesville,N,,,,
74,,N,10.23,10:00am,32,B-2,North Key Largo,N,,,Y,
235,,N,10.23,10:00am,32,B-3,North Key Largo,Y,continuous; 60+ min,,,
351,,N,10.23,10:00am,32,B-4,Lake Placid,Y,continuous; 60+ min,,,
319,,N,10.23,1:00pm,33,A-1,Lake Placid,Y,continuous; 60+ min,,,
262,,N,10.23,1:00pm,33,A-2,North Key Largo,Y,bursts,,,
136,,N,10.23,1:00pm,33,A-3,Homestead,Y,continuous; 60+ min,,,started at 35 min
296,P,,10.23,1:00pm,33,A-4,Lake Placid,Y,bursts,,,
375,P,N,10.23,1:00pm,33,B-1,Leesburg,N,,,,
254,,N,10.23,1:00pm,33,B-2,North Key Largo,N,,,,
406,,N,NA,NA,NA,NA,Gainesville,NA,,,,paint fell off
376,,N,10.23,1:00pm,33,B-4,Leesburg,Y,continuous; 60+ min,,,readjusted at times; bug rotated as it flew
153,,N,10.23,2:15pm,34,A-1,Lake Wales,N,,,,
95,,N,10.23,2:15pm,34,A-2,Homestead,Y,continuous; 60+ min,,,
213,,N,10.23,2:15pm,34,A-3,North Key Largo,N,,,,
286,P,N,10.23,2:15pm,34,A-4,North Key Largo,Y,continuous; 60+ min,,,
300,,N,10.23,2:15pm,34,B-1,Lake Placid,N,,,,
280,,N,10.23,2:15pm,34,B-2,North Key Largo,N,,,,
50,,N,10.23,2:15pm,34,B-3,Key Largo,Y,bursts,,,
279,,N,10.23,2:15pm,34,B-4,North Key Largo,Y,continuous; 60+ min,,,
413,,N,10.23,3:25pm,35,A-1,Gainesville,N,,,Y,
407,,N,10.23,3:25pm,35,A-2,Gainesville,N,,,Y,
224,,N,10.23,3:25pm,35,A-3,North Key Largo,N,,,Y,
148,,N,10.23,3:25pm,35,A-4,Lake Wales,N,,,Y,
47,,N,,,,,Key Largo,,,,Y,
58,,N,10.23,3:25pm,35,B-1,Key Largo,,,,Y,
91,P,N,10.23,3:25pm,35,B-2,Homestead,Y,continuous; 60+ min,,Y,
214,,Y,NA,NA,NA,NA,North Key Largo,,,,,
276,,N,10.23,3:25pm,35,B-3,North Key Largo,Y,continuous; 60+ min,,,
118,,N,10.23,3:25pm,35,B-4,Homestead,N,,,,trial ended at 30 min because paint fell off
155,,N,10.24,9:00am,36,A-1,Lake Wales,N,,,Y,no recording
285,P,N,10.24,9:00am,36,A-2,North Key Largo,N,,,,no recording
409,,N,10.24,9:00am,36,A-3,Gainesville,N,,,,no recording
98,P,N,10.24,9:00am,36,A-4,Homestead,N,,,,no recording
159,,N,10.24,9:00am,36,B-1,Lake Wales,N,,,,
67,P,N,10.24,9:00am,36,B-2,North Key Largo,Y,bursts,,,
321,,N,10.24,9:00am,36,B-3,Lake Placid,N,,,,
183,P,N,10.24,9:00am,36,B-4,North Key Largo,Y,continuous; 60+ min,,,
49,,N,10.24,10:10am,37,A-1,Key Largo,Y,continuous; 60+ min,,Y,
323,,N,10.24,10:10am,37,A-2,Lake Placid,Y,bursts to continuous; 60+ min,,,
107,,N,10.24,10:10am,37,A-3,Homestead,N,,,,
8,,Y,NA,NA,NA,NA,Plantation Key,NA,,,,
320,,N,10.24,10:10am,37,A-4,Lake Placid,N,,,,
405,P,N,,,,,Gainesville,,,,Y,
380,,N,10.24,10:10am,37,B-1,Leesburg,Y,continuous; 60+ min,,,
208,,N,10.24,10:10am,37,B-2,North Key Largo,N,,,,
404,P,N,10.24,10:10am,37,B-3,Gainesville,Y,bursts to continuous; 60+ min,,,
18,,Y,NA,NA,NA,NA,Plantation Key,NA,,,,
116,,N,10.24,10:10am,37,B-4,Homestead,Y,bursts to continuous; 60+ min,,,
284,,N,10.24,11:20am,38,A-1,North Key Largo,N,,,,
152,,N,10.24,11:20am,38,A-2,Lake Wales,Y,bursts,,,
195,,N,,,,,North Key Largo,,,,Y,
331,,N,10.24,11:20am,38,A-3,Lake Placid,N,,,,
