ID #,parents,pop,pophost,nathost,nathost site,hatch.date,death.date,eclosion.date,sex,notes
200,3,PK,C.corindum,K.elegans,GV 2019,6.8.19,,7.12.19,M,
201,3,PK,C.corindum,K.elegans,GV 2019,6.8.19,,7.21.19,F,
202,3,PK,C.corindum,K.elegans,LW 2014,6.8.19,,7.18.19,M,
203,3,PK,C.corindum,K.elegans,LW 2014,6.8.19,,7.15.19,F,8.1 - 3 EGGS
205,3,PK,C.corindum,C.corindum,KL 2019,6.13.19,,7.16.19,M,
206,3,PK,C.corindum,C.corindum,KL 2019,6.14.19,,7.21.19,F,
208,19,PK,C.corindum,K.elegans,GV 2019,6.8.19,,7.25.19,F,
209,19,PK,C.corindum,K.elegans,GV 2019,6.9.19,,7.21.19,F,
210,19,PK,C.corindum,K.elegans,LW 2014,6.9.19,,7.27.19,F,
211,19,PK,C.corindum,K.elegans,LW 2014,6.9.19,,7.18.19,M,
212,19,PK,C.corindum,C.corindum,KL 2019,6.10.19,,7.10.19,F,7.23 - 22 eggs
213,19,PK,C.corindum,C.corindum,KL 2019,6.11.19,,7.11.19,F,7.23-13 eggs
214,19,PK,C.corindum,C.corindum,KL 2019,6.11.19,,7.13.19,M,
215,19,PK,C.corindum,C.corindum,KL 2019,6.12.19,,7.14.19,F,
216,1,PK,C.corindum,K.elegans,GV 2019,6.9.19,,7.25.19,F,
217,1,PK,C.corindum,K.elegans,GV 2019,6.9.19,,7.21.19,F,
218,1,PK,C.corindum,K.elegans,LW 2014,6.9.19,,7.21.19,M,
219,1,PK,C.corindum,K.elegans,GV 2014,6.9.19,,7.22.19,M,
220,1,PK,C.corindum,C.corindum,KL 2019,6.10.19,,7.9.19,M,
221,1,PK,C.corindum,C.corindum,KL 2019,6.10.19,,7.8.19,F,7.23 - 2 eggs
222,1,PK,C.corindum,C.corindum,KL 2019,6.11.19,,7.11.19,M,
223,1,PK,C.corindum,C.corindum,KL 2019,6.15.19,,7.18.19,M,
224,17,PK,C.corindum,K.elegans,GV 2019,6.11.19,,7.18.19,M,
225,17,PK,C.corindum,K.elegans,GV 2019,6.11.19,,7.19.19,F,
226,17,PK,C.corindum,K.elegans,GV 2019,6.11.19,,7.25.19,M,
227,17,PK,C.corindum,K.elegans,GV 2019,6.11.19,,7.18.19,M,
228,17,PK,C.corindum,C.corindum,KL 2019,6.11.19,,7.12.19,M,
229,17,PK,C.corindum,C.corindum,KL 2019,6.13.19,,7.15.19,M,
230,17,PK,C.corindum,C.corindum,KL 2019,6.13.19,,7.10.19,F,7.23 - 6 eggs
231,17,PK,C.corindum,C.corindum,KL 2019,6.15.19,,7.15.19,M,
232,18,PK,C.corindum,K.elegans,GV 2019,6.11.19,,7.21.19,M,
233,18,PK,C.corindum,K.elegans,GV 2019,6.11.19,7.26.19,7.21.19,M,
234,18,PK,C.corindum,K.elegans,GV 2014,6.11.19,,7.18.19,F,
235,18,PK,C.corindum,K.elegans,GV 2014,6.11.19,,7.19.19,F,
236,18,PK,C.corindum,C.corindum,KL 2019,6.11.19,,7.15.19,F,
237,18,PK,C.corindum,C.corindum,KL 2019,6.13.19,,7.15.19,M,
238,18,PK,C.corindum,C.corindum,KL 2019,6.13.19,,7.15.19,M,
239,18,PK,C.corindum,C.corindum,KL 2019,6.13.19,,7.18.19,F,8.1 - 6 EGGS
240,18,PK,C.corindum,C.corindum,KL 2019,6.20.19,6.21.19,,,Extra nymph– Date may be inaccurate
241,18,PK,C.corindum,K.elegans,GV 2019,6.20.19,,7.29.19,M,
242,1,PK,C.corindum,C.corindum,KL 2019,6.20.19,,7.21.19,F,8.7 - 6 eggs -accidentally had 2 nymphs -one removed 6.22
243,1,PK,C.corindum,K.elegans,GV 2019,6.20.19,,8.3.19,F,
244,3,PK,C.corindum,C.corindum,KL 2019,6.20.19,,7.23.19,F,
245,3,PK,C.corindum,K.elegans,GV 2019,6.20.19,,7.31.19,F,
246,17,PK,C.corindum,K.elegans,GV 2019,6.20.19,,7.29.19,M,
247,17,PK,C.corindum,C.corindum,KL 2019,6.20.19,,7.23.19,F,
248,7,KL,C.corindum,K.elegans,GV 2019,6.8.19,,7.16.19,M,
249,7,KL,C.corindum,K.elegans,GV 2019,6.9.19,,7.21.19,F,
250,7,KL,C.corindum,K.elegans,LW 2014,6.9.19,,7.20.19,M,
251,7,KL,C.corindum,C.corindum,KL 2019,6.10.19,,7.10.19,F,
252,7,KL,C.corindum,C.corindum,KL 2019,6.11.19,,7.12.19,F,7.23 - 8 eggs
253,7,KL,C.corindum,C.corindum,KL 2019,6.11.19,,7.12.19,F,7.23 - 4 eggs
254,10,KL,C.corindum,K.elegans,GV 2019,6.8.19,7.7.19,,,
255,10,KL,C.corindum,K.elegans,GV 2019,6.8.19,,7.17.19,F,
256,10,KL,C.corindum,K.elegans,LW 2014,6.8.19,6.17.19,,,
257,10,KL,C.corindum,C.corindum,KL 2019,6.10.19,,7.8.19,M,
258,10,KL,C.corindum,C.corindum,KL 2019,6.10.19,,7.16.19,M,
259,10,KL,C.corindum,C.corindum,KL 2019,6.10.19,,7.12.19,F,
260,22,KL,C.corindum,K.elegans,GV 2019,6.10.19,,7.19.19,M,
261,22,KL,C.corindum,K.elegans,GV 2019,6.10.19,,7.26.19,F,
262,22,KL,C.corindum,K.elegans,LW 2014,6.10.19,6.20.19,,,
263,22,KL,C.corindum,C.corindum,KL 2019,6.11.19,,7.13.19,M,
ID #,parents,pop,pophost,nathost,,hatch.date,death.date,eclosion.date,sex,notes
264,22,KL,C.corindum,C.corindum,KL 2019,6.12.19,,7.18.19,F,
265,22,KL,C.corindum,C.corindum,KL 2019,6.12.19,,7.12.19,M,
266,21,KL,C.corindum,K.elegans,GV 2019,6.11.19,,7.18.19,M,
267,21,KL,C.corindum,K.elegans,GV 2019,6.11.19,,7.15.19,M,
