ID_num,TgroupID,GgroupID,sex,beak,thorax,wing,body,w_morph,recorder,computer,date_recorded_by_hand,data_recorded_on_excel,notes
238,NA,G1,M,6,3.43,8.89,12.02,L,A,yes,09.17.19,09.17.19,teal
220,NA,G1,M,6.4,3.6,9.53,12.99,L,A,yes,09.17.19,09.17.19,peach
200,NA,G2,M,5.82,3.44,7.32,11.84,S,A,yes,09.17.19,09.17.19,peach
224,NA,G2,M,6.35,3.38,8.91,12.12,L,A,yes,09.17.19,09.17.19,teal
202,NA,G3,M,5.45,3.37,5.37,7.88,S,A,yes,09.17.19,09.17.19,teal
205,NA,G3 ,M,5.97,3.48,9.03,12.4,L,A,yes,09.17.19,09.17.19,peach
222,NA,G4,M,6.02,3.47,8.88,12.02,L,A,yes,09.17.19,09.17.19,peach
211,NA,G4,M,6.41,3.2,8.83,12.05,L,A,yes,09.17.19,09.17.19,teal
271,NA,G5,M,6.15,3.34,9.29,12.66,L,A,yes,09.17.19,09.17.19,teal
292,NA,G5,M,5.5,3.25,8.88,12.14,L,A,yes,09.17.19,09.17.19,peach
251,NA,G5,M,5.5,3.16,8.13,11.61,L,A,yes,09.17.19,09.17.19,NA
267,NA,G6,M,6.01,3.28,8.8,12.2,L,A,yes,09.17.19,09.17.19,peach
275,NA,G6,M,6.37,3.5,9,12.55,L,A,yes,09.17.19,09.17.19,teal
257,NA,G7,M,5.45,3.24,5.16,8.56,S,A,yes,09.17.19,09.17.19,peach
266,NA,G7,M,6.32,3.31,8.96,12.49,L,A,yes,09.17.19,09.17.19,teal
248,NA,G8,M,6.07,3.16,8.77,12.18,L,A,yes,09.17.19,09.17.19,peach
265,NA,G8,M,6.15,3.46,8.98,12.4,L,A,yes,09.17.19,09.17.19,teal
308,NA,G9,M,6.09,3.03,8.37,11.76,L,A,yes,09.19.19,09.20.19,teal
300,NA,G9,M,6.19,3.44,8.86,12.26,L,A,yes,09.19.20,09.20.20,peach
306,NA,G10,M,6.35,3.41,8.97,12.25,L,A,yes,09.19.21,09.20.21,peach
298,NA,G10,M,5.97,3.06,8.26,11.35,L,A,yes,09.19.22,09.20.22,teal
258,NA,G11,M,5.71,3.31,8.54,12.05,L,A,yes,09.19.23,09.20.23,teal
250,NA,G11,M,6.4,3.29,8.64,12.15,L,A,yes,09.19.24,09.20.24,peach
277,NA,G12,M,5.85,3.43,8.71,12,L,A,yes,09.19.25,09.20.25,peach
288,T9,G12,M,6.52,3.23,9.11,12.56,L,A,yes,09.19.26,09.20.26,teal
260,NA,G13,M,6.01,3.12,8.36,11.65,L,A,yes,09.19.27,09.20.27,peach
290,T1,G13,M,6.16,3.41,9.17,12.75,L,A,yes,09.19.28,09.20.28,teal
269,NA,G14,M,5.8,3.28,8.76,12.02,L,A,yes,09.19.29,09.20.29,peach
287,T14,G14,M,6.49,3.31,9.39,12.92,L,A,yes,09.19.30,09.20.30,teal
347,T3,G15,M,5.19,2.86,5.07,8.07,S,A,yes,09.19.31,09.20.31,teal
363,T1,G15,M,6.04,3.1,8.63,11.93,L,A,yes,9.23.19,10.16.19,peach
352,T2,G16,M,5.36,2.74,6.54,9.78,S,A,yes,9.23.19,10.16.19,peach
379,T4,G16,M,5.42,3.22,8.85,11.75,L,Ana ,yes,9.25.19,10.16.19,teal
366,T6,G17,M,5.39,2.86,7.03,10.06,S,Ana ,yes,9.25.19,10.16.19,teal
355,T5,G17,M,5.53,3.08,7,9.54,S,Ana ,yes,9.25.19,10.16.19,teal
324,T6,G18,M,6.72,3.3,9.06,12.08,L,Ana ,yes,9.25.19,10.16.19,peach
336,T12,G18,M,6.91,3.61,9.38,13.2,L,Ana ,yes,9.25.19,10.16.19,teal
339,T2,G19,M,6.29,3.45,9.17,11.98,L,Ana ,yes,9.25.19,10.16.19,teal
340,T16,G19,M,6.44,3.22,9.18,12.31,L,Ana ,yes,9.26.19,10.16.19,peach
338,T4,G20,M,6.26,3.41,9.48,12.55,L,Ana ,yes,9.26.19,10.16.19,peach
329,T3,G20,M,6.28,3.18,8.89,11.78,L,Ana ,yes,9.26.19,10.16.19,peach
307,NA,G21,M,6.6,3.6,9.51,12.37,L,Ana ,yes,9.26.19,10.16.19,peach
335,NA,G21,M,6.39,3.26,9.24,12.56,L,Ana ,yes,9.26.19,10.16.19,peach
302,NA,G22,M,5.85,2.98,8.14,11.34,L,Ana ,yes,9.26.19,10.16.19,teal
299,NA,G22,M,6.32,3.3,8.84,12,L,Ana ,yes,9.26.19,10.16.19,peach
227,NA,G23,M,6.24,3.23,8.94,12.34,L,Ana ,yes,9.26.19,10.16.19,teal
231,NA,G23,M,6,3.52,9.23,11.93,L,Ana ,yes,9.26.19,10.16.19,peach
219,NA,G25,M,5.89,3.16,8.94,11.05,L,Ana ,yes,9.26.19,10.16.19,peach
223,NA,G25,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,NA,G26,M,5.94,3.48,9.09,11.84,L,Ana ,yes,9.26.19,10.16.19,teal
226,T13,G26,M,5.91,2.92,8.57,11.72,L,Ana ,yes,9.26.19,10.16.19,peach
