ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude,sex,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder
329,set001-11am-10-15-19-A1.txt,1,A,A-1,1,0.286,757.6,204.197,0,757.6,0.842,900.0,0.393,C,10.15,11:30am,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,,,,,27.298660028,-81.36611608,M,5.87,3.23,8.59,11.76,L,,03.24.2020,03.26.2020,AB
372,set001-11am-10-15-19-A2.txt,2,A,A-2,1,0,0,0,0,0,0,900.0,0,Petri2,10.15,11:30am,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,,,Y,,28.812980,-81.877895,F,6.83,3.44,8.54,12.25,L,wings torn at end,03.24.2020,03.26.2020,AB
37,set001-11am-10-15-19-A3.txt,3,A,A-3,1,0,0,0,0,0,0,900.0,0,Petri1,10.15,11:30am,Key Largo,JP Grove,C. corindum,N,Y,,,,,,Y,,25.12846,-80.40809,F,8.17,3.18,8.37,11.91,L,wings torn at end,03.19.2020,03.25.2020,AB
303,set001-11am-10-15-19-A4.txt,4,A,A-4,1,0,0,0.628,0,0,0,900.0,0,C,10.15,11:30am,Lake Placid,Barber shop,K. elegans,N,,,,,,,Y,,27.298660028,-81.36611608,F,7.64,3.51,9.50,13.20,L,,03.24.2020,03.26.2020,AB
259,set001-11am-10-15-19-B1.txt,1,B,B-1,1,0,0,0,0,0,0,900.0,0,C,10.15,11:30am,North Key Largo,DD,C. corindum,N,,,,,,,,,25.28636983,-80.29077075,M,6.16,3.10,8.34,11.57,L,,03.23.2020,03.26.2020,AB
89,set001-11am-10-15-19-B2.txt,2,B,B-2,1,0.31,894.4,275.195,0,894.4,0.994,900.0,0.393,Petri1,10.15,11:30am,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,,,,,,,25.491968,-80.48562,M,6.20,3.31,8.85,12.20,L,,03.20.2020,03.25.2020,AB
354,set001-11am-10-15-19-B3.txt,3,B,B-3,1,0,0,0,0,0,0,900.0,0,D,10.15,11:30am,Lake Placid,Barber shop,K. elegans,N,,,,,,,Y,,27.298660028,-81.36611608,F,7.46,3.13,8.26,11.36,L,wings torn at end,03.24.2020,03.26.2020,AB
158,set001-11am-10-15-19-B4.txt,4,B,B-4,1,0,0,0,0,0,0,900.0,0,D,10.15,11:30am,Lake Wales,Polk,K. elegans,N,,,,,,,,,27.903346,-81.589461,M,5.54,2.64,5.53,8.33,L,,03.20.2020,03.25.2020,AB
279,set010-10-17-19-A1.txt,1,A,A-1,10,0.366,1305.9,300.327,107.8,600.9,0.726,1800.0,0.524,C,10.17,10:30,North Key Largo,DD,C. corindum,Y,,C,,,,,,,25.28636983,-80.29077075,M,6.17,3.24,8.40,11.61,L,,03.23.2020,03.26.2020,AB
318,set010-10-17-19-A2.txt,2,A,A-2,10,0.129,326.6,33.928,110.9,155.2,0.181,1800.0,0.233,C,10.17,10:30,Lake Placid,Barber shop,K. elegans,Y,,B,bursts,,,,,,27.298660028,-81.36611608,M,5.41,2.90,8.04,10.86,L,,03.24.2020,03.26.2020,AB
17,set010-10-17-19-A3.txt,3,A,A-3,10,0.286,0,1.885,0,0,0,1800.0,0,A,10.17,10:30,Plantation Key,Founder's #1,C. corindum,N,,,,,,,,,24.96448253,-80.56738908,M,5.74,2.61,4.39,7.52,S,,03.19.2020,03.25.2020,AB
285,set010-10-17-19-A4.txt,4,A,A-4,10,0.589,0,1.885,0,0,0,1800.0,0.785,Petri2,10.17,10:30,North Key Largo,DD,C. corindum,N,,,,,,,Y,,25.28636983,-80.29077075,F,8.61,3.68,9.53,13.47,L,,03.24.2020,03.26.2020,AB
332,set012-10-17-19-A1.txt,1,A,A-1,12,0.333,1796.9,574.266,0,1796.9,0.998,1800.0,0.571,C,10.17,12:20,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,,,,,27.298660028,-81.36611608,M,5.78,3.19,8.86,11.93,L,,03.24.2020,03.26.2020,AB
149,set012-10-17-19-A2.txt,2,A,A-2,12,0,0,0.628,0,0,0,1800.0,0,D,10.17,12:20,Lake Wales,Polk,K. elegans,N,,,,,,,Y,,27.903346,-81.589461,F,8.18,3.73,10.05,13.89,L,wings torn at end,03.20.2020,03.25.2020,AB
226,set012-10-17-19-A3.txt,3,A,A-3,12,0.26,540.6,6.911,0,532.3,0.3,1800.0,0.349,E,10.17,12:20,North Key Largo,Carysfort Cr,C. corindum,Y,,B,bursts,,,,,,25.25647566,-80.31068981,M,6.34,2.91,8.08,11.25,L,,03.23.2020,03.26.2020,AB
287,set012-10-17-19-A4.txt,4,A,A-4,12,0,0,0.628,0,0,0,1800.0,0,Petri2,10.17,12:20,North Key Largo,DD,C. corindum,N,,,,,,,,,25.28636983,-80.29077075,M,5.68,2.81,6.28,8.88,LS,,03.24.2020,03.26.2020,AB
386,set012-10-17-19-B1.txt,1,B,B-1,12,0,0,0,0,0,0,1800.0,0,D,10.17,12:20,Leesburg,Veteran’s Memorial Park,K. elegans,N,Y,,,,,,,,28.812980,-81.877895,M,5.61,2.81,6.07,9.31,L,wings torn at end,03.24.2020,03.26.2020,AB
101,set012-10-17-19-B2.txt,2,B,B-2,12,0.377,1796.8,670.396,0,1796.8,0.998,1800.0,0.483,A,10.17,12:20,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,,,,,25.491968,-80.48562,M,5.84,3.15,8.74,11.55,L,,03.20.2020,03.25.2020,AB
13,set012-10-17-19-B3.txt,3,B,B-3,12,0,0,0,0,0,0,1800.0,0,A,10.17,12:20,Plantation Key,Founder's #1,C. corindum,N,,,,,,,,,24.96448253,-80.56738908,M,6.75,3.39,8.71,11.97,L,wings torn at end,03.19.2020,03.25.2020,AB
41,set012-10-17-19-B4.txt,4,B,B-4,12,0,0,0,0,0,0,1800.0,0,Petri1,10.17,12:20,Key Largo,JP Grove,C. corindum,N,,,,,,,,,25.12846,-80.40809,M,5.56,2.76,4.59,7.77,S,,03.19.2020,03.25.2020,AB
298,set013-10-17-19-A1.txt,1,A,A-1,13,0,0,1.257,0,0,0,1800.0,0,Petri2,10.17,1:25,Lake Placid,Barber shop,K. elegans,N,,,,,,,Y,,27.298660028,-81.36611608,F,7.75,3.60,9.68,13.39,L,,03.24.2020,03.26.2020,AB
64,set013-10-17-19-A2.txt,2,A,A-2,13,0,0,0.628,0,0,0,1800.0,0,B,10.17,1:25,Key Largo,JP Grove,C. corindum,N,,,,,,,Y,,25.12846,-80.40809,F,7.68,3.25,8.39,11.53,L,wings torn at end,03.20.2020,03.25.2020,AB
197,set013-10-17-19-A3.txt,3,A,A-3,13,0,0,1.257,0,0,0,1800.0,0,E,10.17,1:25,North Key Largo,Charlemagne,C. corindum,Y,,B,,,,,,,25.1948419,-80.34590136,M,5.75,2.73,7.82,10.43,L,wings torn at end,03.23.2020,03.26.2020,AB
258,set013-10-17-19-A4.txt,4,A,A-4,13,0,0,0.628,0,0,0,1800.0,0,Petri2,10.17,1:25,North Key Largo,DD,C. corindum,N,,,,,,,,,25.28636983,-80.29077075,M,6.60,3.23,8.34,11.71,L,,03.23.2020,03.26.2020,AB
321,set013-10-17-19-B1.txt,1,B,B-1,13,0,0,0,0,0,0,1800.0,0,C,10.17,1:25,Lake Placid,Barber shop,K. elegans,N,,,,,,,,,27.298660028,-81.36611608,M,5.69,3.33,9.49,12.73,L,,03.24.2020,03.26.2020,AB
390,set013-10-17-19-B2.txt,2,B,B-2,13,0,0,0,0,0,0,1800.0,0,,10.17,1:25,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,,,,,28.812980,-81.877895,M,5.65,3.06,8.46,11.52,L,,03.24.2020,03.26.2020,AB
339,set013-10-17-19-B3.txt,3,B,B-3,13,0.263,1793.9,464.942,0,1793.9,0.997,1800.0,0.331,D,10.17,1:25,Lake Placid,Barber shop,K. elegans,Y,,C,,,,,,,27.298660028,-81.36611608,M,6.08,3.41,8.60,11.88,L,,03.24.2020,03.26.2020,AB
33,set013-10-17-19-B4.txt,4,B,B-4,13,0,0,1.257,0,0,0,1800.0,0,A,10.17,1:25,Plantation Key,Founder's #1,C. corindum,N,Y,,,,,,,,24.96448253,-80.56738908,M,5.36,2.57,4.27,4.33,S,,03.19.2020,03.25.2020,AB
21,set014-10-17-19-A1.txt,1,A,A-1,14,0,0,0,0,0,0,1800.0,0,A,10.17,2:20,Plantation Key,Founder's #1,C. corindum,N,,,,,,,,,24.96448253,-80.56738908,M,5.26,2.64,4.98,7.87,S,,03.19.2020,03.25.2020,AB
264,set014-10-17-19-A2.txt,2,A,A-2,14,0.19,0,4.398,0,0,0,1800.0,0,C,10.17,2:20,North Key Largo,DD,C. corindum,N,,,,,,,,,25.28636983,-80.29077075,M,5.95,3.05,8.21,11.33,L,,03.23.2020,03.26.2020,AB
269,set014-10-17-19-A3.txt,3,A,A-3,14,0,0,0,0,0,0,1800.0,0,C,10.17,2:20,North Key Largo,DD,C. corindum,N,,,,,,,,,25.28636983,-80.29077075,M,6.20,3.13,8.35,11.47,L,wings torn at end,03.23.2020,03.26.2020,AB
155,set014-10-17-19-A4.txt,4,A,A-4,14,0.149,29.4,9.425,0,13.1,0.016,1800.0,0.217,D,10.17,2:20,Lake Wales,Polk,K. elegans,Y,,B,bursts,,,,,,27.903346,-81.589461,M,6.07,3.09,8.31,11.48,L,wings torn at end,03.20.2020,03.25.2020,AB
381,set014-10-17-19-B1.txt,1,B,B-1,14,0,0,0,0,0,0,1800.0,0,D,10.17,2:20,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,,,Y,,28.812980,-81.877895,F,8.12,3.79,9.92,13.78,L,wings torn at end,03.24.2020,03.26.2020,AB
387,set014-10-17-19-B2.txt,2,B,B-2,14,0.221,779.2,11.938,0,742.3,0.433,1800.0,0.299,D,10.17,2:20,Leesburg,Veteran’s Memorial Park,K. elegans,Y,,B,bursts,,,,Y,,28.812980,-81.877895,F,7.49,3.25,8.54,11.88,L,,03.24.2020,03.26.2020,AB
68,set014-10-17-19-B3.txt,3,B,B-3,14,0.413,224.8,89.219,224.8,224.8,0.125,1800.0,1.257,Petri1,10.17,2:20,North Key Largo,Dagny Trellis,C. corindum,Y,,,,,,,Y,,25.1755048,-80.36782055,F,8.26,3.77,10.11,13.74,L,,03.20.2020,03.25.2020,AB
116,set014-10-17-19-B4.txt,4,B,B-4,14,0.291,319.1,23.875,71.3,240.8,0.177,1800.0,0.483,A,10.17,2:20,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,long bursts,,,,,,25.491968,-80.48562,M,6.08,3.05,8.29,11.20,L,,03.20.2020,03.25.2020,AB
229,set016-10-18-19-A1.txt,1,A,A-1,16,0,0,0,0,0,0,1800.0,0,E,10.18,10:55,North Key Largo,Carysfort Cr,C. corindum,N,,,,,,,Y,,25.25647566,-80.31068981,F,7.66,3.16,8.36,11.67,L,,03.23.2020,03.26.2020,AB
275,set016-10-18-19-A2.txt,2,A,A-2,16,0,0,0,0,0,0,1800.0,0,C,10.18,10:55,North Key Largo,DD,C. corindum,N,,,,,,,,,25.28636983,-80.29077075,F,9.35,3.78,10.19,14.01,L,,03.23.2020,03.26.2020,AB
125,set016-10-18-19-A3.txt,3,A,A-3,16,0.265,526.4,81.679,67.4,232.3,0.292,1800.0,0.37,B,10.18,10:55,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562,M,6.14,3.19,9.02,12.10,L,,03.20.2020,03.25.2020,AB
120,set016-10-18-19-A4.txt,4,A,A-4,16,0.371,462.9,82.936,212.3,223.4,0.257,1800.0,0.449,A,10.18,10:55,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562,M,5.70,3.23,8.54,11.59,L,,03.20.2020,03.25.2020,AB
375,set017-10-18-19-A1.txt,1,A,A-1,17,0,0,0.628,0,0,0,1800.0,0,Petri2,10.18,11:45,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,,,Y,,28.812980,-81.877895,F,8.27,3.71,10.48,14.35,L,,03.24.2020,03.26.2020,AB
331,set017-10-18-19-A2.txt,2,A,A-2,17,0,0,0.628,0,0,0,1800.0,0,C,10.18,11:45,Lake Placid,Barber shop,K. elegans,N,,,,,,,Y,,27.298660028,-81.36611608,F,8.19,3.58,9.47,13.32,L,,03.24.2020,03.26.2020,AB
69,set017-10-18-19-A3.txt,3,A,A-3,17,0,0,0,0,0,0,1800.0,0,Petri1,10.18,11:45,North Key Largo,Dagny Trellis,C. corindum,N,,,,,,,Y,,25.1755048,-80.36782055,F,8.74,3.43,8.99,12.55,L,,03.20.2020,03.25.2020,AB
67,set017-10-18-19-A4.txt,4,A,A-4,17,0.281,24.7,5.655,0,19.3,0.014,1800.0,0.571,Petri1,10.18,11:45,North Key Largo,Dagny Trellis,C. corindum,Y,,B,bursts,,,,,,25.1755048,-80.36782055,M,6.23,2.94,7.76,10.94,L,,03.20.2020,03.25.2020,AB
187,set017-10-18-19-B1.txt,1,B,B-1,17,0,0,0,0,0,0,1800.0,0,B,10.18,11:45,North Key Largo,N. Dagny,C. corindum,N,,,,,,,Y,,25.18229498,-80.36369887,F,8.98,3.68,9.06,12.81,L,,03.20.2020,03.25.2020,AB
416,set017-10-18-19-B2.txt,2,B,B-2,17,0.306,421.1,13.194,0,363.3,0.234,1800.0,0.449,D,10.18,11:45,Gainesville,NW 10th Ave & 18th St,K. elegans,Y,,B,bursts,,,,Y,,29.661821,-82.347211,F,7.86,3.63,9.89,13.68,L,wings torn at end,03.24.2020,03.26.2020,AB
95,set017-10-18-19-B3.txt,3,B,B-3,17,0.482,1796.7,853.231,0,1796.7,0.998,1800.0,0.628,A,10.18,11:45,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,,,Y,,25.491968,-80.48562,F,8.37,3.80,10.22,14.17,L,,03.20.2020,03.25.2020,AB
102,set017-10-18-19-B4.txt,4,B,B-4,17,0,0,0,0,0,0,1800.0,0,A,10.18,11:45,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,Y,,25.491968,-80.48562,F,8.54,3.59,9.63,13.36,L,,03.20.2020,03.25.2020,AB
34,set018-10-18-19-A1.txt,1,A,A-1,18,0.204,0,3.77,0,0,0,1800.0,0.217,A,10.18,1:30,Plantation Key,Founder's #1,C. corindum,N,,,,,,,Y,,24.96448253,-80.56738908,F,9.08,3.88,9.80,13.68,L,,03.19.2020,03.25.2020,AB
249,set018-10-18-19-A2.txt,2,A,A-2,18,0.255,0,1.885,0,0,0,1800.0,0.196,E,10.18,1:30,North Key Largo,DD -inter,C. corindum,N,,,,,,,Y,,25.252842,-80.311826,F,8.22,3.50,8.73,12.27,L,,03.23.2020,03.26.2020,AB
126,set018-10-18-19-A3.txt,3,A,A-3,18,0.45,871.9,382.006,0,865.1,0.484,1800.0,0.571,B,10.18,1:30,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,,,,,,,25.491968,-80.48562,M,5.88,3.39,9.00,12.18,L,,03.20.2020,03.25.2020,AB
190,set018-10-18-19-A4.txt,4,A,A-4,18,0,0,0,0,0,0,1800.0,0,E,10.18,1:30,North Key Largo,N. Dagny,C. corindum,N,,,,,,,,,25.18229498,-80.36369887,M,5.63,2.77,5.22,8.44,S,,03.20.2020,03.25.2020,AB
288,set018-10-18-19-B1.txt,1,B,B-1,18,0.295,942.1,13.194,155.1,783.1,0.523,1800.0,0.571,Petri2,10.18,1:30,North Key Largo,DD,C. corindum,Y,,B,bursts,,,,,,25.28636983,-80.29077075,M,5.94,3.07,7.99,10.94,L,,03.24.2020,03.26.2020,AB
290,set018-10-18-19-B2.txt,2,B,B-2,18,0,0,0,0,0,0,1800.0,0,Petri2,10.18,1:30,Lake Placid,Barber shop,K. elegans,N,Y,,,,,,,,27.298660028,-81.36611608,M,5.42,2.89,8.59,11.97,L,wings torn at end,03.24.2020,03.26.2020,AB
39,set018-10-18-19-B3.txt,3,B,B-3,18,0,0,0,0,0,0,1800.0,0,Petri1,10.18,1:30,Key Largo,JP Grove,C. corindum,N,,,,,,,Y,,25.12846,-80.40809,F,7.78,3.44,8.82,11.79,L,wings torn at end,03.19.2020,03.25.2020,AB
78,set018-10-18-19-B4.txt,4,B,B-4,18,0,0,0,0,0,0,1800.0,0,B,10.18,1:30,North Key Largo,Dagny Trellis,C. corindum,N,,,,,,,,,25.1755048,-80.36782055,M,5.79,2.78,7.88,10.34,L,wings torn at end,03.20.2020,03.25.2020,AB
221,set019-10-18-19-A1.txt,1,A,A-1,19,0,0,0,0,0,0,1800.0,0,E,10.18,2:15,North Key Largo,Carysfort Cr,C. corindum,N,,,,,,,Y,,25.25647566,-80.31068981,F,,,,,,,,,
81,set019-10-18-19-A2.txt,2,A,A-2,19,0,0,0,0,0,0,1800.0,0,B,10.18,2:15,North Key Largo,Dagny 1/2 Loop,C. corindum,N,,,,,,,,,25.173694,-80.371532,M,6.60,2.89,7.98,11.27,L,,03.20.2020,03.25.2020,AB
302,set019-10-18-19-A3.txt,3,A,A-3,19,0.444,1796.3,787.888,0,1796.3,0.998,1800.0,0.571,C,10.18,2:15,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,,,Y,,27.298660028,-81.36611608,F,6.97,3.64,10.09,13.49,L,,03.24.2020,03.26.2020,AB
271,set019-10-18-19-A4.txt,4,A,A-4,19,0.215,13.3,2.513,0,13.3,0.007,1800.0,0.393,C,10.18,2:15,North Key Largo,DD,C. corindum,N,,,,,,,,,25.28636983,-80.29077075,M,6.66,3.23,8.63,11.63,L,,03.23.2020,03.26.2020,AB
