ID,filename,channel_num,channel_letter,chamber,test_date,days_from_start,time_start,sex,population,host_plant,flew,died?,flight_type,flight_details,NOTES,mass,short-wing?,eggs,time_end,latitude,longitude,trial_type,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
329,set001-11am-10-15-19-A1.txt,1,A,A-1,10.15,0,11:30am,M,Lake Placid,K. elegans,Y,,C,continuous,,,,,,27.29866003,-81.36611608,T15,1,0.286474492,757.6,204.1975,0,757.6,0.841777778,900,0.3926875
372,set001-11am-10-15-19-A2.txt,2,A,A-2,10.15,0,11:30am,F,Leesburg,K. elegans,N,,,,,,,Y,,28.81298,-81.877895,T15,1,0,0,0,0,0,0,900,0
37,set001-11am-10-15-19-A3.txt,3,A,A-3,10.15,0,11:30am,F,Key Largo,C. corindum ,N,Y,,,,,,Y,,25.187398,-80.358596,T15,1,0,0,0,0,0,0,900,0
303,set001-11am-10-15-19-A4.txt,4,A,A-4,10.15,0,11:30am,F,Lake Placid,K. elegans,N,,,,,,,Y,,27.29866003,-81.36611608,T15,1,0,0,0.6283,0,0,0,900,0
259,set001-11am-10-15-19-B1.txt,1,B,B-1,10.15,0,11:30am,M,North Key Largo,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,T15,1,0,0,0,0,0,0,900,0
89,set001-11am-10-15-19-B2.txt,2,B,B-2,10.15,0,11:30am,M,Homestead,K. elegans,Y,,C,,,,,,,25.491968,-80.48562,T15,1,0.310195448,894.4,275.1954,0,894.4,0.993777778,900,0.3926875
354,set001-11am-10-15-19-B3.txt,3,B,B-3,10.15,0,11:30am,F,Lake Placid,K. elegans,N,,,,,,,Y,,27.29866003,-81.36611608,T15,1,0,0,0,0,0,0,900,0
158,set001-11am-10-15-19-B4.txt,4,B,B-4,10.15,0,11:30am,M,Lake Wales,K. elegans,N,,,,,,,,,27.903346,-81.589461,T15,1,0,0,0,0,0,0,900,0
30,set003-10-15-19-A1.txt,1,A,A-1,10.15,0,12:45,F,Plantation Key,C. corindum ,N,,,,,,,Y,,24.96448253,-80.56738908,T25,3,0,0,0,0,0,0,1449.4,0
141,set003-10-15-19-A2.txt,2,A,A-2,10.15,0,12:45,F,Lake Wales,K. elegans,N,Y,,,,,,Y,,27.903346,-81.589461,T25,3,0,0,0,0,0,0,1449.4,0
313,set003-10-15-19-A3.txt,3,A,A-3,10.15,0,12:45,F,Lake Placid,K. elegans,Y,,B,bursts,,,,Y,,27.29866003,-81.36611608,T25,3,0.214523727,0,1.8849,0,0,0,1449.4,0.19634375
82,set003-10-15-19-A4.txt,4,A,A-4,10.15,0,12:45,M,North Key Largo,C. corindum ,N,,,,,,,,,25.173694,-80.371532,T25,3,0,0,0,0,0,0,1449.4,0
402,set003-10-15-19-B1.txt,1,B,B-1,10.15,0,12:45,M,Gainesville,K. elegans,N,,,,,,,,,29.661821,-82.347211,T25,3,0,0,0,0,0,0,1504.3,0
86,set003-10-15-19-B2.txt,2,B,B-2,10.15,0,12:45,M,North Key Largo,C. corindum ,N,,,,,,,,,25.173694,-80.371532,T25,3,0,0,0,0,0,0,1504.3,0
58,set003-10-15-19-B3.txt,3,B,B-3,10.15,0,12:45,F,Key Largo,C. corindum ,N,,,,,,,,,25.187398,-80.358596,T25,3,0,0,0.6283,0,0,0,1504.3,0
