ID,petri,test_date,time_start,set_number,chamber,population,flew,flight_type,time_end,mass,eggs,notes,died?
84,,11.05,9:17:am,72,A-1,North Key Largo,Y,bursts,,0.045,,,
302,,11.05,9:19am,72,A-2,Lake Placid,Y,continuous,1:15pm,0.088,Y,*noticed eggs on 11.06 not 11.05,
96,,11.05,9:21am,72,A-3,Homestead,Y,bursts,,0.046,,,
67,P,11.05,9:22am,72,A-4,North Key Largo,Y,bursts,,0.036,,grabbed onto the sensor in the beginning 10 minutes,
339,,11.05,9:23am,72,B-1,Lake Placid,Y,continuous,10:30am,0.050,,,
312,,11.05,9:24am,72,B-2,Lake Placid,Y,bursts,,0.044,,,
95,,11.05,9:25am,72,B-3,Homestead,Y,continuous,,0.083,,,
308,,11.05,9:26am,72,B-4,Lake Placid,Y,bursts,,0.041,,,
136,,11.05,9:57am,72,A-1,Homestead,Y,bursts,,0.042,,,
152,,11.05,9:58am,72,A-3,Lake Wales,Y,bursts,,0.046,,,
288,P,11.05,10:00am,72,A-4,North Key Largo,Y,bursts,,0.044,,,
123,,11.05,10:01am,72,B-2,Homestead,Y,bursts,,0.050,,,
299,P,11.05,10:03am,72,B-4,Lake Placid,Y,bursts,,0.040,,,
404,P,11.05,10:36am,72,A-1,Gainesville,Y,continuous,,0.066,Y,,
197,,11.05,10:38am,72,A-3,North Key Largo,Y,bursts,,0.037,,,
132,,11.05,10:39am,72,A-4,Homestead,Y,continuous,,0.054,,,
387,,11.05,10:40am,72,B-2,Leesburg,Y,bursts,,0.047,,,
349,,11.05,10:42am,72,B-3,Lake Placid,Y,bursts to continuous,1:40pm,0.038,,,
416,,11.05,10:44am,72,B-4,Gainesville,Y,bursts to continuous,,0.076,Y,,
295,,11.05,11:17am,72,A-3,Lake Placid,Y,continuous,3:24pm,0.042,,,
319,,11.05,11:19am,72,B-2,Lake Placid,Y,continuous,,0.091,,,
261,,11.05,11:22am,72,B-4,North Key Largo,Y,continuous,4:25pm,0.038,,*definitely ran this one to exhaustion ,
328,,11.05,1:16pm,72,A-2,Lake Placid,Y,bursts,,0.068,Y,,
311,,11.05,1:49pm,72,A-2,Lake Placid,Y,bursts,,0.044,,,
318,,11.05,1:51pm,72,B-3,Lake Placid,Y,bursts,,0.038,,,
125,,11.06,7:42am,73,A-1,Homestead,Y,continuous,9:04am,0.055,,,
329,,11.06,7:42am,73,A-2,Lake Placid,Y,bursts,,0.045,,,
296,P,11.06,7:43am,73,A-3,Lake Placid,Y,bursts,,0.064,Y,,
111,,11.06,7:43am,73,A-4,Homestead,Y,bursts,,0.040,,,
276,,11.06,7:45am,73,B-1,North Key Largo,Y,bursts,,0.054,,,
129,,11.06,7:45am,73,B-2,Homestead,Y,bursts,,0.052,,,
313,,11.06,7:46am,73,B-3,Lake Placid,Y,bursts,,0.069,Y,,
332,,11.06,7:46am,73,B-4,Lake Placid,Y,bursts,,0.043,,,
91,P,11.06,8:27am,73,A-2,Homestead,Y,continuous,10:12am,0.037,,,
257,P,11.06,8:27am,73,A-3,North Key Largo,Y,bursts,,0.031,,,
226,,11.06,8:28am,73,A-4,North Key Largo,Y,bursts,,0.039,,,
101,,11.06,8:30am,73,B-1,Homestead,Y,bursts,,0.039,,,
323,,11.06,8:31am,73,B-2,Lake Placid,Y,continuous,9:10am,0.039,,,
351,,11.06,8:32am,73,B-3,Lake Placid,Y,continuous,1:02pm,0.049,,,
