gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,notes,hatch_date,wing_date,,Dvpt.time,age on Oct. 4,wing_date
1109,114,8.19.21,8.29.21,10.1.21,,KL,F,N,Y,,8/29/21,10/1/21,4-Oct,33,3,1-Oct
1148,335,8.17.21,8.19.21,10.1.21,,PK,F,Y,Y,,8/19/21,10/1/21,4-Oct,43,3,1-Oct
1225,114,8.25.21,9.1.21,10.1.21,,KL,F,N,Y,,9/1/21,10/1/21,4-Oct,30,3,1-Oct
1227,114,8.25.21,9.2.21,10.1.21,,KL,M,N,Y,,9/2/21,10/1/21,4-Oct,29,3,1-Oct
1288,16,8.27.21,9.2.21,10.1.21,,KL,F,N,Y,,9/2/21,10/1/21,4-Oct,29,3,1-Oct
1302,16,8.27.21,8.31.21,10.1.21,,KL,M,N,Y,,8/31/21,10/1/21,4-Oct,31,3,1-Oct
1468,329,8.27.21,9.9.21,10.1.21,,PK,M,N,Y,,9/9/21,10/1/21,4-Oct,22,3,1-Oct
1478,329,8.27.21,8.31.21,10.1.21,,PK,M,N,Y,,8/31/21,10/1/21,4-Oct,31,3,1-Oct
1517,329,8.31.21,9.9.21,10.1.21,,PK,M,N,Y,,9/9/21,10/1/21,4-Oct,22,3,1-Oct
1546,329,9.8.21,9.8.21,10.1.21,,PK,F,N,Y,,9/8/21,10/1/21,4-Oct,23,3,1-Oct
1560,16,9.8.21,9.8.21,10.1.21,,KL,M,N,Y,,9/8/21,10/1/21,4-Oct,23,3,1-Oct
1010,114,8.17.21,8.26.21,9.21.21,,KL,M,N,Y,,8/26/21,9/21/21,4-Oct,26,13,21-Sep
1011,114,8.17.21,8.20.21,9.21.21,,KL,F,N,Y,,8/20/21,9/21/21,4-Oct,32,13,21-Sep
1015,114,8.17.21,8.20.21,9.21.21,,KL,M,N,Y,,8/20/21,9/21/21,4-Oct,32,13,21-Sep
1017,114,8.17.21,8.20.21,9.21.21,,KL,F,N,Y,,8/20/21,9/21/21,4-Oct,32,13,21-Sep
1042,16,8.19.21,8.27.21,9.21.21,,KL,M,N,Y,,8/27/21,9/21/21,4-Oct,25,13,21-Sep
1058,16,8.19.21,,9.21.21,,KL,,,Y,,,9/21/21,4-Oct,#VALUE!,13,21-Sep
1075,118,8.19.21,8.19.21,9.21.21,,KL,M,N,Y,,8/19/21,9/21/21,4-Oct,33,13,21-Sep
1076,118,8.19.21,8.19.21,9.21.21,,KL,M,N,Y,,8/19/21,9/21/21,4-Oct,33,13,21-Sep
1084,118,8.19.21,8.19.21,9.21.21,,KL,M,N,Y,,8/19/21,9/21/21,4-Oct,33,13,21-Sep
1090,118,8.19.21,8.27.21,9.21.21,,KL,M,N,Y,,8/27/21,9/21/21,4-Oct,25,13,21-Sep
1127,119,8.19.21,8.26.21,9.21.21,,KL,M,N,Y,,8/26/21,9/21/21,4-Oct,26,13,21-Sep
1131,119,8.19.21,8.26.21,9.21.21,,KL,M,N,Y,,8/26/21,9/21/21,4-Oct,26,13,21-Sep
1133,119,8.19.21,8.25.21,9.21.21,,KL,,Y,Y,,8/25/21,9/21/21,4-Oct,27,13,21-Sep
1136,119,8.19.21,8.25.21,9.21.21,,KL,,Y,Y,,8/25/21,9/21/21,4-Oct,27,13,21-Sep
1137,119,8.19.21,8.26.21,9.21.21,,KL,,Y,Y,,8/26/21,9/21/21,4-Oct,26,13,21-Sep
1138,119,8.19.21,8.26.21,9.21.21,,KL,,Y,Y,,8/26/21,9/21/21,4-Oct,26,13,21-Sep
1143,335,8.17.21,8.19.21,9.21.21,,PK,M,N,Y,,8/19/21,9/21/21,4-Oct,33,13,21-Sep
1145,335,8.17.21,8.19.21,9.21.21,,PK,F,N,Y,,8/19/21,9/21/21,4-Oct,33,13,21-Sep
1146,335,8.17.21,8.19.21,9.21.21,,PK,M,N,Y,,8/19/21,9/21/21,4-Oct,33,13,21-Sep
1147,335,8.17.21,8.19.21,9.21.21,,PK,M,N,Y,,8/19/21,9/21/21,4-Oct,33,13,21-Sep
1149,335,8.17.21,8.19.21,9.21.21,,PK,,Y,Y,,8/19/21,9/21/21,4-Oct,33,13,21-Sep
1003,114,8.17.21,8.20.21,9.22.21,,KL,M,N,Y,,8/20/21,9/22/21,4-Oct,33,12,22-Sep
1009,114,8.17.21,8.20.21,9.22.21,,KL,M,N,Y,,8/20/21,9/22/21,4-Oct,33,12,22-Sep
1019,114,8.17.21,8.26.21,9.22.21,,KL,,Y,Y,,8/26/21,9/22/21,4-Oct,27,12,22-Sep
1022,119,8.19.21,8.29.21,9.22.21,,KL,F,Y,Y,,8/29/21,9/22/21,4-Oct,24,12,22-Sep
1027,119,8.19.21,8.29.21,9.22.21,,KL,,Y,Y,,8/29/21,9/22/21,4-Oct,24,12,22-Sep
1040,16,8.19.21,8.27.21,9.22.21,,KL,F,Y,Y,,8/27/21,9/22/21,4-Oct,26,12,22-Sep
1065,16,8.19.21,8.25.21,9.22.21,,KL,M,N,Y,,8/25/21,9/22/21,4-Oct,28,12,22-Sep
1071,16,8.19.21,8.25.21,9.22.21,,KL,,Y,Y,,8/25/21,9/22/21,4-Oct,28,12,22-Sep
1144,335,8.17.21,8.19.21,9.22.21,,PK,M,N,Y,,8/19/21,9/22/21,4-Oct,34,12,22-Sep
1172,329,8.19.21,8.29.21,9.22.21,,PK,,,Y,,8/29/21,9/22/21,4-Oct,24,12,22-Sep
1007,114,8.17.21,8.20.21,9.23.21,,KL,M,N,Y,,8/20/21,9/23/21,4-Oct,34,11,23-Sep
1024,119,8.19.21,8.29.21,9.23.21,,KL,M,N,Y,,8/29/21,9/23/21,4-Oct,25,11,23-Sep
1026,119,8.19.21,8.29.21,9.23.21,,KL,F,N,Y,,8/29/21,9/23/21,4-Oct,25,11,23-Sep
1064,16,8.19.21,8.27.21,9.23.21,,KL,F,N,Y,,8/27/21,9/23/21,4-Oct,27,11,23-Sep
1072,118,8.19.21,8.19.21,9.23.21,,KL,F,Y,Y,,8/19/21,9/23/21,4-Oct,35,11,23-Sep
1074,118,8.19.21,8.19.21,9.23.21,,KL,,Y,Y,,8/19/21,9/23/21,4-Oct,35,11,23-Sep
1078,118,8.19.21,8.19.21,9.23.21,,KL,F,N,Y,,8/19/21,9/23/21,4-Oct,35,11,23-Sep
1128,119,8.19.21,8.27.21,9.23.21,,KL,M,N,Y,,8/27/21,9/23/21,4-Oct,27,11,23-Sep
1129,119,8.19.21,8.27.21,9.23.21,,KL,,Y,Y,,8/27/21,9/23/21,4-Oct,27,11,23-Sep
1134,119,8.19.21,8.25.21,9.23.21,,KL,M,N,Y,,8/25/21,9/23/21,4-Oct,29,11,23-Sep
1204,20,8.25.21,8.25.21,9.23.21,,KL,F,Y,Y,,8/25/21,9/23/21,4-Oct,29,11,23-Sep
1032,16,8.19.21,8.29.21,9.24.21,,KL,F,Y,Y,,8/29/21,9/24/21,4-Oct,26,10,24-Sep
