ID,died,date_died,sex ,population,site,host_plant,S-wing,,order,treatment
176,,,F,Leesburg,Vet's Park,K. elegans,N,,0.864324802,
350,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.0619303,
205,,,F,Plantation Key,Founder's,C. corindum,N,,0.437400612,
106,,,M,Plantation Key,Founder's,C. corindum,N,,0.566019755,
153,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.938611189,
7,,,M,Plantation Key,Founder's,C. corindum,N,,0.534898866,
204,,,F,Plantation Key,Founder's,C. corindum,N,,0.067052874,
324,,,M,Plantation Key,Founder's,K. elegans,N,,0.961322849,
8,,,M,Plantation Key,Founder's,C. corindum,N,,0.076399251,
38,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.443945717,
130,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.227903866,
372,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.158581532,
339,,,F,Plantation Key,Founder's,K. elegans,N,,0.034198438,
346,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.004468986,
12,,,F,Key Largo,JP Grove,C. corindum,N,,0.747436936,
184,,,F,Leesburg,Vet's Park,K. elegans,N,,0.697844479,
125,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.910125017,
234,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.866300278,
5,,,M,Plantation Key,Founder's,C. corindum,N,,0.883217618,
391,,,F,Leesburg,Vet's Park,K. elegans,N,,0.639045737,
309,,,M,Plantation Key,Founder's,K. elegans,N,,0.664571997,
136,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.390772149,
107,,,M,Plantation Key,Founder's,C. corindum,N,,0.635002526,
3,,,F,Plantation Key,Founder's,C. corindum,N,,0.864730213,
141,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.057720415,
128,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.256267308,
255,,,M,Lake Place,Sheriff's,K. elegans,N,,0.565695688,
170,,,M,Lake Wales,Alley,K. elegans,N,,0.572632612,
134,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.141435856,
194,,,F,Leesburg,Vet's Park,K. elegans,N,,0.146393135,
331,,,M,Plantation Key,Founder's,K. elegans,N,,0.218115298,
113,,,M,Key Largo,JP Grove,C. corindum,N,,0.274380504,
250,,,M,Lake Place,Sheriff's,K. elegans,N,,0.997768928,
60,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.064661041,
70,,,F,Lake Wales,Alley,K. elegans,N,,0.450376465,
75,,,F,Lake Wales,Alley,K. elegans,N,,0.161604365,
155,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.012030123,
42,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.776723776,
105,,,M,Plantation Key,Founder's,C. corindum,N,,0.739003579,
308,,,M,Plantation Key,Founder's,K. elegans,N,,0.036705114,
171,,,F,Lake Wales,Alley,K. elegans,N,,0.686653292,
244,,,M,Lake Place,Sheriff's,K. elegans,N,,0.629572484,
336,,,M,Plantation Key,Founder's,K. elegans,N,,0.266811596,
131,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.519325335,
221,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.319870117,
200,,,M,Leesburg,Vet's Park,K. elegans,N,,0.309142669,
25,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.89364908,
50,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.407748077,
102,,,F,Plantation Key,Founder's,C. corindum,N,,0.845737383,
258,,,M,Lake Place,Sheriff's,K. elegans,N,,0.082699656,
192,,,M,Leesburg,Vet's Park,K. elegans,N,,0.242034039,
108,,,M,Plantation Key,Founder's,C. corindum,N,,0.5709976,
332,,,M,Plantation Key,Founder's,K. elegans,N,,0.037683108,
188,,,F,Leesburg,Vet's Park,K. elegans,N,,0.814017518,
213,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.799791631,
89,,,F,Leesburg,Vet's Park,K. elegans,N,,0.630328861,
169,,,F,Lake Wales,Alley,K. elegans,N,,0.155010208,
39,,,F,Homstead,296st&Roberts ,K. elegans,N,,0.254071785,
15,,,M,Key Largo,JP Grove,C. corindum,N,,0.570700716,
144,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.375658423,
348,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.713259449,
