ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,acclimated
176,,,,,,,,,Leesburg,,,176,,,paint missing ,N
350,?,,,,,,,,Homestead,,,350,,,,N
205,,A-1,001,9.8.21,8:56,9:34,36,70,Plantation Key,N,,205,0.058,N,,N
106,,A-2,001,9.8.21,8:57,10:16,36,70,Plantation Key,Y,C,106,0.035,N,,N
153,,A-3,001,9.8.21,8:58,9:35,36,70,Lake Placid,N,,153,0.093,Y,,N
7,,A-4,001,9.8.21,8:59,9:35,36,70,Plantation Key,Y,C,7,0.037,N,,N
204,,B-1,001,9.8.21,8:59,9:35,36,70,Plantation Key,Y,B,204,0.053,N,,N
324,,B-2,001,9.8.21,9:00,9:36,36,70,Plantation Key,N,,324,0.053,N,,N
8,,B-3,001,9.8.21,9:01,9:36,36,70,Plantation Key,Y,B,8,0.034,N,,N
38,,B-4,001,9.8.21,9:02,9:36,36,70,Homestead,N,,38,0.048,N,,N
130,,C-2,001,9.8.21,9:11,9:50,36,70,Homestead,Y,C,130,0.117,Y,,N
372,,C-3,001,9.8.21,9:12,15:32,36,70,Lake Placid,Y,C,372,0.068,N,,N
339,,C-4,001,9.8.21,9:12,9:50,36,70,Plantation Key,Y,BC,339,0.082,Y,,N
346,,D-1,001,9.8.21,9:13,9:50,36,70,Homestead,N,,346,0.029,N,,N
12,?,,,,,,,,Key Largo,,,12,,,,N
184,,D-2,001,9.8.21,9:14,9:51,36,70,Leesburg,N,,184,0.061,Y,,N
125,,D-3,001,9.8.21,9:15,9:51,36,70,Homestead,Y,B,125,0.045,N,,N
234,,D-4,001,9.8.21,9:17,9:51,36,70,Homestead,N,,234,0.047,N,,N
5,,A-1,001,9.8.21,9:37,10:15,36,70,Plantation Key,Y,B,5,0.040,N,,N
391,,A-3,001,9.8.21,9:37,10:17,36,70,Leesburg,Y,B,391,0.060,Y,,N
309,,A-4,001,9.8.21,9:38,10:17,36,70,Plantation Key,Y,B,309,0.041,N,,N
136,,B-1,001,9.8.21,9:40,10:18,36,70,Homestead,N,,136,0.069,Y,,N
107,,B-2,001,9.8.21,9:41,10:18,36,70,Plantation Key,Y,B,107,0.039,N,,N
3,,B-3,001,9.8.21,9:42,10:18,36,70,Plantation Key,Y,B,3,0.105,N,,N
141,,B-4,001,9.8.21,9:43,10:18,36,70,Homestead,Y,B,141,0.052,N,,N
128,,C-2,001,9.8.21,10:08,10:46,36,70,Homestead,N,,128,0.030,N,,N
255,,A-1,001,9.8.21,10:26,15:30,36,70,Lake Placid,Y,C,255,0.032,N,,N
170,,A-2,001,9.8.21,10:27,11:09,36,70,Lake Wales,Y,C,170,0.046,N,,N
134,,A-3,001,9.8.21,10:28,11:04,36,70,Homestead,Y,BC,134,0.039,N,,N
194,Y,,,,,,,,Leesburg,,,194,,,,N
331,,A-4,001,9.8.21,10:29,11:04,36,70,Plantation Key,Y,B,331,0.035,N,,N
113,,B-1,001,9.8.21,10:30,11:03,36,70,Key Largo,N,,113,0.034,N,,N
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,acclimated
250,,B-2,001,9.8.21,10:31,11:03,36,70,Lake Placid,Y,B,250,0.044,N,,N
60,,B-3,001,9.8.21,10:31,11:03,36,70,Lake Placid,Y,B,60,0.075,Y,,N
70,,A-1,002,9.9.21,10:55,11:29,38,70,Lake Wales,N,,70,0.102,Y,,Y
75,,A-2,002,9.9.21,10:56,11:29,38,70,Lake Wales,Y,B,75,0.081,Y,,N
155,,A-3,002,9.9.21,10:57,11:29,38,70,Lake Placid,N,,155,0.143,Y,,Y
42,,,,,,,,,Homestead,,,42,,,no paint,N
105,,A-4,002,9.9.21,10:58,11:29,38,70,Plantation Key,Y,CB,105,0.039,N,,Y
308,,B-1,002,9.9.21,10:59,11:29,38,70,Plantation Key,N,,308,0.041,N,,N
171,,B-2,002,9.9.21,11:00,11:30,38,70,Lake Wales,N,,171,0.069,N,,Y
244,,B-3,002,9.9.21,11:01,11:30,38,70,Lake Placid,Y,B,244,0.039,N,,N
336,,B-4,002,9.9.21,11:02,11:40,38,70,Plantation Key,Y,C,336,0.040,N,,Y
131,,C-2,002,9.9.21,11:02,11:37,38,70,Homestead,Y,B,131,0.037,N,,N
221,,C-3,002,9.9.21,11:03,11:37,38,70,Homestead,N,,221,0.087,Y,,Y
200,?,,,,,,,,Leesburg,,,200,,,,N
25,,C-4,002,9.9.21,11:04,11:37,38,70,Homestead,Y,B,25,0.103,Y,,Y
50,,D-1,002,9.9.21,11:05,11:37,38,70,Lake Placid,Y,B,50,0.052,N,,N
102,?,,,,,,,,Plantation Key,,,102,,,,Y
258,,D-2,002,9.9.21,11:05,11:37,38,70,Lake Placid,Y,B,258,0.050,N,,N
192,,D-3,002,9.9.21,11:06,11:37,38,70,Leesburg,N,,192,0.048,N,,Y
108,,D-4,002,9.9.21,11:07,11:37,38,70,Plantation Key,Y,B,108,0.051,N,,N
332,,A-1,002,9.9.21,11:30,14:42,38,70,Plantation Key,Y,C,332,0.039,N,,Y
188,,A-2,002,9.9.21,11:31,12:07,38,70,Leesburg,Y,B,188,0.069,Y,,N
213,,A-3,002,9.9.21,11:32,12:07,38,70,Homestead,Y,B,213,0.078,Y,,Y
89,,A-4,002,9.9.21,11:33,12:07,38,70,Leesburg,Y,B,89,0.094,Y,,N
169,,B-1,002,9.9.21,11:37,12:09,38,70,Lake Wales,N,,169,0.071,N,,Y
39,,B-2,002,9.9.21,11:38,12:09,38,70,Homestead,Y,B,39,0.076,Y,,N
15,,B-3,002,9.9.21,11:39,12:09,38,70,Key Largo,Y,B,15,0.055,N,,Y
144,,B-4,002,9.9.21,11:43,12:13,38,70,Homestead,Y,B,144,0.095,Y,,N
348,,C-2,002,9.9.21,11:44,14:42,38,70,Homestead,Y,C,348,0.051,Y,,Y
