ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID ,mass,EWM,NOTES
329,,,,,,,28/28,70,Plantation Key,,,329,,,
374,,,,,,,28/28,70,Lake Placid,,,374,,,
348,,,,,,,28/28,70,Homestead,,,348,,,
302,,,,,,,28/28,70,Plantation Key,,,302,,,
107,,,,,,,28/28,70,Plantation Key,,,107,,,
337,,,,,,,28/28,70,Plantation Key,,,337,,,
387,,,,,,,28/28,70,Leesburg,,,387,,,
32,,,,,,,28/28,70,Homstead,,,32,,,
225,,,,,,,28/28,70,Homstead,,,225,,,
311,,,,,,,28/28,70,Plantation Key,,,311,,,
129,,,,,,,28/28,70,Homestead,,,129,,,
193,,,,,,,28/28,70,Leesburg,,,193,,,
352,,,,,,,28/28,70,Homestead,,,352,,,
205,,,,,,,28/28,70,Plantation Key,,,205,,,
28,,,,,,,28/28,70,Homstead,,,28,,,
327,,,,,,,28/28,70,Plantation Key,,,327,,,
288,,,,,,,28/28,70,Leesburg,,,288,,,
143,,,,,,,28/28,70,Homestead,,,143,,,
3,,,,,,,28/28,70,Plantation Key,,,3,,,
109,,,,,,,28/28,70,Plantation Key,,,109,,,
350,,,,,,,28/28,70,Homestead,,,350,,,
359,,,,,,,28/28,70,Homestead,,,359,,,
114,,,,,,,28/28,70,Key Largo,,,114,,,
137,,,,,,,28/28,70,Homestead,,,137,,,
353,,,,,,,28/28,70,Homestead,,,353,,,
63,,,,,,,28/28,70,Lake Placid,,,63,,,
4,,,,,,,28/28,70,Plantation Key,,,4,,,
169,,,,,,,28/28,70,Lake Wales,,,169,,,
157,,,,,,,28/28,70,Lake Placid,,,157,,,
240,,,,,,,28/28,70,Homstead,,,240,,,
395,,,,,,,28/28,70,Leesburg,,,395,,,
307,,,,,,,28/28,70,Plantation Key,,,307,,,
190,,,,,,,28/28,70,Leesburg,,,190,,,
120,,,,,,,28/28,70,Key Largo,,,120,,,
309,,,,,,,28/28,70,Plantation Key,,,309,,,
280,,,,,,,28/28,70,Lake Wales,,,280,,,
105,,,,,,,28/28,70,Plantation Key,,,105,,,
128,,,,,,,28/28,70,Homestead,,,128,,,
278,,,,,,,28/28,70,Lake Wales,,,278,,,
213,,,,,,,28/28,70,Homstead,,,213,,,
57,,,,,,,28/28,70,Lake Placid,,,57,,,
171,,,,,,,28/28,70,Lake Wales,,,171,,,
5,,,,,,,28/28,70,Plantation Key,,,5,,,
104,,,,,,,28/28,70,Plantation Key,,,104,,,
351,,,,,,,28/28,70,Homestead,,,351,,,
370,,,,,,,28/28,70,Lake Placid,,,370,,,
75,,,,,,,28/28,70,Lake Wales,,,75,,,
10,,,,,,,28/28,70,Plantation Key,,,10,,,
222,,,,,,,28/28,70,Homstead,,,222,,,
320,,,,,,,28/28,70,Plantation Key,,,320,,,
135,,,,,,,28/28,70,Homestead,,,135,,,
256,,,,,,,28/28,70,Lake Place,,,256,,,
217,,,,,,,28/28,70,Homstead,,,217,,,
385,,,,,,,28/28,70,Leesburg,,,385,,,
230,,,,,,,28/28,70,Homstead,,,230,,,
89,,,,,,,28/28,70,Leesburg,,,89,,,
218,,,,,,,28/28,70,Homstead,,,218,,,
188,,,,,,,28/28,70,Leesburg,,,188,,,
142,,,,,,,28/28,70,Homestead,,,142,,,
38,,,,,,,28/28,70,Homstead,,,38,,,
103,,,,,,,28/28,70,Plantation Key,,,103,,,
102,,,,,,,28/28,70,Plantation Key,,,102,,,
212,,,,,,,28/28,70,Homstead,,,212,,,
176,,,,,,,28/28,70,Leesburg,,,176,,,
349,,,,,,,28/28,70,Homestead,,,349,,,
96,,,,,,,28/28,70,Gainesville,,,96,,,
377,,,,,,,28/28,70,Lake Placid,,,377,,,
343,,,,,,,28/28,70,Plantation Key,,,343,,,
204,,,,,,,28/28,70,Plantation Key,,,204,,,
360,,,,,,,28/28,70,Homestead,,,360,,,
207,,,,,,,28/28,70,Plantation Key,,,207,,,
126,,,,,,,28/28,70,Homestead,,,126,,,
153,,,,,,,28/28,70,Lake Placid,,,153,,,
196,,,,,,,28/28,70,Leesburg,,,196,,,
246,,,,,,,28/28,70,Lake Place,,,246,,,
396,,,,,,,28/28,70,Leesburg,,,396,,,
136,,,,,,,28/28,70,Homestead,,,136,,,
305,,,,,,,28/28,70,Plantation Key,,,305,,,
313,,,,,,,28/28,70,Plantation Key,,,313,,,
285,,,,,,,28/28,70,Leesburg,,,285,,,
308,,,,,,,28/28,70,Plantation Key,,,308,,,
338,,,,,,,28/28,70,Plantation Key,,,338,,,
301,,,,,,,28/28,70,Plantation Key,,,301,,,
229,,,,,,,28/28,70,Homstead,,,229,,,
69,,,,,,,28/28,70,Lake Wales,,,69,,,
336,,,,,,,28/28,70,Plantation Key,,,336,,,
2,,,,,,,28/28,70,Plantation Key,,,2,,,
85,,,,,,,28/28,70,Leesburg,,,85,,,
23,,,,,,,28/28,70,Homstead,,,23,,,
73,,,,,,,28/28,70,Lake Wales,,,73,,,
244,,,,,,,28/28,70,Lake Place,,,244,,,
317,,,,,,,28/28,70,Plantation Key,,,317,,,
259,,,,,,,28/28,70,Lake Place,,,259,,,
341,,,,,,,28/28,70,Plantation Key,,,341,,,
201,,,,,,,28/28,70,Plantation Key,,,201,,,
393,,,,,,,28/28,70,Leesburg,,,393,,,
253,,,,,,,28/28,70,Lake Place,,,253,,,
50,,,,,,,28/28,70,Lake Placid,,,50,,,
227,,,,,,,28/28,70,Homstead,,,227,,,
262,,,,,,,28/28,70,Lake Place,,,262,,,
372,,,,,,,28/28,70,Lake Placid,,,372,,,
27,,,,,,,28/28,70,Homstead,,,27,,,
