ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,EWM,NOTES,next_day
1040,Y,,001,10/12/21,,,12,70,KL,,,1040,,,died or short-winged,
1024,,A-1,001,10/12/21,11:00,11:37,12,70,KL,Y,CB,1024,0.054,N,arm friction and misplacement ,
1090,,A-2,001,10/12/21,11:00,11:38,12,70,KL,Y,B,1090,0.043,N,,
114,,A-3,001,10/12/21,11:01,11:38,12,70,PK,Y,CB,114,0.037,N,,
1146,,A-4,001,10/12/21,11:01,11:38,12,70,PK,Y,CB,1146,0.043,N,,
1235,,B-1,001,10/12/21,11:02,11:39,12,70,KL,Y,B,1235,0.084,Y,,
1009,,B-2,001,10/12/21,11:02,11:39,12,70,KL,Y,B,1009,0.056,N,,
1084,,B-3,001,10/12/21,11:03,11:39,12,70,KL,Y,CB,1084,0.048,N,,
1138,Y,,001,10/12/21,,,12,70,KL,,,1138,,,died or short-winged,
1141,,B-4,001,10/12/21,11:04,11:40,12,70,KL,N,,1141,0.132,Y,,
1172,Y,,001,10/12/21,,,12,70,PK,,,1172,,,died or short-winged,
1128,,C-1,001,10/12/21,11:08,11:49,12,70,KL,Y,B,1128,0.037,N,,
1163,Y,,001,10/12/21,,,12,70,PK,,,1163,,,died or short-winged,
1015,Y,,001,10/12/21,,,12,70,KL,,,1015,,,died or short-winged,
1027,Y,,001,10/12/21,,,12,70,KL,,,1027,,,died or short-winged,
1147,,C-2,001,10/12/21,11:09,11:49,12,70,PK,Y,BC,1147,0.040,N,arm friction and misplacement ,
1003,,C-3,001,10/12/21,11:10,11:49,12,70,KL,Y,B,1003,0.043,N,,
1037,Y,,001,10/12/21,,,12,70,KL,,,1037,,,died or short-winged,
1137,Y,,001,10/12/21,,,12,70,KL,,,1137,,,died or short-winged,
1032,Y,,001,10/12/21,,,12,70,KL,,,1032,,,died or short-winged,
1149,Y,,001,10/12/21,,,12,70,PK,,,1149,,,died or short-winged,
1042,,C-4,001,10/12/21,11:11,11:49,12,70,KL,Y,B,1042,0.044,N,,
1017,,D-1,001,10/12/21,11:12,11:50,12,70,KL,Y,B,1017,0.125,Y,,
1426,Y,,001,10/12/21,,,12,70,PK,,,1426,,,died or short-winged,
1081,,D-2,001,10/12/21,11:13,11:50,12,70,KL,Y,B,1081,0.054,N,,
1078,,D-3,001,10/12/21,11:14,11:50,12,70,KL,Y,B,1078,0.108,N,,
1131,,D-4,001,10/12/21,11:15,11:50,12,70,KL,Y,BC,1131,0.047,N,,
1130,Y,,001,10/12/21,,,12,70,KL,,,1130,,,died or short-winged,
1007,,A-1,001,10/12/21,11:43,12:14,12,70,KL,Y,C,1007,0.039,N,arm friction and misplacement ,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,EWM,NOTES,next_day
1010,,A-1,002,10/13/21,11:58,12:37,28,70,KL,Y,B,1010,0.042,N,,
1074,Y,,002,10/13/21,,,28,70,KL,,,1074,,,died or short-winged,
1139,,A-2,002,10/13/21,11:59,12:37,28,70,KL,N,,1139,0.108,Y,,
1451,Y,,002,10/13/21,,,28,70,PK,,,1451,,,died or short-winged,
1129,Y,,002,10/13/21,,,28,70,KL,,,1129,,,died or short-winged,
1127,,A-3,002,10/13/21,12:00,9:23,28,70,KL,Y,C,1127,0.044,N,,Y
1134,,A-4,002,10/13/21,12:01,12:38,28,70,KL,N,,1134,0.042,N,,
1026,,B-1,002,10/13/21,12:01,12:38,28,70,KL,Y,B,1026,0.086,Y,,
1075,,,002,10/13/21,,,28,70,KL,Y,,1075,0.049,N,paint fel off; moved to later day,
1072,Y,,002,10/13/21,,,28,70,KL,,,1072,,,died or short-winged,
1300,,B-3,002,10/13/21,12:04,12:38,28,70,KL,Y,B,1300,0.050,N,,
1011,,B-4,002,10/13/21,12:04,13:03,28,70,KL,Y,C,1011,0.084,Y,,
1022,Y,,002,10/13/21,,,28,70,KL,,,1022,,,died or short-winged,
1064,,C-1,002,10/13/21,12:20,13:01,28,70,KL,Y,B,1064,0.114,Y,,
1077,,C-2,002,10/13/21,12:21,13:02,28,70,KL,Y,B,1077,0.044,N,,
1142,,C-3,002,10/13/21,12:22,13:42,28,70,PK,Y,C,1142,0.047,N,not registering recording; fixed 13:02,
1019,Y,,002,10/13/21,,,28,70,KL,,,1019,,,died or short-winged,
1143,,C-4,002,10/13/21,12:23,13:02,28,70,PK,Y,B,1143,0.060,N,,
1204,Y,,002,10/13/21,,,28,70,KL,,,1204,,,died or short-winged,
1145,,D-1,002,10/13/21,12:24,13:02,28,70,PK,Y,B,1145,0.094,Y,,
1058,,D-2,002,10/13/21,12:24,13:42,28,70,KL,Y,C,1058,0.098,Y,,
1397,,D-3,002,10/13/21,12:25,13:02,28,70,PK,Y,B,1397,0.050,N,,
1065,,D-4,002,10/13/21,12:26,13:18,28,70,KL,Y,BC,1065,0.046,N,,
1086,,A-1,002,10/13/21,12:40,13:15,28,70,KL,Y,B,1086,0.032,N,,
1390,Y,,002,10/13/21,,,28,70,PK,,,1390,,,died or short-winged,
1071,Y,,002,10/13/21,,,28,70,KL,,,1071,,,died or short-winged,
1076,,A-2,002,10/13/21,12:41,9:23,28,70,KL,Y,C,1076,0.050,N,,Y
1136,Y,,002,10/13/21,,,28,70,KL,,,1136,,,died or short-winged,
1335,,A-4,002,10/13/21,12:42,13:15,28,70,KL,Y,B,1335,0.035,N,,
1133,Y,,002,10/13/21,,,28,70,KL,,,1133,,,died or short-winged,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,EWM,NOTES,next_day
1105,,A-1,003,10/14/21,10:10,10:42,20,70,KL,N,,1105,0.107,Y,,
1416,,A-2,003,10/14/21,10:11,13:11,20,70,PK,Y,C,1416,0.053,N,,
1118,,A-3,003,10/14/21,10:12,10:42,20,70,KL,N,,1118,0.104,Y,,
1429,Y,,003,10/14/21,,,20,70,,,,1429,,,died or short-winged,
1112,Y,,003,10/14/21,,,20,70,,,,1112,,,died or short-winged,
1122,,A-4,003,10/14/21,10:12,10:42,20,70,KL,Y,B,1122,0.037,N,,
1296,,B-1,003,10/14/21,10:13,10:43,20,70,KL,Y,B,1296,0.089,Y,,
1036,Y,,003,10/14/21,,,20,70,,,,1036,,,died or short-winged,
