,sex,mass_per,flight_case,egg_case
0,1,2.63157894736842,3,0
1,1,2.7027027027026898,1,0
2,1,-4.16666666666667,3,0
3,1,25.714285714285698,2,0
4,2,14.9425287356322,0,3
5,1,2.3809523809523703,3,0
6,2,64.0625,3,1
7,1,13.953488372093,2,0
8,1,-10.5263157894737,3,0
9,1,13.953488372093,3,0
10,2,86.4864864864865,2,1
11,2,-11.4503816793893,0,3
12,1,26.0869565217391,0,0
13,1,9.52380952380951,3,0
14,1,2.5,3,0
15,1,4.651162790697679,2,0
16,2,-10.0,3,0
17,2,59.0909090909091,2,1
18,1,29.4117647058823,3,0
19,1,6.97674418604652,0,0
20,1,-11.904761904761902,3,0
21,2,13.461538461538401,3,0
22,2,107.692307692308,3,1
23,2,-26.6666666666667,0,3
24,1,0.0,3,0
25,2,37.5,0,3
26,2,23.076923076923105,0,3
27,2,-25.742574257425698,0,3
28,1,2.2727272727272703,3,0
29,1,56.25,3,0
30,1,-13.7254901960784,3,0
31,2,-6.06060606060607,0,1
32,1,5.0,3,0
33,1,9.090909090909099,3,0
34,2,0.819672131147542,0,3
35,2,21.7391304347826,2,0
36,2,8.06451612903227,0,3
37,2,6.45161290322581,3,0
38,1,-6.06060606060607,3,0
39,1,-3.03030303030303,3,0
40,2,45.762711864406796,2,1
42,1,-1.9230769230769398,0,0
43,1,2.08333333333334,0,0
44,1,2.63157894736842,3,0
45,2,-36.7924528301887,3,2
46,2,-23.4042553191489,0,3
47,1,36.1111111111111,3,0
48,1,-5.71428571428572,0,0
49,2,-15.7303370786517,0,3
50,1,9.090909090909099,3,0
51,2,26.0869565217391,2,1
52,1,2.77777777777778,3,0
53,2,46.6666666666667,3,0
54,1,-11.4285714285714,3,0
55,1,4.545454545454549,3,0
56,1,-5.55555555555556,3,0
57,1,23.6842105263158,1,0
58,1,22.9166666666667,0,0
59,1,15.625,2,0
60,1,18.181818181818198,3,0
61,2,3.7974683544303702,0,3
62,2,64.28571428571429,3,1
63,1,-12.2448979591837,3,0
64,2,6.12244897959183,0,2
65,2,31.3131313131313,0,1
66,1,21.212121212121197,0,0
67,1,26.6666666666667,0,0
68,1,0.0,3,0
69,2,-28.888888888888896,0,1
70,1,-2.3255813953488196,3,0
71,1,-1.7543859649122802,0,0
72,1,6.24999999999999,0,0
73,2,-3.6363636363636402,0,1
74,1,10.7142857142857,3,0
75,2,13.698630136986301,0,3
76,1,5.405405405405389,0,0
77,1,4.651162790697679,2,0
78,2,-4.59770114942528,0,3
79,2,28.7878787878788,3,1
80,1,-2.5,0,0
81,2,9.302325581395358,3,0
82,1,10.3448275862069,2,0
83,1,30.0,2,0
84,1,5.0,3,0
85,1,-4.6511627906976605,3,0
86,1,5.55555555555554,3,0
87,2,-12.9032258064516,2,1
88,1,-9.999999999999991,3,0
89,2,-8.10810810810811,0,1
90,2,23.75,2,3
91,2,-21.969696969696997,0,3
92,2,74.5098039215687,3,3
93,1,4.16666666666667,3,0
94,1,-12.5,3,0
95,2,11.1111111111111,3,1
96,2,20.731707317073198,3,0
97,1,9.375000000000009,1,0
98,1,18.181818181818198,3,0
99,1,-8.69565217391304,3,0
100,1,-6.89655172413793,0,0
101,2,-21.212121212121197,3,1
102,2,9.75609756097562,0,2
103,2,-14.7368421052632,3,1
104,1,13.7931034482759,0,0
105,1,3.5714285714285694,0,0
106,1,20.8333333333333,0,0
107,2,-28.2608695652174,0,2
108,2,13.333333333333302,0,3
109,1,12.5,1,0
110,2,33.3333333333333,2,1
111,2,30.188679245282998,3,1
112,1,7.3170731707317005,3,0
113,1,2.22222222222222,3,0
114,2,0.0,0,3
115,2,54.7169811320755,0,0
116,1,18.181818181818198,3,0
117,1,7.4074074074074,2,0
118,2,-25.6410256410256,0,3
119,2,4.0,0,3
120,1,2.5641025641025696,0,0
121,1,13.953488372093,2,0
122,1,-9.999999999999991,3,0
123,1,-3.3333333333333304,1,0
124,1,6.06060606060607,3,0
125,1,22.8571428571428,2,0
126,1,43.2432432432432,2,0
127,1,6.81818181818182,2,0
128,1,12.121212121212098,3,0
129,1,0.0,2,0
130,1,-13.1578947368421,0,0
131,1,2.5,3,0
132,1,5.26315789473685,3,0
133,2,14.8936170212766,3,0
134,2,30.3571428571428,0,1
135,1,12.121212121212098,2,0
136,1,0.0,0,0
137,2,-36.190476190476204,3,1
138,1,-6.25000000000001,3,0
139,1,-2.1276595744680904,0,0
140,2,-8.411214953271019,0,3
141,1,4.3478260869565295,3,0
142,2,-2.22222222222221,0,3
143,2,-12.3287671232877,0,3
144,1,41.9354838709677,3,0
145,1,25.531914893617,2,0
146,1,-13.1578947368421,3,0
147,2,12.280701754386001,3,0
148,2,0.0,0,3
149,1,10.8108108108108,3,0
150,2,4.2105263157894806,0,3
151,1,10.256410256410199,3,0
152,1,0.0,3,0
153,1,-8.33333333333334,1,0
154,2,-3.03030303030303,0,2
155,1,2.5641025641025696,3,0
156,1,-4.54545454545453,3,0
157,2,9.72222222222221,0,3
158,1,12.121212121212098,1,0
159,1,43.589743589743605,3,0
160,1,39.3939393939394,3,0
161,1,-2.85714285714286,0,0
162,2,3.0075187969924597,0,3
163,1,9.67741935483872,3,0
164,1,29.7297297297297,2,0
165,1,-9.30232558139534,3,0
166,1,2.5,0,0
167,2,-34.8837209302326,3,3
168,2,-4.22535211267604,2,3
169,1,-23.529411764705895,0,0
170,1,20.0,3,0
171,1,-9.375,3,0
172,1,7.6923076923077,3,0
173,1,16.2162162162162,2,0
174,1,16.6666666666667,2,0
175,1,-7.49999999999999,2,0
176,1,9.090909090909099,3,0
177,2,35.5932203389831,2,1
178,2,60.0,2,1
179,1,6.66666666666667,2,0
180,1,20.588235294117602,3,0
181,1,5.26315789473685,0,0
182,1,-6.06060606060607,3,0
183,1,25.6410256410256,2,0
184,1,2.3809523809523703,3,0
185,1,50.0,0,0
186,1,26.8292682926829,3,0
187,1,41.3793103448276,3,0
188,2,22.2222222222222,3,0
189,1,-5.71428571428572,3,0
190,1,-2.22222222222222,3,0
191,1,-2.77777777777778,1,0
192,1,-18.4210526315789,3,0
193,1,-17.9487179487179,0,0
194,2,17.1428571428571,0,3
195,1,9.375000000000009,3,0
196,1,30.5555555555555,2,0
197,2,58.974358974359,2,1
198,2,-34.3434343434343,3,1
199,1,-8.51063829787235,1,0
200,2,2.17391304347826,2,0
201,1,5.71428571428572,3,0
202,1,5.55555555555554,3,0
203,1,6.521739130434789,3,0
204,2,43.5294117647059,2,3
205,2,2.5641025641025696,0,3
206,2,13.5135135135135,0,3
207,2,8.97435897435898,0,3
208,2,-13.761467889908301,2,3
209,1,10.5263157894737,3,0
210,1,17.2413793103448,2,0
211,1,0.0,3,0
212,2,7.142857142857139,3,0
213,1,15.1515151515151,0,0
216,1,0.0,3,0
217,1,-17.5,0,0
