ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,latitude,longitude,total_eggs
114,set001-2-17-2020-A2_114.txt,T1,A-2,A,2,1,0.21096255116712145,0.0,1.8849,0.0,0.0,0.0,2012.0299999999988,0.18211594202913914,2020-02-17,14:31:00,15:06:00,2100.0,M,Key Largo,Key Largo,KLMRL,C. corindum,Y,B,,0.043,N,25.1000151,-80.437522,
318,set001-2-17-2020-A2_318.txt,T1,A-2,A,2,1,0.3059762721977097,6101.220000000001,1818.300200000085,0.0,6101.220000000001,0.96838152316588,6300.429999999998,0.4833076923066103,2020-02-17,15:39:00,17:34:00,6900.0,F,Key Largo,Key Largo,JP,C. corindum,Y,C,,0.039,N,25.1284578,-80.4080913,91.0
37,set001-2-17-2020-A2_37.txt,T1,A-2,A,2,1,0.0,0.0,1.2566,0.0,0.0,0.0,1977.1100000000006,0.0,2020-02-17,15:07:00,15:38:00,1860.0,F,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.066,N,25.1755702,-80.36780089,53.0
423,set001-2-17-2020-A2_423.txt,T1,A-2,A,2,1,0.2743954190145851,574.4700000000012,11.309399999999998,0.0,541.5400000000009,0.2915573375288657,1970.3500000000024,0.3652906976741713,2020-02-17,14:00:00,14:31:00,1860.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.026000000000000002,N,25.1820931,-80.36319379999999,
426,set001-2-17-2020-A2_426.txt,T1,A-2,A,2,1,0.4161350715322705,8.809999999997672,7.539600000000001,0.0,7.5200000000004374,0.00396120625699626,2224.07,0.5066935483879292,2020-02-17,13:23:00,13:59:00,2160.0,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,B,,0.043,N,25.19515,-80.345916,
427,set001-2-17-2020-A2_427.txt,T1,A-2,A,2,1,0.2673379490900757,4357.76,1009.0497999999831,0.0,4319.51,0.6781925282660629,6425.549999999998,0.4619852941174493,2020-02-17,11:37:00,13:02:00,5100.0,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,C,,0.024,N,25.19515,-80.345916,
435,set001-2-17-2020-A2_435.txt,T1,A-2,A,2,1,0.4007915114493863,12023.9,4450.877199999812,112.40999999999987,11883.990000000002,0.949530876988768,12662.99,0.6477319587628874,2020-02-17,8:15:00,11:35:00,12000.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.034,N,25.273488500000003,-80.3040957,
143,set001-2-17-2020-A3_143.txt,T1,A-3,A,3,1,0.3612516658047076,38.470000000000255,14.450899999999995,0.0,38.470000000000255,0.016471212841295026,2335.59,0.4001910828025061,2020-02-17,8:15:00,08:45:00,1800.0,M,North Key Largo,North Key Largo,MM165,C. corindum,N,,,0.032,N,25.2275238,-80.3283788,
275,set001-2-17-2020-A3_275.txt,T1,A-3,A,3,1,0.2903299378167978,29884.91,8521.004600001808,0.0,29884.91,0.9555456506634802,31275.230000000003,0.4106535947713101,2020-02-17,8:45:00,17:10:00,30300.0,M,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,,0.03,N,27.896740299999998,-81.58046540000001,
133,set001-2-17-2020-A4_133.txt,T1,A-4,A,4,1,0.32788237641666296,157.67999999999662,27.016899999999985,0.0,50.78000000000248,0.07706029254370159,2046.1899999999987,0.4654074074066549,2020-02-17,14:00:00,14:31:00,1860.0,F,North Key Largo,North Key Largo,DD front,C. corindum,Y,B,,0.08,Y,25.273488500000003,-80.3040957,208.0
