ID,pophost,population,sex,beak,thorax,wing,body,month,year,months_since_month_zero,season,w_morph,lat,long,diapause,field_date_collected,notes,date_measured,date_entered,recorder
1,C. corindum,Plantation Key,M,5.5,3.18,8.39,11.83,February,2020,81,winter,L,24.9735748,-80.5539224,non-diapausing,2.4.2020,wings torn at the end,03.27.2020,04.03.2020,AB
2,C. corindum,Plantation Key,M,5.64,3.12,7.88,11.09,February,2020,81,winter,L,24.9735748,-80.5539224,non-diapausing,2.4.2020,,03.27.2020,04.03.2020,AB
3,C. corindum,Plantation Key,M,5.75,3.36,8.48,11.9,February,2020,81,winter,L,24.9735748,-80.5539224,non-diapausing,2.4.2020,,03.27.2020,04.03.2020,AB
4,C. corindum,Plantation Key,M,6.21,2.97,7.87,10.9,February,2020,81,winter,L,24.9735748,-80.5539224,non-diapausing,2.4.2020,,03.27.2020,04.03.2020,AB
5,C. corindum,Plantation Key,F,7.47,3.32,8.33,11.89,February,2020,81,winter,L,24.9735748,-80.5539224,non-diapausing,2.4.2020,,03.27.2020,04.03.2020,AB
6,C. corindum,Plantation Key,M,5.76,3.04,8.03,11,February,2020,81,winter,L,24.96424,-80.5673321,non-diapausing,2.4.2020,,03.27.2020,04.03.2020,AB
7,C. corindum,Plantation Key,F,8.19,3.64,9.3,13.02,February,2020,81,winter,L,24.96424,-80.5673321,non-diapausing,2.4.2020,,03.27.2020,04.03.2020,AB
8,C. corindum,Plantation Key,F,8.39,3.54,9.38,13.09,February,2020,81,winter,L,24.96424,-80.5673321,non-diapausing,2.4.2020,,03.27.2020,04.03.2020,AB
9,C. corindum,Plantation Key,M,6.1,3.39,9.06,12.14,February,2020,81,winter,L,24.96424,-80.5673321,non-diapausing,2.4.2020,,03.27.2020,04.03.2020,AB
10,C. corindum,Plantation Key,M,6.09,3.28,8.56,12.21,February,2020,81,winter,L,24.96424,-80.5673321,non-diapausing,2.4.2020,,03.27.2020,04.03.2020,AB
11,C. corindum,Key Largo,M,5.88,3.14,8.39,11.68,February,2020,81,winter,L,25.1000151,-80.437522,non-diapausing,2.5.2020,,03.27.2020,04.03.2020,AB
12,C. corindum,Key Largo,F,8.79,3.86,10.07,14,February,2020,81,winter,L,25.1000151,-80.437522,non-diapausing,2.5.2020,,03.27.2020,04.03.2020,AB
13,C. corindum,Key Largo,F,6.99,3.69,9.2,13.11,February,2020,81,winter,L,25.1000151,-80.437522,non-diapausing,2.5.2020,wings torn at the end,03.27.2020,04.03.2020,AB
14,C. corindum,Key Largo,M,5.25,2.72,7.87,10.31,February,2020,81,winter,L,25.1000151,-80.437522,non-diapausing,2.5.2020,,03.27.2020,04.03.2020,AB
15,C. corindum,Key Largo,M,6.53,3.08,8.08,11.31,February,2020,81,winter,L,25.1284578,-80.4080913,non-diapausing,2.5.2020,,03.27.2020,04.03.2020,AB
16,C. corindum,Key Largo,F,6.33,3.33,8.78,12.13,February,2020,81,winter,L,25.1284578,-80.4080913,non-diapausing,2.5.2020,,03.30.2020,04.03.2020,AB
17,C. corindum,Key Largo,M,6.18,3.03,8.04,10.94,February,2020,81,winter,L,25.1284578,-80.4080913,non-diapausing,2.5.2020,,03.30.2020,04.03.2020,AB
18,C. corindum,Key Largo,M,6.08,2.97,7.8,10.95,February,2020,81,winter,L,25.1284578,-80.4080913,non-diapausing,2.5.2020,,03.30.2020,04.03.2020,AB
19,C. corindum,Key Largo,F,7.54,3.41,8.42,11.99,February,2020,81,winter,L,25.1284578,-80.4080913,non-diapausing,2.5.2020,,03.30.2020,04.03.2020,AB
20,C. corindum,Key Largo,M,8.73,3.59,9.71,13.59,February,2020,81,winter,L,25.1284578,-80.4080913,non-diapausing,2.5.2020,,03.30.2020,04.03.2020,AB
21,C. corindum,North Key Largo,M,6.03,2.9,7.68,10.67,February,2020,81,winter,L,25.2734885,-80.3040957,non-diapausing,2.3.2020,,03.30.2020,04.03.2020,AB
22,C. corindum,North Key Largo,M,5.75,2.94,8.3,11.4,February,2020,81,winter,L,25.2734885,-80.3040957,non-diapausing,2.3.2020,,03.30.2020,04.03.2020,AB
23,C. corindum,North Key Largo,M,5.44,2.97,7.66,10.67,February,2020,81,winter,L,25.2734885,-80.3040957,non-diapausing,2.3.2020,wings torn at the end,03.30.2020,04.03.2020,AB
24,C. corindum,North Key Largo,M,6.07,3.24,8.4,11.4,February,2020,81,winter,L,25.2734885,-80.3040957,non-diapausing,2.3.2020,,03.30.2020,04.03.2020,AB
25,C. corindum,North Key Largo,F,8.03,3.42,9.08,12.77,February,2020,81,winter,L,25.2734885,-80.3040957,non-diapausing,2.3.2020,,03.30.2020,04.03.2020,AB
26,C. corindum,North Key Largo,F,7.15,3.01,7.91,11.29,February,2020,81,winter,L,25.19515,-80.345916,non-diapausing,2.5.2020,,03.30.2020,04.03.2020,AB
27,C. corindum,North Key Largo,F,7.58,3.55,8.72,12.28,February,2020,81,winter,L,25.19515,-80.345916,non-diapausing,2.5.2020,,03.30.2020,04.03.2020,AB
28,C. corindum,North Key Largo,M,5.5,2.9,7.57,10.73,February,2020,81,winter,L,25.19515,-80.345916,non-diapausing,2.5.2020,wings torn at the end,03.30.2020,04.03.2020,AB
29,C. corindum,North Key Largo,F,6.24,2.98,7.58,10.98,February,2020,81,winter,L,25.19515,-80.345916,non-diapausing,2.5.2020,,03.30.2020,04.03.2020,AB
30,C. corindum,North Key Largo,F,7.56,3.26,8.18,11.71,February,2020,81,winter,L,25.19515,-80.345916,non-diapausing,2.5.2020,,03.30.2020,04.03.2020,AB
31,C. corindum,North Key Largo,F,8.12,3.25,8.28,11.71,February,2020,81,winter,L,25.2565615,-80.3108042,non-diapausing,2.4.2020,,03.30.2020,04.03.2020,AB
32,C. corindum,North Key Largo,F,8.17,3.54,9.33,12.79,February,2020,81,winter,L,25.2565615,-80.3108042,non-diapausing,2.4.2020,wings torn at the end,03.30.2020,04.03.2020,AB
