ID,sex,population,host,site,notes,latitude,longitude
1,F,Plantation Key,C. corindum ,Founder's #2,P,24.985185,-80.547098
2,F,Plantation Key,C. corindum ,Founder's #2,P,24.985185,-80.547098
3,M,Plantation Key,C. corindum ,Founder's #2,P,24.985185,-80.547098
4,M,Plantation Key,C. corindum ,Founder's #2,P,24.985185,-80.547098
5,F,Plantation Key,C. corindum ,Founder's #2,P,24.985185,-80.547098
6,F,Plantation Key,C. corindum ,Founder's #2,P,24.985185,-80.547098
7,M,Plantation Key,C. corindum ,Founder's #2,P,24.985185,-80.547098
8,F,Plantation Key,C. corindum ,Founder's #2,C,24.985185,-80.547098
9,F,Plantation Key,C. corindum ,Founder's #2,C,24.985185,-80.547098
10,M,Plantation Key,C. corindum ,Founder's #2,C,24.985185,-80.547098
11,M,Plantation Key,C. corindum ,Founder's #2,C,24.985185,-80.547098
12,F,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
13,M,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
14,F,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
15,M,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
16,F,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
17,M,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
18,M,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
19,F,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
20,M,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
21,M,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
22,M,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
23,F,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
24,M,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
25,M,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
26,M,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
27,M,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
28,F,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
29,M,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
30,F,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
31,M,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
32,F,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
33,M,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
34,F,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
35,M,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
36,F,Plantation Key,C. corindum ,Founder's #1,C,24.96448253,-80.56738908
37,F,Key Largo,C. corindum ,JP Grove,P,25.12846,-80.40809
38,F,Key Largo,C. corindum ,JP Grove,P,25.12846,-80.40809
39,F,Key Largo,C. corindum ,JP Grove,P,25.12846,-80.40809
40,M,Key Largo,C. corindum ,JP Grove,P,25.12846,-80.40809
41,M,Key Largo,C. corindum ,JP Grove,P,25.12846,-80.40809
42,F,Key Largo,C. corindum ,JP Grove,P,25.12846,-80.40809
43,M,Key Largo,C. corindum ,JP Grove,P,25.12846,-80.40809
44,M,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
45,M,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
46,F,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
47,M,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
48,F,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
49,M,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
50,M,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
51,F,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
52,F,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
53,M,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
54,M,Key Largo,C. corindum ,JP Grove,C; NOT J. haematoloma,25.12846,-80.40809
55,M,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
56,M,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
57,M,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
58,F,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
59,M,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
60,F,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
61,M,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
62,F,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
63,F,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
64,F,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
65,F,Key Largo,C. corindum ,JP Grove,C,25.12846,-80.40809
66,F,North Key Largo,C. corindum ,Dagny Trellis,P,25.1755048,-80.36782055
67,M,North Key Largo,C. corindum ,Dagny Trellis,P,25.1755048,-80.36782055
68,M,North Key Largo,C. corindum ,Dagny Trellis,P,25.1755048,-80.36782055
