ID,box,test_date,time_start,set_number,chamber,sex,population,site,host_plant,flew,died?,flight_type,flight_details,NOTES,filename,mass,short-wing?,eggs,time_end
329,C,10.15,11:30am,1,A-1,M,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,set001-11am-10-15-19-A1.txt,,,,
372,Petri2,10.15,11:30am,1,A-2,F,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,set001-11am-10-15-19-A2.txt,,,Y,
37,Petri1,10.15,11:30am,1,A-3,F,Key Largo,JP Grove,C. corindum ,N,Y,,,,set001-11am-10-15-19-A3.txt,,,Y,
303,C,10.15,11:30am,1,A-4,F,Lake Placid,Barber shop,K. elegans,N,,,,,set001-11am-10-15-19-A4.txt,,,Y,
259,C,10.15,11:30am,1,B-1,M,North Key Largo,DD,C. corindum ,N,,,,,set001-11am-10-15-19-B1.txt,,,,
89,Petri1,10.15,11:30am,1,B-2,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,,,set001-11am-10-15-19-B2.txt,,,,
354,D,10.15,11:30am,1,B-3,F,Lake Placid,Barber shop,K. elegans,N,,,,,set001-11am-10-15-19-B3.txt,,,Y,
158,D,10.15,11:30am,1,B-4,M,Lake Wales,Polk,K. elegans,N,,,,,set001-11am-10-15-19-B4.txt,,,,
349,D,10.15,12:10,2,A-1,M,Lake Placid,Barber shop,K. elegans,N,,,,no recording,NA,,,,
265,C,10.15,12:10,2,A-2,F,North Key Largo,DD,C. corindum ,N,,,,no recording,NA,,,Y,
282,C,10.15,12:10,2,A-3,M,North Key Largo,DD,C. corindum ,N,,,,no recording,NA,,,,
242,Petri2,10.15,12:10,2,A-4,F,North Key Largo,DD front,C. corindum ,N,,,,no recording,NA,,,Y,
127,B,10.15,12:10,2,B-1,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,no recording,NA,,,,
51,B,10.15,12:10,2,B-2,F,Key Largo,JP Grove,C. corindum ,N,Y,,,no recording,NA,,,Y,
118,A,10.15,12:10,2,B-3,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,no recording,NA,,,,
