filename,channel_num,channel_letter,chamber,ID,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed
set001-11am-10-15-19-A1.txt,1,A,A-1,329,1,0.286,757.6,204.197,0,757.6,0.842,900.0,0.393
set001-11am-10-15-19-A2.txt,2,A,A-2,372,1,0,0,0,0,0,0,900.0,0
set001-11am-10-15-19-A3.txt,3,A,A-3,37,1,0,0,0,0,0,0,900.0,0
set001-11am-10-15-19-A4.txt,4,A,A-4,303,1,0,0,0.628,0,0,0,900.0,0
set001-11am-10-15-19-B1.txt,1,B,B-1,259,1,0,0,0,0,0,0,900.0,0
set001-11am-10-15-19-B2.txt,2,B,B-2,89,1,0.31,894.4,275.195,0,894.4,0.994,900.0,0.393
set001-11am-10-15-19-B3.txt,3,B,B-3,354,1,0,0,0,0,0,0,900.0,0
set001-11am-10-15-19-B4.txt,4,B,B-4,158,1,0,0,0,0,0,0,900.0,0
set003-10-15-19-A1.txt,1,A,A-1,30,3,0,0,0,0,0,0,1449.4,0
set003-10-15-19-A2.txt,2,A,A-2,141,3,0,0,0,0,0,0,1449.4,0
set003-10-15-19-A3.txt,3,A,A-3,313,3,0.215,0,1.885,0,0,0,1449.4,0.196
set003-10-15-19-A4.txt,4,A,A-4,82,3,0,0,0,0,0,0,1449.4,0
set003-10-15-19-B1.txt,1,B,B-1,402,3,0,0,0,0,0,0,1504.3,0
set003-10-15-19-B2.txt,2,B,B-2,86,3,0,0,0,0,0,0,1504.3,0
set003-10-15-19-B3.txt,3,B,B-3,58,3,0,0,0.628,0,0,0,1504.3,0
set003-10-15-19-B4.txt,4,B,B-4,132,3,0.231,581.2,93.617,82.0,97.5,0.386,1504.3,1.047
set004-10-15-19-A1.txt,1,A,A-1,262,4,0.319,1326.7,16.336,70.6,1205.5,0.737,1800.0,0.785
set004-10-15-19-A2.txt,2,A,A-2,105,4,0,0,0,0,0,0,1800.0,0
set004-10-15-19-A3.txt,3,A,A-3,237,4,0,0,0,0,0,0,1800.0,0
set004-10-15-19-A4.txt,4,A,A-4,328,4,0.175,1192.6,28.902,64.8,936.5,0.663,1800.0,0.286
set005-10-16-19-A1.txt,1,A,A-1,99,5,0.417,548.8,219.905,0,548.8,0.305,1800.0,0.524
set005-10-16-19-A2.txt,2,A,A-2,346,5,0.168,1525.0,6.911,0,1498.6,0.847,1800.0,0.251
set005-10-16-19-A3.txt,3,A,A-3,201,5,0.393,0,3.141,0,0,0,1800.0,0.628
set005-10-16-19-A4.txt,4,A,A-4,238,5,0.126,577.6,4.398,0,571.6,0.321,1800.0,0.15
set005-10-16-19-B1.txt,1,B,B-1,296,5,0.186,1645.5,4.398,0,1640.8,0.914,1800.0,0.19
set005-10-16-19-B2.txt,2,B,B-2,255,5,0,0,0.628,0,0,0,1800.0,0
set005-10-16-19-B3.txt,3,B,B-3,110,5,0,0,0,0,0,0,1800.0,0
set005-10-16-19-B4.txt,4,B,B-4,383,5,0,0,0,0,0,0,1800.0,0
set006-10-16-19-A1.txt,1,A,A-1,312,6,0.212,546.8,30.158,0,370.4,0.304,1800.0,0.898
set006-10-16-19-A2.txt,2,A,A-2,261,6,0.338,1763.7,584.319,0,1763.7,0.98,1800.0,0.483
set006-10-16-19-A3.txt,3,A,A-3,405,6,0,0,0,0,0,0,1800.0,0
set006-10-16-19-A4.txt,4,A,A-4,113,6,0.249,1737.1,427.872,0,1737.1,0.965,1800.0,0.349
set006-10-16-19-B1.txt,1,B,B-1,47,6,0,0,0,0,0,0,1800.0,0
set006-10-16-19-B2.txt,2,B,B-2,254,6,0,0,0,0,0,0,1800.0,0
