ID,pophost,population,sex,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder,lat,long
2,C.corindum,Plantation Key,F,8.26,3.33,6.94,10.92,S,,03.19.2020,03.25.2020,AB,24.985185,-80.547098
8,C.corindum,Plantation Key,F,7.17,3.09,6.10,9.65,S,,03.19.2020,03.25.2020,AB,24.985185,-80.547098
12,C.corindum,Plantation Key,F,8.50,3.67,9.20,12.91,L,,03.19.2020,03.25.2020,AB,24.985185,-80.547098
13,C.corindum,Plantation Key,M,6.75,3.39,8.71,11.97,L,wings torn at end,03.19.2020,03.25.2020,AB,24.985185,-80.547098
15,C.corindum,Plantation Key,M,6.01,2.97,7.62,10.51,L,,03.19.2020,03.25.2020,AB,24.985185,-80.547098
16,C.corindum,Plantation Key,F,7.76,3.44,9.12,12.56,L,,03.19.2020,03.25.2020,AB,24.985185,-80.547098
17,C.corindum,Plantation Key,M,5.74,2.61,4.39,7.52,S,,03.19.2020,03.25.2020,AB,24.985185,-80.547098
18,C.corindum,Plantation Key,M,5.52,2.44,4.31,7.19,S,,03.19.2020,03.25.2020,AB,24.985185,-80.547098
21,C.corindum,Plantation Key,M,5.26,2.64,4.98,7.87,S,,03.19.2020,03.25.2020,AB,24.985185,-80.547098
26,C.corindum,Plantation Key,M,6.36,3.53,9.33,11.98,L,,03.19.2020,03.25.2020,AB,24.985185,-80.547098
30,C.corindum,Plantation Key,F,8.10,3.32,8.38,11.68,L,,03.19.2020,03.25.2020,AB,24.985185,-80.547098
31,C.corindum,Plantation Key,M,5.87,2.70,7.40,10.53,L,,03.19.2020,03.25.2020,AB,24.985185,-80.547098
33,C.corindum,Plantation Key,M,5.36,2.57,4.27,4.33,S,,03.19.2020,03.25.2020,AB,24.985185,-80.547098
34,C.corindum,Plantation Key,F,9.08,3.88,9.80,13.68,L,,03.19.2020,03.25.2020,AB,24.985185,-80.547098
35,C.corindum,Plantation Key,M,5.72,2.97,7.96,11.05,L,,03.19.2020,03.25.2020,AB,24.985185,-80.547098
37,C.corindum,Key Largo,F,8.17,3.18,8.37,11.91,L,wings torn at end,03.19.2020,03.25.2020,AB,25.12846,-80.40809
39,C.corindum,Key Largo,F,7.78,3.44,8.82,11.79,L,wings torn at end,03.19.2020,03.25.2020,AB,25.12846,-80.40809
41,C.corindum,Key Largo,M,5.56,2.76,4.59,7.77,S,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
46,C.corindum,Key Largo,F,7.93,3.74,9.31,13.21,L,wings torn at end,03.19.2020,03.25.2020,AB,25.12846,-80.40809
47,C.corindum,Key Largo,M,6.63,3.07,7.87,11.37,L,wings torn at end,03.19.2020,03.25.2020,AB,25.12846,-80.40809
48,C.corindum,Key Largo,F,8.56,3.55,9.12,12.58,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
49,C.corindum,Key Largo,M,6.58,3.33,9.56,12.32,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
50,C.corindum,Key Largo,M,6.25,3.37,8.67,11.84,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
51,C.corindum,Key Largo,F,6.95,3.70,9.47,13.09,L,wings torn at end,03.19.2020,03.25.2020,AB,25.12846,-80.40809
54,C.corindum,Key Largo,M,3.60,2.37,7.13,9.19,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
56,C.corindum,Key Largo,M,5.91,2.86,7.62,10.64,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
58,C.corindum,Key Largo,F,9.66,3.89,9.95,13.57,L,wings torn at end,03.19.2020,03.25.2020,AB,25.12846,-80.40809
59,C.corindum,Key Largo,M,6.34,3.43,8.32,11.36,L,wings torn at end,03.20.2020,03.25.2020,AB,25.12846,-80.40809
62,C.corindum,Key Largo,F,7.58,3.23,8.24,11.90,L,,03.20.2020,03.25.2020,AB,25.12846,-80.40809
64,C.corindum,Key Largo,F,7.68,3.25,8.39,11.53,L,wings torn at end,03.20.2020,03.25.2020,AB,25.12846,-80.40809
65,C.corindum,Key Largo,F,7.33,3.23,8.13,11.92,L,wings torn at end,03.20.2020,03.25.2020,AB,25.12846,-80.40809
66,C.corindum,North Key Largo,F,8.10,3.42,8.88,12.66,L,,03.20.2020,03.25.2020,AB,25.12846,-80.40809
67,C.corindum,North Key Largo,M,6.23,2.94,7.76,10.94,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
68,C.corindum,North Key Largo,F,8.26,3.77,10.11,13.74,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
69,C.corindum,North Key Largo,F,8.74,3.43,8.99,12.55,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
73,C.corindum,North Key Largo,M,5.92,3.07,8.41,11.38,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
74,C.corindum,North Key Largo,F,8.80,3.51,9.27,12.74,L,wings torn at end,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
76,C.corindum,North Key Largo,F,6.53,3.18,5.89,9.30,S,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
78,C.corindum,North Key Largo,M,5.79,2.78,7.88,10.34,L,wings torn at end,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
81,C.corindum,North Key Largo,M,6.60,2.89,7.98,11.27,L,,03.20.2020,03.25.2020,AB,25.173694,-80.371532
82,C.corindum,North Key Largo,M,6.31,3.09,8.15,11.11,L,,03.20.2020,03.25.2020,AB,25.173694,-80.371532
84,C.corindum,North Key Largo,M,6.62,2.99,8.62,11.57,L,,03.20.2020,03.25.2020,AB,25.173694,-80.371532
85,C.corindum,North Key Largo,F,8.67,3.52,9.46,13.17,L,wings torn at end,03.20.2020,03.25.2020,AB,25.173694,-80.371532
86,C.corindum,North Key Largo,M,6.19,2.84,7.69,10.69,L,,03.20.2020,03.25.2020,AB,25.173694,-80.371532
89,K.elegans,Homestead,M,6.20,3.31,8.85,12.20,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
90,K.elegans,Homestead,F,7.94,3.75,10.28,13.41,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
91,K.elegans,Homestead,M,5.93,3.21,8.53,11.82,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
92,K.elegans,Homestead,M,5.92,3.19,8.71,11.52,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
95,K.elegans,Homestead,F,8.37,3.80,10.22,14.17,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
96,K.elegans,Homestead,M,5.69,3.10,8.70,11.60,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
98,K.elegans,Homestead,F,7.88,4.07,10.46,14.08,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
99,K.elegans,Homestead,M,5.95,3.03,8.89,11.69,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
101,K.elegans,Homestead,M,5.84,3.15,8.74,11.55,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
102,K.elegans,Homestead,F,8.54,3.59,9.63,13.36,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
103,K.elegans,Homestead,M,5.86,3.12,8.64,11.82,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
105,K.elegans,Homestead,F,8.02,3.69,9.86,13.57,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
107,K.elegans,Homestead,F,8.33,3.74,9.30,12.73,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
108,K.elegans,Homestead,F,7.96,3.67,10.00,13.34,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
109,K.elegans,Homestead,F,7.98,3.66,10.23,13.60,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
110,K.elegans,Homestead,F,6.29,2.62,4.78,8.52,S,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
111,K.elegans,Homestead,M,5.38,3.00,8.22,10.99,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
113,K.elegans,Homestead,M,5.88,3.15,8.60,11.69,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
114,K.elegans,Homestead,M,6.00,3.23,9.32,12.26,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
