ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude
329,set001-11am-10-15-19-A1.txt,1,A,A-1,1,0.286,757.6,204.197,0,757.6,0.842,900.0,0.393,C,10.15,11:30am,M,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,,,,,27.298660028,-81.36611608
372,set001-11am-10-15-19-A2.txt,2,A,A-2,1,0,0,0,0,0,0,900.0,0,Petri2,10.15,11:30am,F,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,,,Y,,28.812980,-81.877895
37,set001-11am-10-15-19-A3.txt,3,A,A-3,1,0,0,0,0,0,0,900.0,0,Petri1,10.15,11:30am,F,Key Largo,JP Grove,C. corindum ,N,Y,,,,,,Y,,25.12846,-80.40809
303,set001-11am-10-15-19-A4.txt,4,A,A-4,1,0,0,0.628,0,0,0,900.0,0,C,10.15,11:30am,F,Lake Placid,Barber shop,K. elegans,N,,,,,,,Y,,27.298660028,-81.36611608
259,set001-11am-10-15-19-B1.txt,1,B,B-1,1,0,0,0,0,0,0,900.0,0,C,10.15,11:30am,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
89,set001-11am-10-15-19-B2.txt,2,B,B-2,1,0.31,894.4,275.195,0,894.4,0.994,900.0,0.393,Petri1,10.15,11:30am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,,,,,,,25.491968,-80.48562
354,set001-11am-10-15-19-B3.txt,3,B,B-3,1,0,0,0,0,0,0,900.0,0,D,10.15,11:30am,F,Lake Placid,Barber shop,K. elegans,N,,,,,,,Y,,27.298660028,-81.36611608
158,set001-11am-10-15-19-B4.txt,4,B,B-4,1,0,0,0,0,0,0,900.0,0,D,10.15,11:30am,M,Lake Wales,Polk,K. elegans,N,,,,,,,,,27.903346,-81.589461
30,set003-10-15-19-A1.txt,1,A,A-1,3,0,0,0,0,0,0,1449.4,0,A,10.15,12:45,F,Plantation Key,Founder's #1,C. corindum ,N,,,,,,,Y,,24.96448253,-80.56738908
141,set003-10-15-19-A2.txt,2,A,A-2,3,0,0,0,0,0,0,1449.4,0,Petri1,10.15,12:45,F,Lake Wales,Polk,K. elegans,N,Y,,,,,,Y,,27.903346,-81.589461
313,set003-10-15-19-A3.txt,3,A,A-3,3,0.215,0,1.885,0,0,0,1449.4,0.196,C,10.15,12:45,F,Lake Placid,Barber shop,K. elegans,Y,,B,bursts,,,,Y,,27.298660028,-81.36611608
82,set003-10-15-19-A4.txt,4,A,A-4,3,0,0,0,0,0,0,1449.4,0,B,10.15,12:45,M,North Key Largo,Dagny 1/2 Loop,C. corindum ,N,,,,,,,,,25.173694,-80.371532
402,set003-10-15-19-B1.txt,1,B,B-1,3,0,0,0,0,0,0,1504.3,0,Petri2,10.15,12:45,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,,,,,29.661821,-82.347211
86,set003-10-15-19-B2.txt,2,B,B-2,3,0,0,0,0,0,0,1504.3,0,B,10.15,12:45,M,North Key Largo,Dagny 1/2 Loop,C. corindum ,N,,,,,,,,,25.173694,-80.371532
58,set003-10-15-19-B3.txt,3,B,B-3,3,0,0,0.628,0,0,0,1504.3,0,B,10.15,12:45,F,Key Largo,JP Grove,C. corindum ,N,,,,,,,,,25.12846,-80.40809
132,set003-10-15-19-B4.txt,4,B,B-4,3,0.231,581.2,93.617,82.0,97.5,0.386,1504.3,1.047,B,10.15,12:45,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,struggled against gravity,,,,,25.491968,-80.48562
