ID,sex,population,host,site,flight_date,eggs,notes
1,F,Plantation Key,C. corindum ,Founder's #2,,,P
2,F,Plantation Key,C. corindum ,Founder's #2,,,P
3,M,Plantation Key,C. corindum ,Founder's #2,,,P
4,M,Plantation Key,C. corindum ,Founder's #2,,,P
5,F,Plantation Key,C. corindum ,Founder's #2,,,P
6,F,Plantation Key,C. corindum ,Founder's #2,,,P
7,M,Plantation Key,C. corindum ,Founder's #2,,,P
8,F,Plantation Key,C. corindum ,Founder's #2,,,C
9,F,Plantation Key,C. corindum ,Founder's #2,,,C
10,M,Plantation Key,C. corindum ,Founder's #2,,,C
11,M,Plantation Key,C. corindum ,Founder's #2,,,C
12,F,Plantation Key,C. corindum ,Founder's #1,,,C
13,M,Plantation Key,C. corindum ,Founder's #1,,,C
14,F,Plantation Key,C. corindum ,Founder's #1,,,C
15,M,Plantation Key,C. corindum ,Founder's #1,,,C
16,F,Plantation Key,C. corindum ,Founder's #1,,,C
17,M,Plantation Key,C. corindum ,Founder's #1,,,C
18,M,Plantation Key,C. corindum ,Founder's #1,,,C
19,F,Plantation Key,C. corindum ,Founder's #1,,,C
20,M,Plantation Key,C. corindum ,Founder's #1,,,C
21,M,Plantation Key,C. corindum ,Founder's #1,,,C
22,M,Plantation Key,C. corindum ,Founder's #1,,,C
23,F,Plantation Key,C. corindum ,Founder's #1,,,C
24,M,Plantation Key,C. corindum ,Founder's #1,,,C
25,M,Plantation Key,C. corindum ,Founder's #1,,,C
26,M,Plantation Key,C. corindum ,Founder's #1,,,C
27,M,Plantation Key,C. corindum ,Founder's #1,,,C
28,F,Plantation Key,C. corindum ,Founder's #1,,,C
29,M,Plantation Key,C. corindum ,Founder's #1,,,C
30,F,Plantation Key,C. corindum ,Founder's #1,,,C
31,M,Plantation Key,C. corindum ,Founder's #1,,,C
32,F,Plantation Key,C. corindum ,Founder's #1,,,C
33,M,Plantation Key,C. corindum ,Founder's #1,,,C
34,F,Plantation Key,C. corindum ,Founder's #1,,,C
35,M,Plantation Key,C. corindum ,Founder's #1,,,C
36,F,Plantation Key,C. corindum ,Founder's #1,,,C
37,F,Key Largo,C. corindum ,JP Grove,,,P
38,F,Key Largo,C. corindum ,JP Grove,,,P
39,F,Key Largo,C. corindum ,JP Grove,,,P
40,M,Key Largo,C. corindum ,JP Grove,,,P
41,M,Key Largo,C. corindum ,JP Grove,,,P
42,F,Key Largo,C. corindum ,JP Grove,,,P
43,M,Key Largo,C. corindum ,JP Grove,,,P
44,M,Key Largo,C. corindum ,JP Grove,,,C
45,M,Key Largo,C. corindum ,JP Grove,,,C
46,F,Key Largo,C. corindum ,JP Grove,,,C
47,M,Key Largo,C. corindum ,JP Grove,,,C
48,F,Key Largo,C. corindum ,JP Grove,,,C
49,M,Key Largo,C. corindum ,JP Grove,,,C
50,M,Key Largo,C. corindum ,JP Grove,,,C
51,F,Key Largo,C. corindum ,JP Grove,,,C
52,F,Key Largo,C. corindum ,JP Grove,,,C
53,M,Key Largo,C. corindum ,JP Grove,,,C
54,M,Key Largo,C. corindum ,JP Grove,,,C; NOT J. haematoloma
55,M,Key Largo,C. corindum ,JP Grove,,,C
56,M,Key Largo,C. corindum ,JP Grove,,,C
