,ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex_x,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude,pophost,sex_y,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder,lat,long
0,37,set001-11am-10-15-19-A3.txt,3,A,A-3,1,0,0,0,0,0,0,900.0,0,Petri1,10.15,11:30am,F,Key Largo,JP Grove,C. corindum ,N,Y,,,,,,Y,,25.12846,-80.40809,C.corindum,F,8.17,3.18,8.37,11.91,L,wings torn at end,03.19.2020,03.25.2020,AB,25.12846,-80.40809
1,259,set001-11am-10-15-19-B1.txt,1,B,B-1,1,0,0,0,0,0,0,900.0,0,C,10.15,11:30am,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,C.corindum,M,6.16,3.10,8.34,11.57,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
6,89,set001-11am-10-15-19-B2.txt,2,B,B-2,1,0.31,894.4,275.195,0,894.4,0.994,900.0,0.393,Petri1,10.15,11:30am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,,,,,,,25.491968,-80.48562,K.elegans,M,6.20,3.31,8.85,12.20,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
10,158,set001-11am-10-15-19-B4.txt,4,B,B-4,1,0,0,0,0,0,0,900.0,0,D,10.15,11:30am,M,Lake Wales,Polk,K. elegans,N,,,,,,,,,27.903346,-81.589461,K.elegans,M,5.54,2.64,5.53,8.33,L,,03.20.2020,03.25.2020,AB,27.903346,-81.589461
77,279,set010-10-17-19-A1.txt,1,A,A-1,10,0.366,1305.9,300.327,107.8,600.9,0.726,1800.0,0.524,C,10.17,10:30,M,North Key Largo,DD,C. corindum ,Y,,C,,,,,,,25.28636983,-80.29077075,C.corindum,M,6.17,3.24,8.40,11.61,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
79,285,set010-10-17-19-A4.txt,4,A,A-4,10,0.589,0,1.885,0,0,0,1800.0,0.785,Petri2,10.17,10:30,F,North Key Largo,DD,C. corindum ,N,,,,,,,Y,,25.28636983,-80.29077075,C.corindum,F,8.61,3.68,9.53,13.47,L,,03.24.2020,03.26.2020,AB,25.28636983,-80.29077075
80,149,set012-10-17-19-A2.txt,2,A,A-2,12,0,0,0.628,0,0,0,1800.0,0,D,10.17,12:20,F,Lake Wales,Polk,K. elegans,N,,,,,,,Y,,27.903346,-81.589461,K.elegans,F,8.18,3.73,10.05,13.89,L,wings torn at end,03.20.2020,03.25.2020,AB,27.903346,-81.589461
83,226,set012-10-17-19-A3.txt,3,A,A-3,12,0.26,540.6,6.911,0,532.3,0.3,1800.0,0.349,E,10.17,12:20,M,North Key Largo,Carysfort Cr,C. corindum ,Y,,B,bursts,,,,,,25.25647566,-80.31068981,C.corindum,M,6.34,2.91,8.08,11.25,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
89,287,set012-10-17-19-A4.txt,4,A,A-4,12,0,0,0.628,0,0,0,1800.0,0,Petri2,10.17,12:20,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,C.corindum,M,5.68,2.81,6.28,8.88,LS,,03.24.2020,03.26.2020,AB,25.28636983,-80.29077075
90,101,set012-10-17-19-B2.txt,2,B,B-2,12,0.377,1796.8,670.396,0,1796.8,0.998,1800.0,0.483,A,10.17,12:20,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,,,,,25.491968,-80.48562,K.elegans,M,5.84,3.15,8.74,11.55,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
