gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,notes
1001,114,8.17.21,8.20.21,,9.11.21,KL,,,Y,
1002,114,8.17.21,8.20.21,,9.11.21,KL,,,Y,
1003,114,8.17.21,8.20.21,9.22.21,,KL,,,Y,
1004,114,8.17.21,,,9.1.21,KL,,,Y,
1005,114,8.17.21,8.20.21,,,KL,,,Y,
1006,114,8.17.21,,,8.24.21,KL,,,Y,
1007,114,8.17.21,8.20.21,9.23.21,,KL,,,Y,
1008,114,8.17.21,8.20.21,,,KL,,,Y,
1009,114,8.17.21,8.20.21,9.22.21,,KL,,,Y,
1010,114,8.17.21,8.26.21,9.21.21,,KL,,,Y,
1011,114,8.17.21,8.20.21,9.21.21,,KL,,,Y,
1012,114,8.17.21,,,9.1.21,KL,,,Y,
1013,114,8.17.21,8.26.21,,,KL,,,Y,
1014,114,8.17.21,8.20.21,,9.11.21,KL,,,Y,
1015,114,8.17.21,8.20.21,9.21.21,,KL,,,Y,
1016,114,8.17.21,8.26.21,,,KL,,,Y,
1017,114,8.17.21,8.20.21,9.21.21,,KL,,,Y,
1018,114,8.17.21,,,,KL,,,N,
1019,114,8.17.21,8.26.21,9.22.21,,KL,,,Y,
1020,114,8.17.21,8.29.21,,,KL,,,Y,
1021,119,8.19.21,8.29.21,,,KL,,,N,
1022,119,8.19.21,8.29.21,9.22.21,,KL,,,Y,
1023,119,8.19.21,8.29.21,,,KL,,,Y,
1024,119,8.19.21,8.29.21,,,KL,,,Y,
1025,119,8.19.21,8.29.21,,9.11.21,KL,,,Y,
1026,119,8.19.21,8.29.21,9.23.21,,KL,,,Y,
1027,119,8.19.21,8.29.21,9.22.21,,KL,,,Y,
1028,119,8.19.21,,,9.1.21,KL,,,Y,
1029,119,8.19.21,8.29.21,,,KL,,,Y,
1030,119,8.19.21,8.29.21,,,KL,,,Y,
1031,119,8.19.21,8.29.21,,9.11.21,KL,,,Y,
1032,16,8.19.21,8.29.21,,,KL,,,Y,
1033,16,8.19.21,8.27.21,,9.11.21,KL,,,Y,
1034,16,8.19.21,,,9.1.21,KL,,,Y,
1035,16,8.19.21,8.20.21,,,KL,,,Y,
1036,16,8.19.21,8.29.21,,,KL,,,Y,
1037,16,8.19.21,8.29.21,,,KL,,,Y,
1038,16,8.19.21,8.27.21,,,KL,,,Y,
1039,16,8.19.21,8.20.21,,,KL,,,Y,
1040,16,8.19.21,8.27.21,9.22.21,,KL,,,Y,
1041,16,8.19.21,8.20.21,,,KL,,,Y,
1042,16,8.19.21,8.27.21,9.21.21,,KL,,,Y,
