ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,overnight
367,,C-1,001,8.16.21,9:32,10:12,28/28,70,Lake Placid,Y,B,367,0.055,N,,
192,,C-2,001,8.16.21,9:34,10:12,28/28,70,Leesburg,N,,192,0.028,N,,
12,,C-3,001,8.16.21,9:36,10:12,28/28,70,Key Largo,N,,12,0.051,Y,,
51,,C-4,001,8.16.21,9:38,10:12,28/28,70,Lake Placid,N,,51,0.073,N,,
356,,D-1,001,8.16.21,9:40,10:14,28/28,70,Homestead,N,,356,0.061,N,,
48,,D-2,001,8.16.21,9:41,10:14,28/28,70,Lake Placid,Y,B,48,0.038,N,,
310,,D-3,001,8.16.21,9:42,8:00,28/28,70,Plantation Key,Y,C,310,0.032,N,,Y
93,Y,,,,,,28/28,70,Gainesville,,,93,,,,
28,,D-4,001,8.16.21,9:43,10:54,28/28,70,Homstead,Y,CB,28,0.039,N,,
124,,C-1,001,8.16.21,10:17,10:55,28/28,70,Homestead,Y,B,124,0.042,N,,
362,,C-2,001,8.16.21,10:18,10:55,28/28,70,Homestead,Y,B,362,0.038,N,,
383,,C-3,001,8.16.21,10:19,10:55,28/28,70,Leesburg,Y,B,383,0.036,N,,
315,,C-3,001,8.16.21,10:21,10:56,28/28,70,Plantation Key,Y,BC,315,0.030,N,,
84,,D-1,001,8.16.21,10:22,10:56,28/28,70,Leesburg,Y,B,84,0.074,N,,
394,,D-2,001,8.16.21,10:23,10:56,28/28,70,Leesburg,N,,394,0.037,N,,
170,,C-1,001,8.16.21,10:59,11:38,28/28,70,Lake Wales,Y,CB,170,0.032,N,,
336,,C-2,001,8.16.21,11:01,12:22,28/28,70,Plantation Key,Y,C,336,0.033,N,had to reposition often at beginning,
388,,C-3,001,8.16.21,11:02,11:40,28/28,70,Leesburg,Y,CB,388,0.057,N,,
248,,C-4,001,8.16.21,11:04,11:41,28/28,70,Lake Place,N,,248,0.070,N,,
125,,D-1,001,8.16.21,11:06,11:42,28/28,70,Homestead,Y,B,125,0.045,N,,
