"ID","died","date_died","sex","population","site","host_plant","S_wing","notes"
1,"Y","8.26.21","M","Plantation Key","Founder's","C. corindum","N",NA
2,"Y","9.7.21","F","Plantation Key","Founder's","C. corindum","N","death date assumption"
3,"Y","9.8.21","F","Plantation Key","Founder's","C. corindum","N",NA
4,"Y","9.16.21","M","Plantation Key","Founder's","C. corindum","N",NA
5,"Y","9.8.21","M","Plantation Key","Founder's","C. corindum","N",NA
6,"Y","8.16.21","F","Plantation Key","Founder's","C. corindum","N",NA
7,"Y","9.8.21","M","Plantation Key","Founder's","C. corindum","N",NA
8,"Y","9.8.21","M","Plantation Key","Founder's","C. corindum","N",NA
9,"Y","9.17.21","F","Plantation Key","Founder's","C. corindum","N",NA
10,"Y","9.21.21","M","Plantation Key","Founder's","C. corindum","N",NA
11,"Y","9.24.21","M","Key Largo","JP Employee","C. corindum","N",NA
12,"Y","9.7.21","F","Key Largo","JP Grove","C. corindum","N","death date assumption"
13,"Y","8.17.21","F","Key Largo","JP Grove","C. corindum","N",NA
14,"Y","8.26.21","M","Key Largo","JP Grove","C. corindum","N",NA
15,"Y","9.11.21","M","Key Largo","JP Grove","C. corindum","N",NA
16,"Y","9.11.21","F","Key Largo","JP Grove","C. corindum","N",NA
17,"Y","8.23.21","F","Key Largo","JP Grove","C. corindum","N",NA
18,"Y","8.23.21","M","Key Largo","JP Grove","C. corindum","N",NA
19,"Y","8.23.21","M","Key Largo","JP Grove","C. corindum","N",NA
20,"Y","8.25.21","F","Key Largo","JP Grove","C. corindum","N",NA
21,"Y","8.16.21","M","North Key Largo","N. Dagny","C. corindum","N",NA
22,"Y","9.13.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
23,"Y","9.24.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
24,"Y","9.11.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
25,"Y","9.11.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
26,"Y","9.17.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
27,"Y","9.22.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
28,"Y","9.16.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
29,"Y","9.24.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
30,"Y","8.17.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
31,"Y","9.24.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
32,"Y","9.7.21","F","Homstead","296st&Roberts ","K. elegans","N","death date assumption"
33,"Y","9.21.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
34,"Y","9.16.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
35,"Y","9.24.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
36,"Y","","F","Homstead","296st&Roberts ","K. elegans","N","death date assumption"
37,"Y","8.25.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
38,"Y","9.8.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
39,"Y","9.11.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
40,"Y","8.17.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
41,"Y","9.7.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
42,"Y","9.24.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
43,"Y","9.16.21","F","Homstead","296st&Roberts ","K. elegans","N",NA
44,"Y","8.19.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
45,"Y","9.17.21","M","Homstead","296st&Roberts ","K. elegans","N",NA
46,"Y","8.24.21","M","Lake Placid","Sheriff's","K. elegans","N",NA
47,"Y","8.29.21","F","Lake Placid","Sheriff's","K. elegans","N",NA
48,"Y","8.24.21","M","Lake Placid","Sheriff's","K. elegans","N",NA
49,"Y","8.25.21","M","Lake Placid","Sheriff's","K. elegans","N",NA
50,"Y","9.11.21","M","Lake Placid","Sheriff's","K. elegans","N",NA
51,"Y","8.23.21","F","Lake Placid","Sheriff's","K. elegans","N",NA
52,"Y","9.23.21","M","Lake Placid","Sheriff's","K. elegans","N",NA
53,"Y","8.15.21","F","Lake Placid","Sheriff's","K. elegans","N",NA
54,"Y","8.24.21","M","Lake Placid","Sheriff's","K. elegans","N",NA
