ID,died,date_died,sex ,population,site,host_plant,S-wing
1,Y,8.26.21,M,Plantation Key,Founder's,C. corindum,N
2,,,F,Plantation Key,Founder's,C. corindum,N
3,,,F,Plantation Key,Founder's,C. corindum,N
4,,,M,Plantation Key,Founder's,C. corindum,N
5,,,M,Plantation Key,Founder's,C. corindum,N
6,Y,8.16.21,F,Plantation Key,Founder's,C. corindum,N
7,,,M,Plantation Key,Founder's,C. corindum,N
8,,,M,Plantation Key,Founder's,C. corindum,N
9,,,F,Plantation Key,Founder's,C. corindum,N
10,,,M,Plantation Key,Founder's,C. corindum,N
11,,,M,Key Largo,JP Employee,C. corindum,N
12,,,F,Key Largo,JP Grove,C. corindum,N
13,Y,8.17.21,F,Key Largo,JP Grove,C. corindum,N
14,Y,8.26.21,M,Key Largo,JP Grove,C. corindum,N
15,,,M,Key Largo,JP Grove,C. corindum,N
16,,,F,Key Largo,JP Grove,C. corindum,N
17,Y,8.23.21,F,Key Largo,JP Grove,C. corindum,N
18,Y,8.23.21,M,Key Largo,JP Grove,C. corindum,N
19,Y,8.23.21,M,Key Largo,JP Grove,C. corindum,N
20,Y,8.25.21,F,Key Largo,JP Grove,C. corindum,N
21,Y,8.16.21,M,North Key Largo,N. Dagny,C. corindum,N
22,,,F,Homstead,296st&Roberts ,K. elegans,N
23,,,M,Homstead,296st&Roberts ,K. elegans,N
24,,,F,Homstead,296st&Roberts ,K. elegans,N
25,,,F,Homstead,296st&Roberts ,K. elegans,N
26,,,M,Homstead,296st&Roberts ,K. elegans,N
27,,,M,Homstead,296st&Roberts ,K. elegans,N
28,,,F,Homstead,296st&Roberts ,K. elegans,N
29,,,F,Homstead,296st&Roberts ,K. elegans,N
30,Y,8.17.21,M,Homstead,296st&Roberts ,K. elegans,N
31,,,M,Homstead,296st&Roberts ,K. elegans,N
32,,,F,Homstead,296st&Roberts ,K. elegans,N
33,,,F,Homstead,296st&Roberts ,K. elegans,N
34,,,M,Homstead,296st&Roberts ,K. elegans,N
35,,,M,Homstead,296st&Roberts ,K. elegans,N
36,,,F,Homstead,296st&Roberts ,K. elegans,N
37,Y,8.25.21,M,Homstead,296st&Roberts ,K. elegans,N
38,,,M,Homstead,296st&Roberts ,K. elegans,N
39,,,F,Homstead,296st&Roberts ,K. elegans,N
40,Y,8.17.21,F,Homstead,296st&Roberts ,K. elegans,N
41,Y,9.7.21,F,Homstead,296st&Roberts ,K. elegans,N
