ID,died,date_died,sex ,population,site,host_plant,S-wing,,order,treatment
176,,,F,Leesburg,Vet's Park,K. elegans,N,,0.182703185,
350,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.780026033,
205,,,F,Plantation Key,Founder's,C. corindum,N,,0.279193882,
106,,,M,Plantation Key,Founder's,C. corindum,N,,0.007707412,
153,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.166520537,
7,,,M,Plantation Key,Founder's,C. corindum,N,,0.440503268,
204,,,F,Plantation Key,Founder's,C. corindum,N,,0.284434028,
324,,,M,Plantation Key,Founder's,K. elegans,N,,0.515043407,
8,,,M,Plantation Key,Founder's,C. corindum,N,,0.30514359,
38,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.181573318,
130,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.47037389,
372,,,M,Lake Placid,Sheriff's,K. elegans,N,,0.253306103,
339,,,F,Plantation Key,Founder's,K. elegans,N,,0.286132699,
346,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.983782562,
12,,,F,Key Largo,JP Grove,C. corindum,N,,0.50344181,
184,,,F,Leesburg,Vet's Park,K. elegans,N,,0.345383953,
125,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.540191914,
234,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.935592247,
5,,,M,Plantation Key,Founder's,C. corindum,N,,0.264117006,
391,,,F,Leesburg,Vet's Park,K. elegans,N,,0.601068422,
309,,,M,Plantation Key,Founder's,K. elegans,N,,0.316367351,
136,,,F,Homestead,296st&Roberts ,K. elegans,N,,0.833649554,
107,,,M,Plantation Key,Founder's,C. corindum,N,,0.595776691,
3,,,F,Plantation Key,Founder's,C. corindum,N,,0.00774939,
141,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.20308517,
128,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.25660716,
255,,,M,Lake Place,Sheriff's,K. elegans,N,,0.671853698,
170,,,M,Lake Wales,Alley,K. elegans,N,,0.3700843,
134,,,M,Homestead,296st&Roberts ,K. elegans,N,,0.439220104,
194,,,F,Leesburg,Vet's Park,K. elegans,N,,0.986632452,
331,,,M,Plantation Key,Founder's,K. elegans,N,,0.189734261,
113,,,M,Key Largo,JP Grove,C. corindum,N,,0.122855736,
250,,,M,Lake Place,Sheriff's,K. elegans,N,,0.834049645,
60,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.294025552,
70,,,F,Lake Wales,Alley,K. elegans,N,,0.566797687,
75,,,F,Lake Wales,Alley,K. elegans,N,,0.041365179,
155,,,F,Lake Placid,Sheriff's,K. elegans,N,,0.707842793,
42,,,M,Homstead,296st&Roberts ,K. elegans,N,,0.599786255,
105,,,M,Plantation Key,Founder's,C. corindum,N,,0.493655119,
