ID,collect_date,n_eggs,n_viable,pop
119,8.17.21,15,,KL
211,8.17.21,1,,KL
92,8.17.21,10,,GV
335,8.17.21,16,,PK
118,8.17.21,15,,KL
114,8.17.21,20,,KL
114,8.19.21,22,,KL
119,8.19.21,10,,KL
16,8.19.21,39,,KL
92,8.19.21,20,,GV
211,8.19.21,9,,KL
118,8.19.21,19,,KL
118,8.20.21,1,,KL
329,8.20.21,13,,PK
363,8.20.21,3,,LP
335,8.20.21,3,,PK
262,8.25.21,5,,LP
114,8.25.21,47,,KL
164,8.25.21,3,,LP
339,8.25.21,14,,PK
389,8.25.21,14,,LB
367,8.25.21,8,,LP
288,8.25.21,18,,LB
387,8.25.21,12,,LB
349,8.25.21,24,,HS
355,8.25.21,14,,HS
229,8.25.21,8,,HS
28,8.25.21,25,,HS
24,8.25.21,42,,HS
