"","mass_per","No","T1","Twice"
"1",-36.7924528301887,0.318277587249305,0.0465236054357831,0.635198807314912
"6",-28.2608695652174,0.27645941151029,0.0573090219248703,0.666231566564839
"8",-26.3157894736842,0.267364646868946,0.0600187009103033,0.672616652220751
"31",-3.03030303030303,0.172670068256911,0.100578471940101,0.726751459802988
"48",6.12244897959183,0.142859547128628,0.121050982233626,0.736089470637746
"55",9.75609756097562,0.132158255841482,0.129949188455887,0.737892555702631
"22",-10,0.406435248347592,0.104407935725577,0.489156815926831
"40",2.17391304347826,0.333555481780976,0.141061710764342,0.525382807454683
"43",3.77358490566038,0.32432624622387,0.146443961278037,0.529229792498093
"49",6.45161290322581,0.309105117331186,0.155747537381585,0.535147345287228
"50",7.14285714285714,0.305225713661638,0.158208235990004,0.536566050348358
"53",9.30232558139536,0.293244656782729,0.166051085449569,0.540704257767702
"57",12.280701754386,0.277082836820956,0.177250799023305,0.54566636415574
"59",13.4615384615384,0.270797721258099,0.181812355165659,0.547389923576242
"62",14.8936170212766,0.263272582103955,0.187435511559203,0.549291906336842
"66",20.7317073170732,0.233756396952202,0.211365163791467,0.554878439256331
"67",21.7391304347826,0.228859963576837,0.215653038602308,0.555486997820856
"68",22.2222222222222,0.226533191563353,0.217725265106642,0.555741543330005
"83",46.6666666666667,0.127779434498432,0.334159668908903,0.538060896592665
"85",54.7169811320755,0.103443222155563,0.376149607941676,0.520407169902761
"3",-34.8837209302326,0.901565398989426,0.028775015328869,0.0696595856817052
"7",-26.6666666666667,0.879247868599887,0.0392880459879234,0.0814640854121895
"9",-25.7425742574257,0.876446687212877,0.0406732166965235,0.0828800960905989
"10",-25.6410256410256,0.876135041760029,0.0408281772651346,0.0830367809748364
"11",-23.4042553191489,0.869074406078439,0.044383777943369,0.0865418159781915
"12",-21.969696969697,0.864343696658881,0.0468129199946717,0.0888433833464478
"13",-21.5189873417722,0.862823903045135,0.0476010769021053,0.0895750200527592
"15",-17.8947368421053,0.850000991195877,0.0543960210053278,0.0956029877987947
"16",-15.7303370786517,0.841813832213728,0.0588647219611821,0.0993214458250903
"18",-13.7614678899083,0.83400773346821,0.0632154409418881,0.102776825589901
"20",-12.3287671232877,0.828106572341166,0.0665607560480393,0.105332671610795
"21",-11.4503816793893,0.824394701245336,0.0686891706381091,0.106916128116555
"23",-8.41121495327102,0.810988038818899,0.0765271578413108,0.112484803339791
"26",-4.59770114942528,0.792889833357551,0.0874647186505048,0.119645447991944
"27",-4.22535211267604,0.791044731051411,0.0886018708119203,0.120353398136669
"28",-4,0.789921212027204,0.0892962563631853,0.120782531609611
"29",-3.65853658536584,0.788208965915363,0.0903573274634252,0.121433706621212
"32",-2.98507462686567,0.784797069780212,0.0924817669847646,0.122721163235023
"33",-2.22222222222221,0.780876168965877,0.0949395918173615,0.124184239216761
"34",0,0.769111855283732,0.102417540194807,0.12847060452146
"35",0,0.769111855283732,0.102417540194807,0.12847060452146
"36",0,0.769111855283732,0.102417540194807,0.12847060452146
"37",0.819672131147542,0.764642895865499,0.105298070006171,0.130059034128329
"38",1.04166666666667,0.763420467022868,0.106089760139657,0.130489772837474
"39",1.88679245283019,0.758719480396127,0.109149181919648,0.132131337684225
"41",2.56410256410257,0.754897856065316,0.11165357075234,0.133448573182344
"42",3.00751879699246,0.752369827207726,0.113318662105359,0.134311510686915
"44",3.79746835443037,0.747814865525982,0.116335563683426,0.135849570790593
"45",4,0.746636458524707,0.117119547993852,0.136243993481442
"46",4.21052631578948,0.745406956918805,0.117939043907307,0.136653999173888
