"","mass_diff","No","T1","Twice"
"2",-0.039,0.285607099675034,0.0215328965586725,0.692860003766294
"10",-0.026,0.235153337455831,0.0374063128917718,0.727440349652397
"12",-0.02,0.21343474899816,0.0479200743438125,0.738645176658028
"31",-0.002,0.154395998556913,0.0974684806865784,0.748135520756509
"52",0.00599999999999999,0.131114714188893,0.131046186874384,0.737839098936723
"58",0.00800000000000001,0.125580714819366,0.140793338405339,0.733625946775294
"24",-0.005,0.35040938221819,0.109203704095415,0.540386913686394
"38",0.001,0.315943583133337,0.138972792075307,0.545083624791356
"43",0.002,0.310203690781715,0.144514127258176,0.545282181960109
"47",0.004,0.298741238072343,0.156115031240467,0.54514373068719
"48",0.004,0.298741238072343,0.156115031240467,0.54514373068719
"49",0.004,0.298741238072343,0.156115031240467,0.54514373068719
"53",0.00699999999999999,0.281616272985585,0.174838306179172,0.543545420835243
"55",0.007,0.281616272985585,0.174838306179172,0.543545420835243
"56",0.00700000000000001,0.281616272985585,0.174838306179172,0.543545420835243
"66",0.015,0.236716645656393,0.232676457005545,0.530606897338061
"68",0.016,0.231220608425752,0.240709529316522,0.528069862257726
"72",0.017,0.225758018925261,0.248916123825714,0.525325857249025
"82",0.028,0.168570921808905,0.349596121605141,0.481832956585954
"83",0.029,0.163699108820209,0.359561645596342,0.476739245583449
"1",-0.045,0.914500708825857,0.0098547875238596,0.0756445036502831
"5",-0.032,0.886356049967186,0.0201526300400998,0.0934913199927139
"6",-0.03,0.881055966426193,0.0224705247954569,0.0964735087783505
"7",-0.029,0.878290014999458,0.0237241556292825,0.0979858293712594
"8",-0.026,0.869495332904285,0.0279029020261526,0.102601765069562
"11",-0.022,0.856498200841125,0.0345844580123137,0.108917341146562
"13",-0.018,0.841857591679655,0.0427725902882503,0.115369818032095
"14",-0.017,0.837914314381017,0.0450888988096612,0.116996786809322
"15",-0.017,0.837914314381017,0.0450888988096612,0.116996786809322
"16",-0.015,0.829661960401018,0.0500792017280879,0.120258837870894
"17",-0.015,0.829661960401018,0.0500792017280879,0.120258837870894
"18",-0.014,0.825345181308456,0.0527636631678591,0.121891155523684
"21",-0.00899999999999999,0.801697118772406,0.0683006980129306,0.130002183214664
"26",-0.004,0.774241898921309,0.0879036663460329,0.137854434732658
"27",-0.00399999999999999,0.774241898921309,0.0879036663460329,0.137854434732658
"28",-0.00299999999999999,0.768250792626743,0.0923796763555001,0.139369531017757
"29",-0.00299999999999999,0.768250792626743,0.0923796763555001,0.139369531017757
"32",-0.002,0.76208433458463,0.0970553664683668,0.140860298947003
"33",-0.00199999999999999,0.76208433458463,0.0970553664683669,0.140860298947003
"34",0,0.749211701856118,0.10703043029039,0.143757867853493
