"host plant","population","site","latitude","longitude","n_site","n_pop"
"K. elegans","Gainesville","23rd & 8th",29.66200224,-82.347313,17,17
"K. elegans","Leesburg","Mount & 8th",28.7963435,-81.8778849,12,12
"K. elegans","Lake Wales","Polk Ave",27.8967403,-81.5804654,11,11
"K. elegans","Lake Placid","110N Main",27.298631,-81.36615,24,24
"K. elegans","Homestead","SW 296th St",25.491362,-80.485821,27,27
"C. corindum","North Key Largo","Dynamite Docks",25.286747,-80.290592,7,143
"C. corindum","North Key Largo","DD front",25.2734885,-80.3040957,32,143
"C. corindum","North Key Largo","Carysfort",25.2565615,-80.3108042,18,143
"C. corindum","North Key Largo","MM165",25.2275238,-80.3283788,17,143
"C. corindum","North Key Largo","Charlemagne",25.19515,-80.345916,21,143
"C. corindum","North Key Largo","N. Dagny",25.1820931,-80.3631938,30,143
"C. corindum","North Key Largo","Dagny Trellis",25.1755702,-80.36780089,18,143
"C. corindum","Key Largo","JP",25.1284578,-80.4080913,22,45
"C. corindum","Key Largo","KLMRL",25.1000151,-80.437522,23,45
"C. corindum","Plantation Key","Aregood Ln",24.9735748,-80.5539224,18,53
"C. corindum","Plantation Key","Founder's",24.96424,-80.5673321,35,53
