"host_plant","population","site","latitude","longitude","n_site","n_pop"
"K. elegans","Gainesville","NW 10th Ave & 18th St",29.661821,-82.347211,14,14
"K. elegans","Leesburg","Veteran’s Memorial Park",28.81298,-81.877895,13,13
"K. elegans","Lake Wales","Polk",27.903346,-81.589461,11,11
"K. elegans","Lake Placid","Barber shop",27.298660028,-81.36611608,43,43
"K. elegans","Homestead","SW 296th St & 182nd Ave",25.491968,-80.48562,34,34
"C. corindum","North Key Largo","DD",25.28636983,-80.29077075,26,65
"C. corindum","North Key Largo","DD front",25.27352007,-80.30428184,2,65
"C. corindum","North Key Largo","Carysfort Cr",25.25647566,-80.31068981,8,65
"C. corindum","North Key Largo","DD -inter",25.252842,-80.311826,2,65
"C. corindum","North Key Largo","Charlemagne",25.1948419,-80.34590136,9,65
"C. corindum","North Key Largo","N. Dagny",25.18229498,-80.36369887,5,65
"C. corindum","North Key Largo","Dagny Trellis",25.1755048,-80.36782055,8,65
"C. corindum","North Key Largo","Dagny 1/2 Loop",25.173694,-80.371532,5,65
"C. corindum","Key Largo","JP Grove",25.12846,-80.40809,14,14
"C. corindum","Plantation Key","Founder's #2",24.985185,-80.547098,1,13
"C. corindum","Plantation Key","Founder's #1",24.96448253,-80.56738908,12,13
