ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex,population,site,host_plant,flew,died?,flight_type,flight_details,NOTES,mass,short-wing?,eggs,time_end,latitude,longitude
329,set001-11am-10-15-19-A1.txt,1,A,A-1,1,0.2864744921201800,757.6,204.19749999999900,0,757.6,0.8417777777777780,900.0,0.3926874999999980,C,10.15,11:30am,M,Lake Placid,Barber shop,K. elegans,Y,,C,continuous,,,,,,27.298660028,-81.36611608
372,set001-11am-10-15-19-A2.txt,2,A,A-2,1,0,0,0,0,0,0,900.0,0,Petri2,10.15,11:30am,F,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,,,Y,,28.812980,-81.877895
37,set001-11am-10-15-19-A3.txt,3,A,A-3,1,0,0,0,0,0,0,900.0,0,Petri1,10.15,11:30am,F,Key Largo,JP Grove,C. corindum ,N,Y,,,,,,Y,,25.187398,-80.358596
303,set001-11am-10-15-19-A4.txt,4,A,A-4,1,0,0,0.6283,0,0,0,900.0,0,C,10.15,11:30am,F,Lake Placid,Barber shop,K. elegans,N,,,,,,,Y,,27.298660028,-81.36611608
259,set001-11am-10-15-19-B1.txt,1,B,B-1,1,0,0,0,0,0,0,900.0,0,C,10.15,11:30am,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075
89,set001-11am-10-15-19-B2.txt,2,B,B-2,1,0.31019544834470100,894.4,275.1954000000000,0,894.4,0.9937777777777780,900.0,0.3926875000000010,Petri1,10.15,11:30am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,,,,,,,25.491968,-80.48562
354,set001-11am-10-15-19-B3.txt,3,B,B-3,1,0,0,0,0,0,0,900.0,0,D,10.15,11:30am,F,Lake Placid,Barber shop,K. elegans,N,,,,,,,Y,,27.298660028,-81.36611608
158,set001-11am-10-15-19-B4.txt,4,B,B-4,1,0,0,0,0,0,0,900.0,0,D,10.15,11:30am,M,Lake Wales,Polk,K. elegans,N,,,,,,,,,27.903346,-81.589461
30,set003-10-15-19-A1.txt,1,A,A-1,3,0,0,0,0,0,0,1449.4,0,A,10.15,12:45,F,Plantation Key,Founder's #1,C. corindum ,N,,,,,,,Y,,24.96448253,-80.56738908
141,set003-10-15-19-A2.txt,2,A,A-2,3,0,0,0,0,0,0,1449.4,0,Petri1,10.15,12:45,F,Lake Wales,Polk,K. elegans,N,Y,,,,,,Y,,27.903346,-81.589461
313,set003-10-15-19-A3.txt,3,A,A-3,3,0.21452372685185000,0,1.8849,0,0,0,1449.4,0.19634375000000100,C,10.15,12:45,F,Lake Placid,Barber shop,K. elegans,Y,,B,bursts,,,,Y,,27.298660028,-81.36611608
