ID,pophost,population,sex,beak,thorax,wing,body,month,year,months_since_month_zero,season,w_morph,lat,long,diapause,field_date_collected,notes,date_measured,date_entered,recorder
2,C.corindum,Plantation Key,F,8.26,3.33,6.94,10.92,October,2019,77,fall,S,24.985185,-80.547098,non-diapausing,10.02.2019,,03.19.2020,03.25.2020,AB
8,C.corindum,Plantation Key,F,7.17,3.09,6.10,9.65,October,2019,77,fall,S,24.985185,-80.547098,non-diapausing,10.02.2019,,03.19.2020,03.25.2020,AB
12,C.corindum,Plantation Key,F,8.50,3.67,9.20,12.91,October,2019,77,fall,L,24.985185,-80.547098,non-diapausing,10.02.2019,,03.19.2020,03.25.2020,AB
13,C.corindum,Plantation Key,M,6.75,3.39,8.71,11.97,October,2019,77,fall,L,24.985185,-80.547098,non-diapausing,10.02.2019,wings torn at end,03.19.2020,03.25.2020,AB
15,C.corindum,Plantation Key,M,6.01,2.97,7.62,10.51,October,2019,77,fall,L,24.985185,-80.547098,non-diapausing,10.02.2019,,03.19.2020,03.25.2020,AB
16,C.corindum,Plantation Key,F,7.76,3.44,9.12,12.56,October,2019,77,fall,L,24.985185,-80.547098,non-diapausing,10.02.2019,,03.19.2020,03.25.2020,AB
17,C.corindum,Plantation Key,M,5.74,2.61,4.39,7.52,October,2019,77,fall,S,24.985185,-80.547098,non-diapausing,10.02.2019,,03.19.2020,03.25.2020,AB
18,C.corindum,Plantation Key,M,5.52,2.44,4.31,7.19,October,2019,77,fall,S,24.985185,-80.547098,non-diapausing,10.02.2019,,03.19.2020,03.25.2020,AB
21,C.corindum,Plantation Key,M,5.26,2.64,4.98,7.87,October,2019,77,fall,S,24.985185,-80.547098,non-diapausing,10.02.2019,,03.19.2020,03.25.2020,AB
26,C.corindum,Plantation Key,M,6.36,3.53,9.33,11.98,October,2019,77,fall,L,24.985185,-80.547098,non-diapausing,10.02.2019,,03.19.2020,03.25.2020,AB
30,C.corindum,Plantation Key,F,8.10,3.32,8.38,11.68,October,2019,77,fall,L,24.985185,-80.547098,non-diapausing,10.02.2019,,03.19.2020,03.25.2020,AB
31,C.corindum,Plantation Key,M,5.87,2.70,7.40,10.53,October,2019,77,fall,L,24.985185,-80.547098,non-diapausing,10.02.2019,,03.19.2020,03.25.2020,AB
33,C.corindum,Plantation Key,M,5.36,2.57,4.27,4.33,October,2019,77,fall,S,24.985185,-80.547098,non-diapausing,10.02.2019,,03.19.2020,03.25.2020,AB
34,C.corindum,Plantation Key,F,9.08,3.88,9.80,13.68,October,2019,77,fall,L,24.985185,-80.547098,non-diapausing,10.02.2019,,03.19.2020,03.25.2020,AB
35,C.corindum,Plantation Key,M,5.72,2.97,7.96,11.05,October,2019,77,fall,L,24.985185,-80.547098,non-diapausing,10.02.2019,,03.19.2020,03.25.2020,AB
37,C.corindum,Key Largo,F,8.17,3.18,8.37,11.91,October,2019,77,fall,L,25.187398,-80.358596,non-diapausing,10.04.2019,wings torn at end,03.19.2020,03.25.2020,AB
39,C.corindum,Key Largo,F,7.78,3.44,8.82,11.79,October,2019,77,fall,L,25.187398,-80.358596,non-diapausing,10.04.2019,wings torn at end,03.19.2020,03.25.2020,AB
41,C.corindum,Key Largo,M,5.56,2.76,4.59,7.77,October,2019,77,fall,S,25.187398,-80.358596,non-diapausing,10.04.2019,,03.19.2020,03.25.2020,AB
46,C.corindum,Key Largo,F,7.93,3.74,9.31,13.21,October,2019,77,fall,L,25.187398,-80.358596,non-diapausing,10.04.2019,wings torn at end,03.19.2020,03.25.2020,AB
47,C.corindum,Key Largo,M,6.63,3.07,7.87,11.37,October,2019,77,fall,L,25.187398,-80.358596,non-diapausing,10.04.2019,wings torn at end,03.19.2020,03.25.2020,AB
48,C.corindum,Key Largo,F,8.56,3.55,9.12,12.58,October,2019,77,fall,L,25.187398,-80.358596,non-diapausing,10.04.2019,,03.19.2020,03.25.2020,AB
49,C.corindum,Key Largo,M,6.58,3.33,9.56,12.32,October,2019,77,fall,s,25.187398,-80.358596,non-diapausing,10.04.2019,,03.19.2020,03.25.2020,AB
