pophost,population,sex,beak,thorax,wing,body,month,year,months_since_start,season,w_morph,lat,long,diapause,field_date_collected,notes
K.paniculata,Davis,F,7.9,3.99,10.16,14.26,April,2015,23,spring,,,,,,
K.paniculata,Davis,F,5.84,3.08,5.93,S,April,2015,23,spring,,,,,,
K.paniculata,Davis,M,5.37,2.56,4.98,S,April,2015,23,spring,,,,,,
K.paniculata,Davis,M,6.21,3.25,8.43,11.77,April,2015,23,spring,,,,,,
K.paniculata,Davis,M,5.42,2.54,4.9,S,April,2015,23,spring,,,,,,
K.paniculata,Davis,M,5.45,2.84,5.92,S,April,2015,23,spring,,,,,,
K.paniculata,Davis,M,5.93,3.04,8.19,11.49,April,2015,23,spring,,,,,,
K.paniculata,Davis,F,6.9,3.5,8.38,12.14,April,2015,23,spring,,,,,,
K.paniculata,Davis,F,7,3.47,7.38,11.53,April,2015,23,spring,,,,,,
K.paniculata,Davis,M,5.3,2.88,4.84,S,April,2015,23,spring,,,,,,
K.paniculata,Davis,F,6.39,3.08,6.8,S,April,2015,23,spring,,,,,,
K.paniculata,Davis,F,6.41,3.43,5.85,S,April,2015,23,spring,,,,,,
K.paniculata,Davis,M,5.32,2.61,5.59,S,April,2015,23,spring,,,,,,
K.paniculata,Davis,M,5.92,3.01,8.06,11.29,April,2015,23,spring,,,,,,
K.paniculata,Davis,M,5.99,3.42,8.41,11.95,April,2015,23,spring,,,,,,
K.paniculata,Davis,F,7.8,3.59,9.48,13.25,April,2015,23,spring,,,,,,
K.paniculata,Davis,F,6.99,3.5,8.01,S,April,2015,23,spring,,,,,,
K.paniculata,Davis,M,6.04,3.21,8.49,12.05,April,2015,23,spring,,,,,,
K.paniculata,Davis,F,6.12,2.92,5.98,S,April,2015,23,spring,,,,,,
K.paniculata,Davis,F,8.01,3.49,8.93,12.84,April,2015,23,spring,,,,,,
K.paniculata,Davis,M,5.45,3,6.17,S,April,2015,23,spring,,,,,,
K.paniculata,Davis,M,5.63,3.29,8.57,11.65,April,2015,23,spring,,,,,,
K.paniculata,Davis,F,6.22,2.95,4.98,S,April,2015,23,spring,,,,,,
