pophost,population,sex,beak,thorax,wing,body,month,year,months_since_start,season,w_morph,lat,long,diapause,field_date_collected,notes,date_measured,date_recorded,site
K. elegans ,Leesburg,F,6.63,2.80,5.87,9.57,10,2019,,fall,LS,28.8152700,-81.88217000,unknown,10.05.2019,,06.04.2020,06.05.2020,
K. elegans ,Leesburg,M,5.53,2.99,8.42,11.40,10,2019,,fall,L,28.8152700,-81.88217000,unknown,10.05.2019,,06.04.2020,06.05.2020,
K. elegans ,Leesburg,M,5.85,2.99,8.04,11.10,10,2019,,fall,L,28.8152700,-81.88217000,unknown,10.05.2019,,06.04.2020,06.05.2020,
K. elegans ,Leesburg,M,5.23,2.75,7.36,10.14,10,2019,,fall,L,28.8152700,-81.88217000,unknown,10.05.2019,,06.04.2020,06.05.2020,
K. elegans ,Leesburg,F,8.20,3.66,9.55,13.17,10,2019,,fall,L,28.8152700,-81.88217000,unknown,10.05.2019,,06.04.2020,06.05.2020,
K. elegans ,Leesburg,M,5.97,2.69,6.04,8.88,10,2019,,fall,L,28.8152700,-81.88217000,unknown,10.05.2019,,06.04.2020,06.05.2020,
K. elegans ,Leesburg,M,5.76,3.28,8.84,11.73,10,2019,,fall,L,28.8152700,-81.88217000,unknown,10.05.2019,,06.04.2020,06.05.2020,
K. elegans ,Leesburg,F,7.97,3.49,9.98,13.80,10,2019,,fall,L,28.8152700,-81.88217000,unknown,10.05.2019,wings torn at end,06.04.2020,06.05.2020,
K. elegans ,Leesburg,F,7.59,3.65,9.85,12.89,10,2019,,fall,L,28.8152700,-81.88217000,unknown,10.05.2019,,06.04.2020,06.05.2020,
K. elegans ,Leesburg,M,6.05,3.12,8.66,11.77,10,2019,,fall,L,28.8152700,-81.88217000,unknown,10.05.2019,,06.04.2020,06.05.2020,
K. elegans ,Leesburg,F,8.15,3.62,9.81,13.32,10,2019,,fall,L,28.8152700,-81.88217000,unknown,10.05.2019,wings torn at end,06.04.2020,06.05.2020,
K. elegans ,Leesburg,F,8.42,3.91,10.56,14.66,10,2019,,fall,L,28.8152700,-81.88217000,unknown,10.05.2019,,06.04.2020,06.05.2020,
K. elegans ,Leesburg,F,7.79,3.69,9.86,13.21,10,2019,,fall,L,28.8152700,-81.88217000,unknown,10.05.2019,,06.04.2020,06.05.2020,
K. elegans ,Leesburg,M,5.31,2.88,7.37,10.29,10,2019,,fall,L,28.8152700,-81.88217000,unknown,10.05.2019,wings torn at end,06.04.2020,06.05.2020,
K. elegans ,Leesburg,M,6.04,3.25,8.34,11.57,10,2019,,fall,L,28.8152700,-81.88217000,unknown,10.05.2019,,06.04.2020,06.05.2020,
K. bipinnata,Homestead,M,5.35,2.39,3.95,6.59,5,2019,,summer,S,25.4886249,-80.48975957,non-diapausing,05.17.2019,,06.05.2020,06.05.2020,
K. bipinnata,Homestead,M,7.32,3.05,8.09,11.32,5,2019,,summer,L,25.4886249,-80.48975957,non-diapausing,05.17.2019,,06.05.2020,06.05.2020,
K. bipinnata,Homestead,F,5.50,2.53,4.63,7.37,5,2019,,summer,L,25.4886249,-80.48975957,non-diapausing,05.17.2019,,06.05.2020,06.05.2020,
K. bipinnata,Homestead,F,6.10,2.88,7.11,10.12,5,2019,,summer,L,25.4886249,-80.48975957,non-diapausing,05.17.2019,,06.05.2020,06.05.2020,
K. bipinnata,Homestead,M,5.37,2.68,7.29,10.01,5,2019,,summer,L,25.4886249,-80.48975957,non-diapausing,05.17.2019,,06.05.2020,06.05.2020,
