ID,Population,Eggs
2,Plantation Key,Y
8,Plantation Key,Y
12,Plantation Key,Y
30,Plantation Key,Y
34,Plantation Key,Y
37,Key Largo,Y
39,Key Largo,Y
46,Key Largo,Y
48,Key Largo,Y
51,Key Largo,Y
58,Key Largo,Y
62,Key Largo,Y
64,Key Largo,Y
65,Key Largo,Y
66,North Key Largo,Y
68,North Key Largo,Y
69,North Key Largo,Y
71,North Key Largo,Y
74,North Key Largo,Y
76,North Key Largo,Y
85,North Key Largo,Y
88,North Key Largo,Y
102,Homestead,Y
105,Homestead,Y
107,Homestead,Y
109,Homestead,Y
112,Homestead,Y
131,Homestead,Y
135,Homestead,Y
139,Lake Wales,Y
141,Lake Wales,Y
142,Lake Wales,Y
149,Lake Wales,Y
153,Lake Wales,Y
154,Lake Wales,Y
187,North Key Largo,Y
198,North Key Largo,Y
203,North Key Largo,Y
208,North Key Largo,Y
217,North Key Largo,Y
221,North Key Largo,Y
229,North Key Largo,Y
234,North Key Largo,Y
235,north Key Largo,Y
238,North Key Largo,Y
239,North Key Largo,Y
242,North Key Largo,Y
245,North Key Largo,Y
249,North Key Largo,Y
252,North Key Largo,Y
253,North Key Largo,Y
256,North Key Largo,Y
263,North Key Largo,Y
265,North Key Largo,Y
270,North Key Largo,Y
275,North Key Largo,Y
283,North Key Largo,Y
285,North Key Largo,Y
296,Lake Placid,Y
298,Lake Placid,Y
302,Lake Placid,Y
303,Lake Placid,Y
306,Lake Placid,Y
310,Lake Placid,Y
313,Lake Placid,Y
314,Lake Placid,Y
315,Lake Placid,Y
319,Lake Placid,Y
320,Lake Placid,Y
325,Lake Placid,Y
328,Lake Placid,Y
331,Lake Placid,Y
333,Lake Placid,Y
335,Lake Placid,Y
336,Lake Placid,Y
354,Lake Placid,Y
372,Leesburg ,Y
375,Leesburg ,Y
376,Leesburg ,Y
380,Leesburg ,Y
381,Leesburg ,Y
387,Leesburg ,Y
392,Lake Wales,Y
397,Gainesville,Y
404,Gainesville,Y
405,Gainesville,Y
410,Gainesville,Y
413,Gainesville,Y
416,Gainesville,Y
98,Homestead,Y
95,Homestead,Y
