ID_num,groupID,sex,beak,thorax,wing,body,w_morph,recorder,computer,date_recorded_by_hand,data_recorded_on_excel,notes
475,T1,F,6.29,3.69,7.81,11.22,S,A,yes,09.11.19,09.11.19,
268,T2,F,8.44,3.73,10.20,14.00,L,A,yes,09.11.19,09.11.19,
261,T3,F,8.44,3.68,9.57,13.21,S,A,yes,09.11.19,09.11.19,too big for microscope
261,T3,F,8.55,3.56,9.49,13.13,S,A,no,09.17.19,09.17.19,
284,T4,F,8.42,3.83,9.54,13.15,L,A,yes,09.11.19,09.11.19,
327,T5,F,8.82,3.79,10.20,13.90,L,A,yes,09.11.19,09.11.19,
247,T6,F,8.87,4.03,10.32,14.00,L,A,yes,09.11.19,09.11.19,
281,T8,F,7.43,3.05,8.75,12.32,L,A,yes,09.11.19,09.11.19,
492,T9,F,7.04,3.64,9.96,13.72,L,A,yes,09.11.19,09.11.19,
409,T10,F,6.32,3.55,7.11,10.85,S,A,yes,09.11.19,09.11.19,
293,T11,F,7.40,3.88,9.64,13.22,L,A,yes,09.11.19,09.11.19,
210,T12,F,7.38,3.30,9.17,12.65,L,A,yes,09.11.19,09.11.19,
321,T13,F,9.29,3.74,10.32,14.37,L,A,yes,09.11.19,09.11.19,too big for microscope
321,T13,F,9.34,3.66,10.25,14.30,L,A,no,09.17.19,09.17.19,
346,T14,F,7.50,3.76,10.38,14.10,L,A,yes,09.11.19,09.11.19,
330,T15,F,7.93,3.56,9.59,13.11,L,A,yes,09.11.19,09.11.19,
216,T16,F,7.57,3.52,8.15,11.69,L,A,yes,09.11.19,09.11.19,too big for microscope
273,T18,F,8.63,3.95,9.89,13.68,L,A,yes,09.11.19,09.11.19,too big for microscope
273,T18,F,8.58,3.92,9.71,13.72,L,A,no,09.17.19,09.17.19,
393,T19,F,8.99,4.06,NA,NA,L,A,yes,09.11.19,09.11.19,
393,T19,F,8.94,3.95,10.46,14.42,L,A,no,09.17.19,09.17.19,
417,T20,F,6.18,3.41,5.64,8.70,S,A,yes,09.11.19,09.11.19,
212,G1,F,6.86,3.63,7.19,10.94,S,A,yes,09.11.19,09.11.19,
213,G2,F,6.90,3.71,7.16,11.16,S,A,yes,09.11.19,09.12.19,
221,G3,F,7.23,4.11,9.89,14.11,L,A,yes,09.11.19,09.12.19,
230,G4,F,6.62,3.82,6.45,10.23,L,A,yes,09.12.19,09.12.19,
252,G6,F,6.61,3.63,6.43,10.12,S,A,yes,09.12.19,09.12.19,
253,G7,F,8.16,4.11,10.29,13.93,L,A,yes,09.12.19,09.12.19,
