ID,Petri,test_date,time,set_number,chamber,population,flew,flight_type,mass,died?,comments
308,,10.3,9:30am,53,A-1,Lake Placid,Y,bursts,0.038,,
205,,10.3,9:30am,53,A-2,North Key Largo,NA,,0.03,,paint fell off 
323,,10.3,9:30am,53,A-3,Lake Placid,Y,continuous till 50 minutes; stopped; then continuous +90,0.036,,
223,,10.3,9:30am,53,A-4,North Key Largo,N,,0.058,,
376,,10.3,9:30am,53,B-1,Leesburg,Y,continuous starting at 10 min; +90,0.08,,
298,P,10.3,9:30am,53,B-2,Lake Placid,N,,0.13,,
95,,10.3,9:30am,53,B-3,Homestead,Y,bursts to continuous to bursts,0.101,,
325,,10.3,9:30am,53,B-4,Lake Placid,N,,0.091,,
229,,10.3,11:15am,54,A-1,North Key Largo,N,,0.082,,no recording
340,,,,,,Lake Placid,,,,Y,no recording
406,,10.3,11:15am,54,A-2,Gainesville,N,,0.034,,no recording
399,,10.3,11:15am,54,A-3,Gainesville,N,,0.05,,no recording
287,P,10.3,11:15am,54,A-4,North Key Largo,N,,0.028,,
67,P,10.3,11:15am,54,B-1,North Key Largo,Y,bursts,0.041,,
84,,10.3,11:15am,54,B-2,North Key Largo,Y,bursts,0.046,,
416,,10.3,11:15am,54,B-3,Gainesville,Y,bursts,0.074,,
351,,10.3,11:15am,54,B-4,Lake Placid,Y,bursts to continuous; +90,0.042,,
234,,10.3,1:50pm,55,A-1,North Key Largo,N,,0.103,,
136,,10.3,1:50pm,55,A-2,Homestead,N,,0.04,,
152,,10.3,1:50pm,55,A-3,Lake Wales,Y,continuous; +90,0.043,,
159,,10.3,1:50pm,55,A-4,Lake Wales,N,,0.033,,
118,,10.3,1:50pm,55,B-1,Homestead,N,,0.049,,
90,P,10.3,1:50pm,55,B-2,Homestead,N,,0.061,,
336,,10.3,1:50pm,55,B-3,Lake Placid,Y,continuous; +90,0.049,,
333,,10.3,1:50pm,55,B-4,Lake Placid,N,,0.071,,
312,,10.3,3:30pm,56,A-1,Lake Placid,Y,bursts,0.042,,
332,,10.3,3:30pm,56,A-2,Lake Placid,Y,continuous; +90,0.048,,
318,,10.3,3:30pm,56,A-3,Lake Placid,N,,0.035,,
123,,10.3,3:30pm,56,A-4,Homestead,Y,bursts,0.047,,
