average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,channel_num,filename,ID
0,0,0,0,0,0,1800,0,2,set30-10-21-19-A2.txt,2
0,0,0,0,0,0,1800,0,1,set27-10-21-19-B1.txt,12
0,0,0.6283,0,0,0,3600,0,1,set50-10-28-19-A1.txt,12
0,0,0,0,0,0,1800,0,3,set12-10-17-19-B3.txt,13
0.216655172,0,1.8849,0,0,0,1800,0,4,set6-10-16-19-B4.txt,15
0,0,0,0,0,0,3600,0,3,set47-10-28-19-A3.txt,15
0,0,1.2566,0,0,0,5400,0,2,set70-11-04-19-A2.txt,15
0,0,0,0,0,0,1800,0,3,set27-10-21-19-B3.txt,16
0.285590909,0,1.8849,0,0,0,1800,0,3,set10-10-17-19-A3.txt,17
0,0,0,0,0,0,1800,0,1,set28-10-21-19-A1.txt,18
0,0,0,0,0,0,1800,0,1,set14-10-17-19-A1.txt,21
0,0,0,0,0,0,1449.4,0,1,set3-10-15-19-A1.txt,30
0,0,0,0,0,0,3600,0,1,set44-10-25-19-A1.txt,30
0.932476984,2174.3,3.7698,0,1298.5,0.629010328,5256.7,1.57075,3,set67-11-04-19-A3.txt,30
0,0,0,0,0,0,1800,0,3,set7-10-16-19-A3.txt,31
0,0,0,0,0,0,5330.2,0,3,set56-10-30-19-B3.txt,31
0,0,1.2566,0,0,0,1800,0,4,set13-10-17-19-B4.txt,33
0.203524556,0,3.7698,0,0,0,1800,0.216655172,1,set18-10-18-19-A1.txt,34
0.733016667,0,8.1679,0,0,0,3600,0.209433333,4,set51-10-29-19-A4.txt,34
0,0,0,0,0,0,5400,0,3,set70-11-04-19-B3.txt,34
0.249285398,1371.7,3.7698,0,1368.3,0.254018519,5400,0.523583333,2,set64-11-01-19-B2.txt,35
0,0,0,0,0,0,900,0,3,set1-11am-10-15-19-A3.txt,37
0,0,0,0,0,0,1800,0,3,set18-10-18-19-B3.txt,39
0,0,0,0,0,0,1800,0,4,set12-10-17-19-B4.txt,41
0.256448408,374.9,3.7698,0,350,0.208277778,1800,0.165342105,2,set27-10-21-19-A2.txt,46
0,0,0,0,0,0,1800,0,1,set6-10-16-19-B1.txt,47
0.195641882,26.7,6.9113,0,21.3,0.014833333,1800,0.273173913,1,set23-10-21-19-A1.txt,48
0,0,0,0,0,0,3600,0,1,set41-10-25-19-A1.txt,48
0.450140735,1797,776.5788,0,1797,0.998333333,1800,0.6283,2,set20-10-18-19-A2.txt,49
0.423776254,3597.4,1454.5145,0,3597.4,0.999277778,3600,0.698111111,1,set37-10-24-19-A1.txt,49
0.187929018,0,5.0264,0,0,0,1800,0.179514286,3,set27-10-21-19-A3.txt,50
0.289719056,1118.8,21.3622,0,392.4,0.310777778,3600,0.523583333,3,set34-10-23-19-B3.txt,50
0.242811771,2208.6,3.7698,0,2203.3,0.409,5400,0.25132,1,set60-10-31-19-A1.txt,50
0.219316356,1496.4,5.0264,0,1483,0.831333333,1800,0.31415,1,set24-10-21-19-A1.txt,54
0.18908531,20.3,3.7698,0,20.3,0.005638889,3600,0.3926875,2,set44-10-25-19-B2.txt,54
0,0,0.6283,0,0,0,1504.3,0,3,set3-10-15-19-B3.txt,58
0,0,0,0,0,0,3600,0,1,set35-10-23-19-B1.txt,58
0,0,0,0,0,0,1800,0,2,set28-10-21-19-A2.txt,59
0,0,0.6283,0,0,0,1800,0,2,set13-10-17-19-A2.txt,64
0,0,0,0,0,0,1800,0,4,set29-10-21-19-A4.txt,65
0,0,1.2566,0,0,0,3600,0,2,set32-10-23-19-A2.txt,65
0.364700586,442.1,6.283,0,414.1,0.08187037,5400,0.448785714,4,set59-10-31-19-B4.txt,65
0,0,0,0,0,0,3600,0,1,set39-10-24-19-B1.txt,66
0.281205678,24.7,5.6547,0,19.3,0.013722222,1800,0.571181818,4,set17-10-18-19-A4.txt,67
0.520556736,1237.1,22.6188,0,803.1,0.343638889,3600,1.57075,2,set36-10-24-19-B2.txt,67
0.287313559,19.2,5.0264,0,19.2,0.003555556,5400,0.6283,1,set54-10-30-19-B1.txt,67
0.413242094,224.8,89.2186,224.8,224.8,0.124888889,1800,1.2566,3,set14-10-17-19-B3.txt,68
0.227711222,2051.4,187.8617,0,792.9,0.569833333,3600,0.483307692,3,set39-10-24-19-B3.txt,68
0.204791844,2716.5,12.566,0,2680.6,0.503055556,5400,0.6283,4,set69-11-04-19-A4.txt,68
0,0,0,0,0,0,1800,0,3,set17-10-18-19-A3.txt,69
0.3926875,0,1.8849,0,0,0,3600,0.261791667,4,set39-10-24-19-B4.txt,69
0,0,0,0,0,0,5400,0,2,set67-11-04-19-B2.txt,69
0,0,0,0,0,0,1800,0,1,set20-10-18-19-A1.txt,73
0,0,0.6283,0,0,0,3600,0,2,set48-10-28-19-B2.txt,73
0,0,0.6283,0,0,0,5400,0,2,set60-10-31-19-A2.txt,73
0,0,0.6283,0,0,0,3600,0,2,set32-10-23-19-B2.txt,74
0.151757552,1119.4,3.1415,0,1113.3,0.621888889,1800,0.149595238,2,set24-10-21-19-A2.txt,76
0,0,0,0,0,0,1800,0,4,set18-10-18-19-B4.txt,78
0,0,0,0,0,0,5400,0,3,set62-11-01-19-B3.txt,78
0,0,0,0,0,0,1800,0,2,set19-10-18-19-A2.txt,81
0.10994294,0,1.8849,0,0,0,3600,0.11854717,1,set40-10-24-19-A1.txt,81
0,0,0,0,0,0,1449.4,0,4,set3-10-15-19-A4.txt,82
0,0,0,0,0,0,1800,0,4,set27-10-21-19-A4.txt,84
0.311766321,4.7,1.8849,0,4.7,0.001305882,3599.1,0.369588235,4,set42-10-25-19-A4.txt,84
0.293220682,210,59.0602,0,42.6,0.038888889,5400,0.448785714,2,set54-10-30-19-B2.txt,84
0,0,0,0,0,0,1800,0,1,set19-10-18-19-B1.txt,85
0,0,0,0,0,0,1504.3,0,2,set3-10-15-19-B2.txt,86
0.310195448,894.4,275.1954,0,894.4,0.993777778,900,0.3926875,2,set1-11am-10-15-19-B2.txt,89
0.330781948,3597.1,1174.2927,0,3597.1,0.999194444,3600,0.483307692,2,set51-10-29-19-A2.txt,89
0.26945388,4597.6,1105.808,282.5,2725.9,0.851407407,5400,0.571181818,2,set69-11-04-19-A2.txt,89
0.27982091,279.9,6.283,132,143.1,0.1555,1800,0.523583333,2,set29-10-21-19-A2.txt,90
0,0,0,0,0,0,5400,0,2,set55-10-30-19-B2.txt,90
0.285546977,1648.8,121.2619,0,1231.4,0.916,1800,0.369588235,2,set26-10-21-19-A2.txt,91
0.279816509,3595.5,989.5725,0,3595.5,0.99875,3600,0.418866667,2,set35-10-23-19-B2.txt,91
0.32572763,5397,1736.6212,0,5397,0.999444444,5400,0.523583333,3,set71-11-04-19-A3.txt,91
0,0,0,0,0,0,1800,0,3,set20-10-18-19-B3.txt,92
0,0,0,0,0,0,3600,0,4,set40-10-24-19-A4.txt,92
0,0,0,0,0,0,5330.2,0,1,set56-10-30-19-B1.txt,92
0.48221808,1796.7,853.2314,0,1796.7,0.998166667,1800,0.6283,3,set17-10-18-19-B3.txt,95
0.484372349,2997,1424.3561,0,2997,0.8325,3600,0.6283,2,set34-10-23-19-A2.txt,95
0.411522456,1527.3,55.9187,89.4,702,0.282833333,5400,0.6283,3,set53-10-30-19-B3.txt,95
0.282868702,1796.3,502.64,0,1796.3,0.997944444,1800,0.3926875,4,set21-10-21-19-B4.txt,96
0.251337053,3477.4,852.6031,0,1794.6,0.965944444,3600,0.3926875,2,set31-10-23-19-B2.txt,96
0.419993487,5394.4,2244.9159,0,5394.4,0.998962963,5400,0.571181818,4,set63-11-01-19-A4.txt,96
0,0,0,0,0,0,5400,0,2,set68-11-04-19-A2.txt,98
0.416908668,548.8,219.905,0,548.8,0.304888889,1800,0.523583333,1,set5-10-16-19-A1.txt,99
0.313230072,2704.8,10.0528,0,2692.7,0.751333333,3600,0.3926875,4,set41-10-25-19-A4.txt,99
0.312131832,5343.6,1622.2706,0,5343.6,0.989555556,5400,0.571181818,3,set70-11-04-19-A3.txt,99
0.376604874,1796.8,670.3961,0,1796.8,0.998222222,1800,0.483307692,2,set12-10-17-19-B2.txt,101
0.243425226,3596.1,839.4088,0,3596.1,0.998916667,3600,0.3926875,3,set46-10-28-19-A3.txt,101
0.423794403,4987.5,2075.2749,84.3,4532.8,0.923611111,5400,0.698111111,2,set68-11-04-19-B2.txt,101
0,0,0,0,0,0,1800,0,4,set17-10-18-19-B4.txt,102
0,0,0,0,0,0,3599.6,0,3,set47-10-28-19-B3.txt,102
