ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,latitude,longitude,total_eggs,beak,thorax,wing,body,w_morph,morph_notes
114,set001-2-17-2020-A2_114.txt,T1,A-2,A,2,1,0.210962551,0,1.8849,0,0,0,2012.03,0.182115942,2/17/20,14:31:00,15:06:00,2100,M,Key Largo,Key Largo,KLMRL,C. corindum,Y,B,,0.043,N,25.1000151,-80.437522,,5.98,3.19,8.32,11.62,L,
318,set001-2-17-2020-A2_318.txt,T1,A-2,A,2,1,0.305976272,6101.22,1818.3002,0,6101.22,0.968381523,6300.43,0.483307692,2/17/20,15:39:00,17:34:00,50100,F,Key Largo,Key Largo,JP,C. corindum,Y,C,,0.039,N,25.1284578,-80.4080913,91,7.51,3.31,9,12.27,L,
37,set001-2-17-2020-A2_37.txt,T1,A-2,A,2,1,0,0,1.2566,0,0,0,1977.11,0,2/17/20,15:07:00,15:38:00,45060,F,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.066,N,25.1755702,-80.36780089,53,7.44,3.07,7.86,11.2,L,
423,set001-2-17-2020-A2_423.txt,T1,A-2,A,2,1,0.274395419,574.47,11.3094,0,541.54,0.291557338,1970.35,0.365290698,2/17/20,14:00:00,14:31:00,1860,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.026,N,25.1820931,-80.3631938,,5.83,2.69,7.11,10.03,L,
426,set001-2-17-2020-A2_426.txt,T1,A-2,A,2,1,0.416135072,8.81,7.5396,0,7.52,0.003961206,2224.07,0.506693548,2/17/20,13:23:00,13:59:00,2160,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,B,,0.043,N,25.19515,-80.345916,,6.03,3.05,8.01,11,L,
427,set001-2-17-2020-A2_427.txt,T1,A-2,A,2,1,0.267337949,4357.76,1009.0498,0,4319.51,0.678192528,6425.55,0.461985294,2/17/20,11:37:00,13:02:00,5100,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,C,,0.024,N,25.19515,-80.345916,,5.81,2.78,7.32,10.12,L,
435,set001-2-17-2020-A2_435.txt,T1,A-2,A,2,1,0.400791511,12023.9,4450.8772,112.41,11883.99,0.949530877,12662.99,0.647731959,2/17/20,8:15:00,11:35:00,12000,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.034,N,25.2734885,-80.3040957,,5.93,3.03,7.89,10.85,L,
143,set001-2-17-2020-A3_143.txt,T1,A-3,A,3,1,0.361251666,38.47,14.4509,0,38.47,0.016471213,2335.59,0.400191083,2/17/20,8:15:00,8:45:00,1800,M,North Key Largo,North Key Largo,MM165,C. corindum,N,,,0.032,N,25.2275238,-80.3283788,,5.78,2.83,7.38,10.46,L,
275,set001-2-17-2020-A3_275.txt,T1,A-3,A,3,1,0.290329938,29884.91,8521.0046,0,29884.91,0.955545651,31275.23,0.410653595,2/17/20,8:45:00,17:10:00,30300,M,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,,0.03,N,27.8967403,-81.5804654,,5.31,2.68,7.65,10.44,L,
133,set001-2-17-2020-A4_133.txt,T1,A-4,A,4,1,0.327882376,157.68,27.0169,0,50.78,0.077060293,2046.19,0.465407407,2/17/20,14:00:00,14:31:00,1860,F,North Key Largo,North Key Largo,DD front,C. corindum,Y,B,,0.08,Y,25.2734885,-80.3040957,208,8.44,3.7,9.31,13.44,L,
138,set001-2-17-2020-A4_138.txt,T1,A-4,A,4,1,0,0,0,0,0,0,2188.71,0,2/17/20,11:02:00,11:35:00,1980,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.048,N,25.1755702,-80.36780089,,6.01,3.17,8.18,11.15,L,wings torn at the end
153,set001-2-17-2020-A4_153.txt,T1,A-4,A,4,1,0,0,0.6283,0,0,0,2016.15,0,2/17/20,11:39:00,12:11:00,1920,M,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.028,N,25.491362,-80.485821,,5.32,2.57,7.47,10.35,L,
179,set001-2-17-2020-A4_179.txt,T1,A-4,A,4,1,0.353500866,6.89,2.5132,0,6.89,0.003312389,2080.07,0.2575,2/17/20,12:13:00,12:45:00,1920,F,Lake Wales,Polk,Polk Ave,K.elegans,N,,,0.053,N,27.8967403,-81.5804654,3,6.99,3.39,8.98,12.65,L,
199,set001-2-17-2020-A4_199.txt,T1,A-4,A,4,1,0.293223288,7.51,1.8849,0,7.51,0.004010917,1872.39,0.280491071,2/17/20,14:32:00,15:06:00,2040,F,Gainesville,Alachua,23rd & 8th,K.elegans,N,,,0.045,Y,29.66200224,-82.347313,38,6.49,3.22,8.96,12.25,L,
208,set001-2-17-2020-A4_208.txt,T1,A-4,A,4,1,0.219717432,1349.37,5.0264,0,1346.99,0.610953396,2208.63,0.263991597,2/17/20,13:25:00,13:59:00,2040,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,B,,0.04,N,24.96424,-80.5673321,,5.77,2.86,8,11.06,L,
213,set001-2-17-2020-A4_213.txt,T1,A-4,A,4,1,0.31415,0,2.5132,0,0,0,1970.43,0,2/17/20,9:55:00,10:27:00,1920,M,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.044,N,25.1000151,-80.437522,,5.99,3.16,8.02,11.12,L,wings torn at the end
242,set001-2-17-2020-A4_242.txt,T1,A-4,A,4,1,0.317976581,2232.79,686.1036,0,2232.79,0.938466453,2379.19,0.40275641,2/17/20,9:15:00,9:55:00,2400,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,C,,0.033,N,25.2275238,-80.3283788,,6.15,3.04,8.24,11.48,L,
338,set001-2-17-2020-A4_338.txt,T1,A-4,A,4,1,0.291639332,2721.94,767.1543,0,2721.94,0.648638473,4196.39,0.3926875,2/17/20,8:15:00,9:15:00,3600,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,C,,0.038,N,25.2565615,-80.3108042,,6,3.3,7.35,10.71,L,wings torn at the end
356,set001-2-17-2020-A4_356.txt,T1,A-4,A,4,1,0.259963282,590.52,11.3094,0,569.88,0.297720661,1983.47,0.458613139,2/17/20,15:08:00,15:38:00,45000,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.038,N,25.1820931,-80.3631938,,6.02,2.76,7.12,10.08,L,wings torn at the end
36,set001-2-17-2020-A4_36.txt,T1,A-4,A,4,1,0.266069458,63.72,18.2207,0,34.56,0.035055868,1817.67,0.317323232,2/17/20,15:40:00,16:11:00,45060,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,Y,B,,0.051,N,25.1755702,-80.36780089,,5.95,3.1,8.2,11.48,L,
74,set001-2-17-2020-A4_74.txt,T1,A-4,A,4,1,0.494712678,32.24,16.3358,0,26.5,0.015402623,2093.15,0.581759259,2/17/20,10:28:00,11:01:00,1980,M,Leesburg,Lake,Mount & 8th,K.elegans,Y,B,,0.033,N,28.7963435,-81.8778849,,5.11,2.81,7.98,10.98,L,
92,set001-2-17-2020-A4_92.txt,T1,A-4,A,4,1,0.378851453,116.67,38.9546,80.33,80.33,0.051659781,2258.43,1.163518519,2/17/20,12:48:00,13:22:00,2040,F,North Key Largo,North Key Largo,Dynamite Docks,C. corindum,Y,B,,0.084,N,25.2866074,-80.5539224,9,7.85,3.73,9.71,13.2,L,
62,set001-2-17-2020-B1_62.txt,T1,B-1,B,1,1,0.329842409,42107.22,13193.0434,149.8,32154.61,0.974925556,43190.19,0.622079208,2/17/20,9:18:00,21:26:24,43704,M,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,SENSOR: sensor readings very small drops ,0.033,N,27.8967403,-81.5804654,,5.41,2.98,8.03,11.18,L,
63,set001-2-17-2020-B1_63.txt,T1,B-1,B,1,1,0.503755896,1261.41,632.6981,0,1261.41,0.299563269,4210.83,0.571181818,2/17/20,8:45:00,9:15:00,1800,F,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,,0.069,N,27.8967403,-81.5804654,144,7.75,3.58,9.34,13.26,L,
267,set001-2-17-2020-B2_267.txt,T1,B-2,B,2,1,0.241634421,41970.11,9822.2139,0,41970.11,0.885426118,47401.03,0.452014388,2/17/20,8:15:00,19:56:05,42065,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.04,N,26.298631,-81.36615,,5.56,3.1,8.99,12.33,L,
202,set001-2-17-2020-B3_202.txt,T1,B-3,B,3,1,0.217597314,11083.16,2309.0025,0,11081.24,0.870688551,12729.19,1.308958333,2/17/20,8:15:00,11:26:00,11460,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,C,,0.037,N,24.9735748,-80.5539224,,5.59,3.13,8.35,11.45,L,
203,set001-2-17-2020-B3_203.txt,T1,B-3,B,3,1,0.230732668,2496.43,548.5059,0,2496.43,0.605360984,4123.87,1.365869565,2/17/20,11:40:00,12:27:00,2820,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,BC,DATA COL: blew on it by accident at 12:27; taken down at 12:41,0.044,N,24.9735748,-80.5539224,,5.82,3.34,8.52,11.93,L,
223,set001-2-17-2020-B3_223.txt,T1,B-3,B,3,1,0.212165109,4802.89,2968.7175,73.27,4226.16,0.310586234,15463.95,1.03,2/17/20,12:49:00,17:15:00,15960,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.031,N,25.2734885,-80.3040957,,5.72,3.06,7.8,10.72,L,
