Number,sex,beak,thorax,wing,Parents,bugpop,natpop,cracked,Dvpt.time,wing2,mathost
517,F,6.25,3.38,6.01,97,Leesburg,HomesteadGRT,y,29,S,C.corindum
520,F,6.26,3.6,6.52,97,Leesburg,HomesteadBV,y,27,S,C.corindum
521,F,8.35,4.08,10.45,333,GainesvilleGRT,GainesvilleGRT,n,32,L,K.elegans
522,F,8.42,4.17,10.49,333,GainesvilleGRT,HomesteadGRT,n,32,L,K.elegans
523,M,5.87,3.49,9.33,333,GainesvilleGRT,Lake_Wales,y,29,L,K.elegans
524,F,6.02,3.44,6.65,333,GainesvilleGRT,Key_Largo,n,31,S,K.elegans
526,F,6.9,3.67,9.21,333,GainesvilleGRT,Plantation_Key,y,37,L,K.elegans
527,M,5.77,3.38,8.92,210,Ft.Myers,Leesburg,n,29,L,K.elegans
528,F,7.3,4.5,10.16,210,Ft.Myers,Lake_Wales,n,32,L,K.elegans
529,F,7.98,3.98,9.58,210,Ft.Myers,Leesburg,y,37,L,K.elegans
532,F,6.3,3.68,6.78,210,Ft.Myers,Key_Largo,y,27,S,K.elegans
533,F,7.09,3.56,7.04,34,HomesteadBV,GainesvilleGRT,n,31,S,C.corindum
534,M,5.86,3.44,9.42,34,HomesteadBV,Lake_Wales,n,31,L,C.corindum
535,F,8.23,3.59,9.77,34,HomesteadBV,GainesvilleGRT,y,34,L,C.corindum
538,M,5.36,3.1,5.13,34,HomesteadBV,Key_Largo,y,24,S,C.corindum
539,F,8.2,3.88,10.23,129,GainesvilleGRT,GainesvilleGRT,n,33,L,C.corindum
540,F,6.78,3.76,8,129,GainesvilleGRT,GainesvilleGRT,n,29,S,C.corindum
543,F,6.41,3.55,6.95,129,GainesvilleGRT,Key_Largo,n,31,S,C.corindum
544,F,6.23,3.45,6.3,129,GainesvilleGRT,HomesteadBV,y,27,S,C.corindum
545,M,6,3.3,9.05,226,GainesvilleGRT,Leesburg,n,32,L,K.elegans
546,F,6.59,3.48,7.73,226,GainesvilleGRT,Lake_Wales,n,31,S,K.elegans
547,F,7.36,4.14,9.9,226,GainesvilleGRT,GainesvilleGRT,y,34,L,K.elegans
550,F,6.09,3.33,5.97,226,GainesvilleGRT,Plantation_Key,y,27,S,K.elegans
551,M,5.16,2.79,4.47,229,GainesvilleGRT,GainesvilleGRT,n,30,S,K.elegans
552,F,6.57,3.64,7.78,229,GainesvilleGRT,Lake_Wales,n,25,S,K.elegans
553,F,6.41,3.66,7.5,229,GainesvilleGRT,Leesburg,y,26,S,K.elegans
556,M,5.04,3.04,5.95,229,GainesvilleGRT,Plantation_Key,y,26,S,K.elegans
